DateTime,AddedIPs,RemovedIPs
1522795453,440,0
1522817160,534,0
1522839053,421,0
1522860395,54,1773
1522875412,516,0
1522892786,326,0
1522914520,702,0
1522934264,543,1700
1522955857,414,0
1522975616,45,0
1522997189,302,0
1523017035,584,1577
1523036807,473,0
1523058428,513,0
1523079977,327,0
1523101633,504,0
1523123398,504,1954
1523144906,385,0
1523166432,412,0
1523187986,527,0
1523209608,448,1812
1523231187,374,0
1523252762,531,0
1523270988,19,0
1523288780,575,1862
1523310475,417,0
1523328398,249,0
1523350031,488,0
1523369842,420,1577
1523391404,391,0
1523413001,225,0
1523434637,226,0
1523456224,483,1918
1523478047,540,0
1523499439,376,0
1523521028,497,0
1523542622,518,1894
1523562421,407,0
1523583992,281,0
1523605599,508,0
1523627244,481,1789
1523647022,439,0
1523670462,250,0
1523692233,531,0
1523713595,362,1762
1523735170,220,0
1523753198,136,0
1523767587,277,0
1523789384,421,0
1523811002,367,1630
1523832047,408,0
1523853988,420,0
1523875841,505,0
1523897234,346,1840
1523907990,2,0
1523929617,452,0
1523951234,495,0
1523972827,352,1752
1523994675,446,0
1524016016,306,0
1524037613,536,0
1524057445,13,1685
1524070025,403,0
1524091593,410,0
1524113196,294,0
1524135029,458,0
1524156401,591,1430
1524178139,449,0
1524199615,483,0
1524220447,668,0
1524241018,5,2151
1524255408,541,0
1524276999,438,0
1524296808,604,0
1524318391,635,1721
1524340003,434,0
1524361617,333,0
1524383182,599,0
1524404786,541,1834
1524426375,118,0
1524444413,327,0
1524466018,521,0
1524487595,479,1821
1524509192,495,0
1524530829,458,0
1524552399,459,0
1524572217,484,0
1524593823,436,1847
1524615516,352,0
1524637034,504,0
1524658613,582,0
1524676603,1,1744
1524698280,385,0
1524717979,259,0
1524739805,564,0
1524761728,509,1624
1524782802,450,0
1524804424,296,0
1524826256,633,0
1524847575,471,1334
1524869066,390,0
1524890821,499,0
1524912678,596,0
1524933999,88,1704
1524944787,296,0
1524966414,500,0
1524988089,610,0
1525009611,591,1830
1525031262,327,0
1525052891,365,0
1525074407,686,0
1525095992,379,1646
1525106796,59,0
1525128286,417,0
1525150003,516,0
1525170824,669,0
1525191459,458,1738
1525211209,359,0
1525233027,14,0
1525254384,493,0
1525276020,504,1710
1525295789,325,0
1525317402,323,0
1525339067,444,0
1525360856,510,1700
1525382234,336,0
1525403802,281,0
1525425442,594,0
1525447004,360,1510
1525468607,306,0
1525488420,302,0
1525509991,290,0
1525531595,230,1305
1525551381,442,0
1525573006,663,0
1525594594,1021,0
1525614384,823,1583
1525636000,430,0
1525657636,870,0
1525679272,734,0
1525700789,595,2040
