DateTime,AddedIPs,RemovedIPs
1531271220,0,1
1531274799,2,0
1531278420,1,4
1531282012,2,3
1531285612,2,1
1531289200,0,1
1531292824,2,1
1531300010,1,2
1531303605,3,0
1531307212,2,1
1531310813,1,1
1531314408,3,2
1531318013,1,4
1531321634,4,1
1531325215,2,2
1531328808,2,2
1531332405,0,2
1531336029,0,2
1531339621,1,2
1531343220,3,1
1531346797,2,0
1531350424,0,1
1531354023,3,0
1531357612,1,2
1531361211,0,4
1531364829,3,0
1531368388,2,0
1531372009,1,2
1531375609,1,1
1531379218,0,2
1531382821,3,3
1531386413,2,3
1531390019,1,0
1531393605,1,2
1531397214,1,1
1531400798,1,1
1531404409,1,1
1531408002,1,1
1531411628,0,1
1531415216,2,2
1531418820,0,1
1531422401,2,1
1531426014,3,1
1531429612,2,1
1531433210,1,2
1531436807,1,3
1531440425,2,1
1531443983,1,2
1531447586,0,5
1531451198,4,0
1531454791,3,1
1531458395,3,1
1531465601,2,1
1531469194,1,0
1531472786,1,3
1531476387,1,1
1531480002,1,2
1531483590,3,3
1531487446,3,0
1531491045,1,2
1531494581,3,1
1531497998,0,2
1531501596,0,2
1531505180,2,1
1531508813,0,1
1531512395,2,0
1531516006,1,2
1531519598,3,2
1531523200,1,0
1531526780,2,2
1531530411,1,2
1531534007,1,3
1531537599,1,1
1531541181,1,1
1531544790,1,3
1531548406,3,3
1531551989,2,0
1531555588,1,2
1531559198,0,1
1531562803,1,0
1531566398,3,0
1531569986,0,3
1531573590,3,1
1531577211,1,2
1531580784,2,3
1531584386,2,1
1531588004,1,0
1531591582,3,1
1531595170,2,2
1531598778,1,2
1531602394,0,1
1531605981,2,1
1531609586,0,2
1531613179,2,1
1531620370,1,2
1531623983,1,1
1531627587,2,2
1531631191,4,3
1531634796,2,0
1531638385,2,0
1531641994,0,1
1531645588,1,5
1531649179,1,0
1531656389,1,1
1531659998,1,1
1531663562,1,1
1531667187,1,0
1531670793,3,4
1531674386,3,2
1531677990,1,1
1531681586,0,2
1531685190,2,1
1531688789,1,0
1531692393,0,1
1531695989,1,2
1531699623,2,1
1531703175,1,0
1531706772,1,5
1531710396,4,0
1531713975,1,1
1531717590,2,3
1531721182,1,2
1531724793,1,0
1531728373,2,1
1531731967,0,2
1531735584,1,1
