DateTime,AddedIPs,RemovedIPs
1531318444,3,5
1531322060,8,5
1531325646,3,4
1531329246,6,6
1531332833,2,5
1531336468,2,3
1531340022,4,3
1531343651,6,5
1531347240,3,3
1531350865,4,1
1531354466,19,3
1531358025,3,5
1531361649,1,7
1531365266,7,21
1531368800,7,4
1531372441,7,4
1531376028,4,7
1531379652,2,5
1531383244,4,8
1531386834,5,5
1531390450,3,1
1531394043,3,2
1531397660,3,3
1531401203,3,4
1531404831,2,2
1531408418,4,3
1531412046,2,3
1531415625,6,3
1531419238,3,3
1531422816,4,9
1531426454,7,3
1531430055,5,10
1531433635,6,4
1531437233,3,6
1531440876,27,2
1531444438,10,6
1531448029,5,8
1531451637,12,25
1531455249,4,4
1531458841,5,3
1531462455,3,4
1531466047,4,4
1531469634,2,2
1531473242,2,7
1531476845,1,3
1531480422,6,3
1531484039,6,7
1531488509,6,3
1531492262,7,9
1531495399,7,2
1531498429,2,6
1531502033,4,4
1531505623,8,2
1531509251,2,6
1531512841,7,2
1531516453,14,5
1531520041,6,4
1531523653,7,4
1531527207,32,9
1531530837,7,3
1531534416,3,5
1531538023,3,23
1531541600,5,10
1531545212,5,8
1531548846,7,7
1531552430,6,4
1531556004,6,12
1531559648,6,4
1531563252,10,1
1531566791,5,3
1531570409,0,9
1531574020,7,5
1531577643,2,3
1531581216,5,6
1531584818,1,6
1531588451,7,1
1531592007,8,5
1531595606,7,4
1531599195,2,2
1531602826,1,6
1531606410,6,4
1531610023,3,4
1531613622,14,3
1531617240,5,3
1531620801,2,13
1531624418,10,16
1531628017,4,5
1531631623,6,7
1531635230,5,3
1531638832,7,1
1531642431,2,7
1531646002,4,8
1531649615,4,4
1531653227,4,3
1531656820,2,3
1531660441,3,3
1531664005,4,8
1531667623,9,3
1531671245,6,9
1531674816,8,4
1531678446,2,4
1531682016,4,5
1531685619,8,5
1531689240,3,2
1531692846,4,3
1531696408,3,14
1531700044,32,8
1531703595,7,2
1531707198,4,10
1531710835,10,30
1531714401,2,7
1531718039,4,8
1531721611,5,5
1531725225,4,2
1531728792,5,3
1531732393,3,4
1531736006,1,8
1531739600,7,7
1531743194,4,5
1531746802,6,3
1531750404,3,3
1531754003,4,4
1531757588,4,4
1531761203,3,1
1531764811,5,3
1531768401,5,7
1531772014,8,5
1531775615,3,6
1531779196,6,13
1531782822,9,5
1531786442,27,4
1531790008,7,5
1531793648,9,3
1531797206,5,28
1531800844,9,5
1531804505,7,7
1531808001,9,1
1531811609,1,4
1531815235,3,4
1531818805,3,4
1531822433,4,5
1531826012,2,3
1531829635,5,7
1531833213,4,9
1531836798,5,20
1531840399,14,10
1531844038,14,4
1531847620,3,4
1531851221,8,1
1531854795,2,2
1531858415,6,3
1531861984,2,3
1531865616,4,6
1531869223,2,2
1531872862,26,15
1531876439,7,7
1531880033,8,9
1531883627,6,14
1531887247,4,7
1531890838,12,2
1531894448,6,3
1531898011,3,4
1531901632,3,7
1531905220,1,7
1531908845,8,4
1531912417,3,2
1531916042,4,6
1531919651,5,4
1531923243,3,4
1531926858,0,3
1531930425,3,2
1531934006,5,5
1531937631,5,2
1531941257,4,5
1531944784,4,6
