DateTime,AddedIPs,RemovedIPs
1525975292,0,2
1525982491,2,0
1525996895,0,2
1526126497,2,0
1526140898,0,2
1526144487,2,0
1526158897,0,2
1526169695,2,0
1526184098,0,2
1526256090,2,0
1526270498,0,2
1526277700,2,0
1526292099,0,2
1526306487,0,0
1526313696,2,0
1526317296,1,0
1526328096,0,2
1526331695,0,1
1526335298,3,0
1526349686,0,1
1526367684,0,2
1526374893,1,0
1526385698,2,0
1526389298,0,1
1526400096,0,2
1526410905,5,0
1526425298,0,3
1526443292,0,2
1526464891,2,0
1526479291,0,2
1526511696,2,0
1526533293,2,0
1526547680,0,4
1526554881,2,0
1526587281,0,2
1526641299,2,0
1526666498,0,2
1526684495,2,0
1526698898,0,2
1526709686,2,0
1526727701,0,2
1526738501,2,0
1526752898,0,2
1526763698,1,0
1526774499,2,0
1526778085,0,1
1526788884,0,2
1526792494,2,0
1526806898,0,2
1526832094,2,0
1526835698,2,0
1526846497,0,2
1526850100,0,2
1526860899,2,0
1526868085,1,0
1526875286,0,2
1526882496,0,1
1526904096,2,0
1526907696,1,0
1526918498,0,2
1526922098,0,1
1527019297,2,0
1527033701,0,2
1527037290,2,0
1527055290,0,2
1527066093,2,0
1527080494,0,2
1527102088,2,0
1527120085,0,2
1527156091,2,0
1527184893,1,0
1527192080,0,2
1527199289,0,1
1527210097,2,0
1527213695,1,0
1527224484,0,2
1527228087,0,1
1527289295,0,0
1527292892,4,0
1527296499,0,0
1527300097,0,0
1527303696,0,0
1527307298,0,4
1527310894,0,0
1527314499,0,0
1527318084,0,0
1527321698,0,0
1527325287,2,0
1527328896,0,0
1527332494,0,0
1527336086,0,0
1527339696,0,0
1527343297,0,0
1527346885,0,0
1527350495,0,0
1527354097,0,0
1527357697,0,0
1527361288,0,0
1527364897,0,2
1527368493,0,0
1527372097,0,0
1527375697,0,0
1527379291,0,0
1527382894,0,0
1527386499,0,0
1527390099,0,0
1527393694,0,0
1527397299,0,0
1527404495,2,0
1527418898,0,2
1527426096,2,0
1527440492,0,2
1527483687,2,0
1527505285,0,2
1527512495,2,0
1527526885,0,2
1527548497,2,0
1527562905,0,2
1527613306,2,0
1527656485,0,2
1527674487,2,0
1527681692,2,0
1527688897,1,2
1527696098,0,2
1527703298,0,1
1527721536,2,0
1527735697,0,2
1527739298,2,0
1527753699,0,2
1527768097,3,0
1527782457,0,3
1527800461,2,0
1527814889,0,2
1527818491,2,0
1527825689,1,0
1527832891,0,2
1527843690,0,1
1527854489,2,0
