DateTime,AddedIPs,RemovedIPs
1520653065,9,6
1520675064,6,8
1520697174,12,4
1520719277,16,23
1520741328,13,3
1520763390,14,3
1520785453,2,3
1520807553,5,3
1520829877,27,5
1520852201,3,7
1520874263,2,149
1520896150,3,5
1520918539,4,4
1520940491,7,16
1520962600,20,13
1520984669,14,5
1521006742,1,4
1521028838,8,6
1521050682,19,9
1521072754,6,301
1521094852,4,375
1521117038,4,5
1521138987,5,3
1521161121,2,3
1521183134,3,5
1521205252,8,6
1521227556,3,6
1521249431,5,4
1521271708,5,8
1521293789,5,11
1521315876,4,11
1521338207,3,16
1521360265,2,13
1521382455,6,6
1521404423,6,2
1521426500,2,31
1521448660,7,1
1521470674,8,3
1521492818,20,6
1521514877,1,3
1521536904,10,8
1521558759,7,13
1521580811,11,26
1521602662,3,1
1521624741,8,5
1521646821,9,6
1521668855,31,7
1521690751,5,1
1521724763,1735,6
1521746914,7,5
1521768986,7,4
1521791073,2,4
1521813150,14,5
1521846504,13,4
1521868358,6,4
1521890436,3,6
1521912954,5,4
1521934823,34,3
1521956910,4,3
1521978780,1,3
1522011858,7,7
1522033713,4,1
1522055589,9,8
1522077606,3,4
1522122028,19,38
1522143871,3,7
1522166209,13,5
1522188298,8,7
1522233300,8,13
1522278326,4,814
1522300599,0,4
1522322730,0,372
1522344752,0,486
1522366815,0,2
1522388920,0,4
1522411037,0,9
1522433320,0,7
1522455376,0,2
1522477473,0,1
1522499542,0,4
1522521409,0,2
1522543448,0,33
1522565662,0,1
1522587612,0,2
1522631842,0,40
1522654113,0,33
1522676187,0,8
1522698265,0,5
1522720342,0,9
1522742487,0,10
1522764528,0,9
1522786825,0,38
1522808847,0,12
1522830754,0,221
1522853076,0,59
1523318441,3,1
1523340537,13,0
1523362569,3,0
1523384431,3,0
1523406509,2,0
1523428838,3,0
1523450691,3,0
1523472752,3,0
1523494827,2,0
1523516929,1,0
1523539246,2,0
1523561301,2,0
1523583143,2,0
1523627055,2,0
1523649258,3,0
1523671768,5,0
1523693772,1,0
1523715633,1,0
1523737773,1,0
1523772347,2,0
1523894678,2,0
1523916531,1,0
1523938581,0,7
1523960448,0,2
1523982861,1,0
1524004997,2,0
1524027166,1,2
1524049420,1,2
1524071338,0,3
1524093931,0,0
1524115959,0,1
1524138027,0,1
1524159877,2,0
1524181947,0,2
1524204027,0,1
1524226108,3,3
1524247981,1,0
1524270024,0,4
1524291879,3,0
1524313950,2,2
1524336034,3,0
1524357889,3,1
1524379976,1,2
1524402035,2,1
1524424139,1,0
1524446049,15,1
1524468275,3,1
1524490343,3,0
1524512664,3,0
1524534753,2,0
1524556600,1,1
1524578880,2,0
1524600763,2,4
1524622830,92,2
1524644897,1,1
1524667001,1,0
1524688993,1,2
1524711144,1,1
1524733011,3,1
1524754936,2,0
1524776924,0,1
1524798991,4,0
1524820843,0,2
1524842926,3,1
1524865215,2,0
1524887060,1,2
1524908909,2,3
1524930997,1,1
1524953073,1,1
1524975218,6,1
1524997218,2,1
1525019368,1,3
1525041623,3,0
1525063942,1,3
1525086034,2,1
1525108104,1,3
1525130204,7,2
1525152265,4,2
1525174346,4,0
1525196423,1,2
1525218318,2,66
1525240354,1,30
1525262447,0,2
1525284447,1,2
1525306377,1,0
1525328429,0,2
1525350391,3,2
1525372351,1,3
1525394197,3,0
1525416250,0,3
1525438356,2,1
1525460455,92,0
1525482506,0,1
1525504374,0,1
1525526424,3,3
1525548288,1,1
1525570354,1,2
1525592213,1,3
1525636371,2514,0
1525658441,2,1
1525680556,0,1
1525702606,1,3
1525724924,2,4
1525747006,2,3
1525769142,3,3
1525791163,2,1
1525813240,1,2
1525835735,2,2
1525879718,1,2
1525901807,4,1
1525923651,1,0
1525968073,1,2
1525990119,1,2
1526012210,1,1
1526332107,1584,2191
1526354297,4,1
1526376266,8,3
1526398122,11,5
1526420440,8,4
1526442502,1735,4
1526464349,1229,8
1526486300,9,7
1526508524,5,9
1526530581,109,1251
1526552667,6,15
1526574520,20,8
1526596573,18,6
1526618667,6,20
1526640748,8,5
1526662590,8,47
1526684927,7,17
1526706994,6,2
1526729081,5,9
1526751144,178,5
1526772993,3,5
1526795459,6,0
1526817368,2,2
1526839241,1,31
1526861449,2,21
1526883391,16,3
1526905484,15,8
1526927575,7,4
1526949995,7,9
1526971961,5,3
1526994287,27,10
1527016133,4,7
1527038432,11,1576
1527060500,5,9
1527082604,9,4
1527104787,69,5
1527126747,15,114
1527148605,0,5
1527170672,6,650
1527192529,5,1060
1527214875,3,5
1527236952,6,5
1527258970,7,11
1527280840,2,13
1527303216,127,4
1527325261,6,4
1527347863,7,5
1527371134,20,9
1527393917,5,7
1527415936,5,2
1527438028,2,2
1527460587,24,3
1527482704,5,3
1527504729,3,15
1527526575,5,177
1527548439,5,3
1527570521,5,1
1527592595,5,4
1527614665,9,3
1527636749,8,12
1527658604,83,4
1527680582,4,5
1527702749,4,116
1527724835,113,0
1527746907,8,3
1527768769,5,5
1527790841,6,3
1527813159,7,17
1527835257,3,2
1527857292,2,10
1527879140,5,5
1527901244,2,123
1527923306,1,5
1527946022,4,5
1527968414,3,6
1527991395,1,1
1528013296,3,1
1528035389,2,21
1528057449,2,28
1528079299,5,12
1528101139,15,5
1528122979,3,7
1528144826,0,18
1528166906,2,4
1528188975,3,4
1528210845,4,7
1528232902,7,10
1528254749,8,80
1528276822,4,9
1528299051,3,4
1528324412,13,123
1528346424,10,4
1528368493,1,3
1528390333,2,8
1528412187,4,5
1528434256,4,3
1528456343,8,5
1528478195,6,5
1528500252,0,3
1528522346,3,0
1528544202,39,5
1528566261,7,8
1528588344,5,2
1528610445,3,1
1528632514,3,5
1528654356,6,3
1528676328,2,25
1528698255,2,39
1528720100,1,3
1528741960,3,2
1528764020,4,13
1528785868,6,2
1528807928,24,4
1528829793,4,14
1528851867,18,9
1528873716,5,2
1528895779,4,2
1528918906,17,5
1528941134,9,9
1528963236,8,7
1528985624,18,3
1529007621,4,4
1529029711,3,4
1529051822,2,5
1529073862,5,8
1529096006,2,1
1529118024,15,9
1529140107,24,18
1529162166,15,3
1529184026,13,4
1529206084,12,3
1529227951,415,27
1529250013,138,4
1529271868,10,3
1529293736,7,3
1529315774,3,2
1529337642,3,31
1529359720,3,3
1529382025,5,2
1529404096,4,1
1529425952,8,23
1529448261,5,3
1529470335,3,4
1529492190,4,4
1529514280,8,7
1529536211,3,11
1529558195,5,4
1529580274,1660,9
1529602364,7,5
1529624671,7,1
1529646745,7,3
1529679962,2,8
1529701942,8,2
1529723804,1,17
1529745856,3,9
1529767955,9,15
1529790029,1,18
1529812108,3,16
1529833949,6,474
1529856020,7,20
1529877872,9,11
1529899956,64,3
1529922024,10,2
1529944106,6,4
1529966187,7,1
1529988262,2,4
1530010357,2,5
1530032464,5,23
1530054492,194,13
1530076354,4,2
1530098416,5,3
1530120485,6,9
1530142390,16,1
1530164412,5,3
1530186287,1,1728
1530208331,2,6
1530230306,5,4
1530263591,5,6
1530286499,21,2
1530308422,10,9
1530330534,5,3
1530352588,110,2
1530385459,4,7
1530407725,3,2
1530429615,4,2
1530462747,15,8
1530484809,21,9
1530506653,4,0
1530528508,1,1
1530550580,6,5
1530572452,6,11
1530594504,4,2
1530616365,3,4
1530638332,6,7
1530660259,1,172
1530682099,5,3
1530704192,4,2
1530727005,3,7
1530749068,4,5
1530771149,125,1
1530792991,6,3
1530815080,2,5
1530837173,4,5
1530859216,7,8
1530881321,7,12
1530903375,7,2
