DateTime,AddedIPs,RemovedIPs
1528614756,0,2
1528618576,0,1
1528620525,1,1
1528622452,1,1
1528630092,1,1
1528632099,0,1
1528637780,0,1
1528639986,1,0
1528641864,1,0
1528643885,1,0
1528645715,2,0
1528657298,1,0
1528666371,1,0
1528668663,1,0
1528707377,0,1
1528709311,0,1
1528711317,1,0
1528713144,0,1
1528716975,0,1
1528726586,0,1
1528728493,0,1
1528730611,0,2
1528733963,0,1
1528738212,1,0
1528743879,0,1
1528753556,0,1
1528755373,0,1
1528765304,1,0
1528794509,3,0
1528796411,1,0
1528798334,1,0
1528817556,0,1
1528823771,0,1
1528833383,1,0
1528849450,1,0
1528851384,0,1
1528880544,0,3
1528882352,0,1
1528884389,0,1
1528894090,1,0
1528903689,1,0
1528907533,1,0
1528911384,1,0
1528921240,0,1
1528937423,1,1
1528945486,1,0
1528947384,1,0
1528953189,1,0
1528958938,1,0
1528980018,0,1
1528993686,0,1
1528997544,0,1
1529020570,1,0
1529024495,1,1
1529026334,0,1
1529028278,1,0
1529032097,0,1
1529034026,0,1
1529039788,1,1
1529045548,0,1
1529047464,1,0
1529051298,1,0
1529069778,1,0
1529073613,2,0
1529075544,1,0
1529081301,1,0
1529083227,1,0
1529087073,4,0
1529093877,1,0
1529099858,1,0
1529101733,1,0
1529106729,0,1
1529108650,1,0
1529110583,0,1
1529114494,0,1
1529120171,1,0
1529122106,2,0
1529125936,0,1
1529127864,2,0
1529133624,0,1
1529137453,0,1
1529139385,1,0
1529141296,1,0
1529154737,0,1
1529158575,0,1
1529160494,0,1
1529162426,0,1
1529164334,1,0
1529168184,0,1
1529170091,0,1
1529172090,0,1
1529173953,0,3
1529177772,1,0
1529181619,2,1
1529183539,1,0
1529185470,0,1
1529187367,0,1
1529191453,1,0
1529195292,0,1
1529208990,0,3
1529214736,0,2
1529226253,0,1
1529228168,1,1
1529232011,1,0
1529245451,1,0
1529249291,1,0
1529255056,0,1
1529264664,0,1
1529268491,0,2
1529270423,0,1
1529278356,1,1
1529282209,1,0
1529286033,1,0
1529291773,3,0
1529293737,1,0
1529314814,0,1
1529324550,1,0
1529328401,1,0
1529332238,0,1
1529336087,0,1
1529343987,1,0
1529364489,0,1
1529368577,0,1
1529372411,0,1
1529376257,1,0
1529378180,0,3
1529380101,0,1
1529382026,1,0
1529387772,1,0
1529389695,1,0
1529399302,1,0
1529405061,1,0
1529410833,0,1
1529414901,0,1
1529421759,1,0
1529423782,1,0
1529430737,0,1
1529434589,1,0
1529455948,1,0
1529463635,0,1
1529467458,0,1
1529471312,1,0
1529475138,0,2
1529476948,1,0
1529482580,1,0
1529486429,0,1
1529492191,0,1
1529496042,1,0
1529503938,2,0
1529507783,0,1
1529509707,0,1
1529521476,0,1
1529523705,1,0
1529525554,1,0
1529529402,1,0
1529541862,0,1
1529547623,1,0
1529557455,0,1
