DateTime,Entries,UniqueIPs
1532140099,167,167
1532142272,170,170
1532144237,173,173
1532146355,174,174
1532148332,170,170
1532150199,173,173
1532152135,177,177
1532154018,180,180
1532156047,176,176
1532157874,179,179
1532159829,183,183
1532161958,184,184
1532163913,184,184
1532165785,185,185
1532167738,186,186
1532169634,194,194
1532171595,195,195
1532173452,196,196
1532175456,195,195
1532177305,191,191
1532179274,189,189
1532181147,192,192
1532183123,195,195
1532184979,197,197
1532186972,194,194
1532188848,197,197
1532190835,193,193
1532192667,190,190
1532194636,191,191
1532196511,191,191
1532198472,190,190
1532200599,186,186
1532202737,192,192
1532204650,197,197
1532206597,193,193
1532208493,195,195
1532210427,192,192
1532212354,195,195
1532214524,187,187
1532216412,186,186
1532218362,183,183
1532220265,183,183
1532222200,186,186
1532224093,183,183
1532226037,184,184
1532227961,186,186
1532229853,185,185
1532231794,182,182
1532233693,185,185
1532235647,185,185
1532237805,183,183
1532239724,185,185
1532241621,186,186
1532243564,190,190
1532245460,186,186
1532247393,186,186
1532249537,182,182
1532251473,183,183
1532253378,189,189
1532255443,190,190
1532257462,188,188
1532259377,189,189
1532261303,191,191
1532263209,195,195
1532265145,198,198
1532267056,203,203
1532268979,200,200
1532270916,198,198
1532272820,197,197
1532274756,195,195
1532276674,197,197
1532278754,201,201
1532280740,206,206
1532282680,202,202
1532284570,204,204
1532286514,206,206
1532288422,202,202
1532290391,199,199
1532292293,208,208
1532294207,215,215
1532296112,217,217
1532298016,216,216
1532299947,222,222
1532302117,226,226
1532304027,232,232
1532305956,231,231
1532307869,235,235
1532309794,234,234
1532311718,236,236
1532313629,241,241
1532315561,242,242
1532317498,242,242
1532319391,243,243
1532321300,245,245
1532323220,243,243
1532325136,243,243
1532327111,244,244
1532329005,240,240
1532330896,242,242
1532332841,245,245
1532334753,245,245
1532336656,243,243
1532338582,245,245
1532341420,240,240
1532343372,243,243
1532345313,248,248
1532347267,249,249
1532349138,249,249
1532351074,249,249
1532352982,249,249
1532355152,246,246
1532357064,250,250
1532358999,251,251
1532360900,253,253
1532362847,249,249
1532364746,249,249
1532366896,253,253
1532368841,267,267
1532370762,264,264
1532372655,269,269
1532374576,273,273
1532376685,269,269
1532379761,259,259
1532381770,259,259
1532383973,262,262
1532385902,255,255
1532387794,250,250
1532389710,258,258
1532391634,260,260
1532393599,257,257
1532395498,256,256
1532397376,254,254
1532399325,251,251
1532401237,247,247
1532403146,247,247
1532405061,250,250
1532407007,250,250
1532408918,251,251
1532410821,252,252
1532412758,252,252
1532414657,253,253
1532416820,260,260
1532418764,261,261
1532420662,261,261
1532422880,269,269
1532424737,270,270
1532426674,271,271
1532428573,271,271
1532430513,269,269
1532432412,265,265
1532434370,265,265
1532436257,267,267
1532438198,270,270
1532440118,271,271
1532442261,274,274
1532444170,274,274
1532446100,274,274
1532448077,281,281
1532449972,284,284
1532451864,284,284
1532453790,283,283
1532455709,278,278
1532457616,272,272
1532459665,269,269
1532461721,266,266
1532463610,263,263
1532465571,258,258
1532467456,265,265
1532469392,260,260
1532471297,258,258
1532473305,253,253
1532475148,251,251
1532477089,245,245
1532478975,246,246
1532480927,247,247
1532482831,246,246
1532484768,247,247
1532486738,248,248
1532488582,255,255
1532490496,260,260
1532492427,265,265
1532494366,262,262
1532496260,261,261
1532498461,257,257
1532500441,255,255
1532502257,248,248
1532504181,241,241
1532506112,244,244
1532508035,239,239
1532509949,240,240
1532511867,236,236
1532513783,233,233
1532515723,234,234
1532517617,232,232
1532519590,230,230
1532521458,235,235
1532523399,232,232
1532525292,234,234
1532527244,234,234
1532529162,232,232
1532531337,235,235
1532533245,231,231
1532535398,224,224
1532537313,214,214
1532539222,212,212
1532541153,208,208
1532543075,207,207
1532544982,210,210
1532547016,210,210
1532548834,208,208
1532550797,211,211
1532552674,213,213
1532554640,202,202
1532556508,203,203
1532558495,200,200
1532560345,205,205
1532562299,207,207
1532564192,205,205
1532566142,205,205
1532568015,204,204
1532569987,205,205
1532571891,205,205
1532573817,200,200
1532575713,194,194
1532577731,186,186
1532579562,188,188
1532581518,188,188
1532583401,186,186
1532585347,186,186
1532587235,188,188
1532589222,192,192
1532591057,199,199
1532593041,196,196
1532594898,198,198
1532597107,194,194
1532598983,197,197
1532600948,194,194
1532602845,196,196
1532604831,197,197
1532606679,194,194
1532608646,191,191
1532610522,189,189
1532612473,183,183
1532614347,180,180
1532616577,175,175
1532618435,176,176
1532620489,175,175
1532622508,173,173
1532624409,175,175
1532626362,175,175
1532628324,180,180
1532630189,185,185
1532633591,186,186
1532635467,185,185
1532637662,188,188
1532639551,213,213
1532641503,214,214
1532643376,213,213
1532646401,220,220
1532648408,217,217
1532650245,216,216
1532652260,220,220
1532654099,222,222
1532656359,224,224
1532658270,226,226
1532660173,228,228
1532662128,231,231
1532664043,230,230
1532665969,229,229
1532667885,229,229
1532669813,229,229
1532671707,229,229
1532673891,228,228
1532675781,226,226
1532677973,223,223
1532679871,226,226
1532681796,220,220
1532683955,221,221
1532685878,222,222
1532687773,221,221
1532689736,229,229
1532691632,230,230
1532693573,235,235
1532695463,243,243
1532697386,245,245
1532699317,245,245
1532701307,244,244
1532703338,243,243
1532705309,239,239
1532707212,246,246
1532709155,247,247
1532711331,249,249
1532713227,248,248
1532715161,246,246
1532717070,248,248
1532718996,246,246
1532720896,241,241
1532722827,240,240
1532724739,238,238
1532726679,218,218
1532728580,216,216
1532731564,212,212
1532733393,210,210
1532735437,211,211
1532737473,213,213
1532739295,209,209
1532741556,209,209
1532743479,209,209
1532745376,207,207
1532747328,300,300
1532749233,300,300
1532751164,298,298
1532753069,299,299
1532755003,300,300
1532756913,303,303
1532758820,300,300
1532760754,303,303
1532762677,302,302
1532764587,301,301
1532766504,299,299
1532768454,299,299
1532770355,304,304
1532773069,301,301
1532774911,293,293
1532776810,291,291
1532778741,286,286
1532780651,280,280
1532782591,277,277
1532784490,273,273
1532786326,276,276
1532788419,274,274
1532790264,277,277
1532792171,276,276
1532794141,272,272
1532796034,272,272
1532797939,268,268
1532799851,265,265
1532801798,265,265
1532803695,258,258
1532805634,259,259
1532807776,258,258
1532810102,259,259
1532811914,254,254
1532813812,252,252
1532815713,251,251
1532817658,250,250
1532819589,253,253
1532821467,253,253
1532823414,249,249
1532826097,250,250
1532827958,250,250
1532829862,245,245
1532831791,247,247
1532833691,149,149
1532835858,149,149
1532837780,150,150
