DateTime,AddedIPs,RemovedIPs
1512429166,1,0
1512864983,25,0
1513998983,0,1
1515526265,0,25
1516267974,1,0
1518141670,0,1
1518752705,0,1
1519106899,1,0
1521590919,0,1
1526353299,2,0
1526701930,0,1
1527225403,0,0
1527312659,0,0
1527400172,0,0
1527836195,0,0
1527923308,0,0
1528271767,0,0
1529142981,1,0
1529927293,0,1
1530406615,1,0
1531539163,7892,0
1531887870,0,6312
1531974983,2,30
1532062107,0,31
1532149243,3,30
1532236604,1,30
1532323696,4,20
1532410822,1,24
1532498015,3,26
1532585072,0,33
1532672204,3,30
1532759301,3,33
1532846436,2,32
1532933794,4,21
1533021270,1,20
1533108762,2,22
