DateTime,Entries,UniqueIPs
1531008984,75,75
1531014976,74,74
1531025782,75,75
1531030602,75,75
1531038273,74,74
1531042098,75,75
1531044095,76,76
1531048129,74,74
1531050033,75,75
1531057700,76,76
1531062279,77,77
1531070307,78,78
1531078345,79,79
1531084344,39,39
1531088439,15,15
1531092267,16,16
1531094516,15,15
1531111494,13,13
1531113409,14,14
1531117224,13,13
1531128741,12,12
1531130675,8,8
1531134523,9,9
1531136416,8,8
1531144411,7,7
1531146277,8,8
1531148197,7,7
1531153950,8,8
1531155881,9,9
1531157839,9,9
1531159896,54,54
1531161876,79,79
1531163796,78,78
1531166001,79,79
1531167881,80,80
1531179623,79,79
1531181538,80,80
1531185438,81,81
1531198578,80,80
1531200495,82,82
1531202502,83,83
1531215855,84,84
1531217798,85,85
1531219696,85,85
1531221629,87,87
1531223612,88,88
1531229566,89,89
1531231473,90,90
1531233390,89,89
1531239197,89,89
1531241086,90,90
1531242992,88,88
1531244900,90,90
1531246816,21,21
1531248750,20,20
1531250727,19,19
1531254506,18,18
1531258354,19,19
1531262197,20,20
1531264129,21,21
1531267969,20,20
1531271784,19,19
1531277600,20,20
1531279455,25,25
1531285729,22,22
1531289547,21,21
1531299154,22,22
1531301066,21,21
1531304900,19,19
1531308772,17,17
1531310688,16,16
1531312590,18,18
1531316438,17,17
1531318366,21,21
1531320305,30,30
1531326405,30,30
1531328488,31,31
1531332260,29,29
1531342110,30,30
1531344030,29,29
1531348105,28,28
1531351940,27,27
1531363466,26,26
1531365403,21,21
1531369214,23,23
1531382676,24,24
1531386523,24,24
1531396108,25,25
1531398033,24,24
1531399998,23,23
1531401881,22,22
1531403786,18,18
1531405698,9,9
1531407667,11,11
1531413413,10,10
1531415291,8,8
1531427054,7,7
1531438090,8,8
1531440100,9,9
1531453461,11,11
1531455635,9,9
1531468361,8,8
1531472195,7,7
1531479884,8,8
1531483734,7,7
1531485632,8,8
1531493549,8,8
1531495471,7,7
1531497369,8,8
1531499291,9,9
1531516593,29360,29360
1531520429,29566,29566
1531522385,29567,29567
1531531060,29570,29570
1531542594,29571,29571
1531545410,29572,29572
1531574962,29574,29574
1531577874,29575,29575
1531581651,29576,29576
1531591996,29577,29577
1531610225,29578,29578
1531612135,29582,29582
1531616006,29591,29591
1531620348,29596,29596
1531622495,29597,29597
1531648402,29598,29598
1531669775,29599,29599
1531671910,29605,29605
1531675256,29617,29617
1531683443,29618,29618
1531685378,29619,29619
1531748923,29620,29620
1531752792,29621,29621
1531758771,29622,29622
1531794317,29623,29623
1531807022,29627,29627
1531812168,29628,29628
1531828623,29629,29629
1531865566,9,9
1531871300,11,11
1531873216,12,12
1531880914,11,11
1531886658,13,13
1531892443,9,9
1531894363,11,11
1531900106,11,11
1531903940,12,12
1531907796,13,13
1531915468,12,12
1531942628,13,13
1531944526,12,12
1531954115,13,13
1531957984,11,11
1531959860,10,10
1531973333,8,8
1531977419,12,12
1531979307,10,10
1531981269,9,9
1531985295,8,8
1531989169,8,8
1531992995,7,7
1531994916,9,9
1532002603,12,12
1532006417,13,13
1532010289,15,15
1532012186,16,16
1532014100,18,18
1532019907,20,20
1532025631,21,21
1532027455,22,22
1532029455,21,21
1532037404,22,22
1532041233,21,21
1532045342,22,22
1532047229,23,23
1532053219,24,24
1532057065,26,26
1532059009,28,28
1532061153,30,30
1532063090,27,27
1532064990,26,26
1532076504,26,26
1532078483,27,27
1532080359,26,26
1532082296,25,25
1532088064,23,23
1532089957,24,24
1532091882,24,24
1532095718,23,23
1532097626,24,24
1532099560,65,65
1532101466,63,63
1532103388,65,65
1532105322,65,65
1532107241,64,64
1532109163,67,67
1532111062,87,87
1532112997,86,86
1532116885,87,87
1532118764,89,89
1532120675,90,90
1532124510,89,89
1532126425,90,90
1532128594,93,93
1532132424,94,94
1532134345,94,94
1532140101,93,93
1532142274,91,91
1532146356,89,89
1532148334,87,87
1532163915,86,86
1532165787,85,85
1532175458,84,84
1532177306,83,83
1532179276,82,82
1532181148,81,81
1532184983,40,40
1532186976,38,38
1532190837,36,36
1532192669,35,35
1532194638,33,33
1532196513,28,28
1532198474,12,12
1532202739,11,11
1532204655,10,10
1532206602,8,8
1532212356,7,7
1532214526,4,4
1532218364,2,2
1532222202,1,1
1532231796,22,22
1532237807,24,24
1532245462,25,25
1532247395,26,26
1532251477,30,30
1532253380,31,31
1532257464,32,32
1532261311,33,33
1532268981,37,37
1532270918,39,39
1532280745,40,40
1532282681,43,43
1532284572,45,45
1532286517,47,47
1532288425,68,68
1532302119,69,69
1532313634,71,71
1532315563,73,73
1532317500,54,54
1532321302,55,55
1532323225,54,54
1532325138,53,53
1532330898,54,54
1532332850,53,53
1532334755,54,54
1532336658,53,53
1532338584,50,50
1532341425,49,49
1532343374,48,48
1532347270,47,47
1532349141,48,48
1532355155,44,44
1532359002,42,42
1532366898,40,40
1532368888,37,37
1532370764,35,35
1532372657,53,53
1532374578,45,45
1532376687,50,50
1532379763,51,51
1532381772,52,52
1532383979,54,54
1532387799,53,53
1532389712,54,54
1532391636,56,56
1532399327,57,57
1532401275,55,55
1532403148,54,54
1532405063,53,53
1532407009,52,52
1532408921,53,53
1532416822,53,53
1532418766,53,53
1532422892,52,52
1532436258,51,51
1532449977,84,84
1532451866,85,85
1532459668,80,80
1532461723,79,79
1532465572,80,80
1532467457,79,79
1532469394,78,78
1532471299,79,79
1532475150,80,80
1532477090,77,77
1532478977,78,78
1532480930,80,80
1532484770,79,79
1532486740,80,80
1532488584,81,81
1532490501,80,80
1532492430,85,85
1532496265,84,84
1532498485,85,85
1532502259,84,84
1532504183,83,83
1532506114,84,84
1532509954,85,85
1532511869,86,86
1532515724,89,89
1532527297,90,90
1532535400,42,42
1532539224,41,41
1532543077,42,42
1532544984,43,43
1532548884,26,26
1532550799,25,25
1532552676,26,26
1532556513,24,24
1532558497,25,25
1532560347,46,46
1532564194,45,45
1532566145,44,44
1532568017,43,43
1532569989,44,44
1532573819,42,42
1532575718,42,42
1532579564,37,37
1532583403,38,38
1532585356,37,37
1532593043,38,38
1532594901,40,40
1532597115,39,39
1532598985,38,38
1532600950,35,35
1532606681,39,39
1532612475,38,38
1532620491,39,39
1532626365,40,40
1532628327,40,40
1532630191,48,48
1532633593,123,123
1532637664,123,123
1532639557,122,122
1532643377,123,123
1532646403,124,124
1532648410,108,108
1532656361,107,107
1532660175,108,108
1532662130,109,109
1532665971,111,111
1532669815,110,110
1532673893,112,112
1532675787,113,113
1532679873,109,109
1532681798,110,110
1532683957,116,116
1532693575,113,113
1532695465,114,114
1532699319,115,115
1532705311,119,119
1532707215,118,118
