DateTime,Entries,UniqueIPs
1532140102,882,882
1532142275,877,877
1532144239,883,883
1532146357,884,884
1532148335,886,886
1532150201,884,884
1532152137,881,881
1532154021,878,878
1532156049,881,881
1532157876,847,847
1532159831,830,830
1532161960,833,833
1532163915,835,835
1532165788,834,834
1532167742,834,834
1532169638,837,837
1532171597,837,837
1532173458,840,840
1532175458,841,841
1532177307,903,903
1532179277,905,905
1532181151,902,902
1532183125,1031,1031
1532184983,1037,1037
1532186977,1045,1045
1532188864,1051,1051
1532190837,1057,1057
1532192669,1030,1030
1532194638,1080,1080
1532196514,1084,1084
1532198475,1089,1089
1532200601,1085,1085
1532202740,1082,1082
1532204655,1093,1093
1532206602,1091,1091
1532208496,1130,1130
1532210433,1277,1277
1532212357,1250,1250
1532214527,1245,1245
1532216417,1265,1265
1532218368,1264,1264
1532220268,1262,1262
1532222203,1255,1255
1532224095,1252,1252
1532226040,1248,1248
1532227963,1247,1247
1532229856,1243,1243
1532231797,1236,1236
1532233696,1238,1238
1532235715,1233,1233
1532237808,1262,1262
1532239728,1261,1261
1532241624,1289,1289
1532243567,1292,1292
1532245463,1305,1305
1532247396,1383,1383
1532249540,1382,1382
1532251478,1380,1380
1532253380,1386,1386
1532255446,1387,1387
1532257464,1387,1387
1532259379,1383,1383
1532261312,1378,1378
1532263211,1319,1319
1532265147,1321,1321
1532267059,1321,1321
1532268981,1210,1210
1532270918,1200,1200
1532272825,1192,1192
1532274758,1191,1191
1532276679,1185,1185
1532278757,1184,1184
1532280745,1181,1181
1532282682,1180,1180
1532284575,1175,1175
1532286521,1170,1170
1532288425,1166,1166
1532290394,1162,1162
1532292295,1157,1157
1532294210,1157,1157
1532296119,998,998
1532298018,1000,1000
1532299950,1004,1004
1532302120,1051,1051
1532304030,1046,1046
1532305959,1049,1049
1532307875,1140,1140
1532309796,1140,1140
1532311768,1145,1145
1532313634,1486,1486
1532315564,2216,2216
1532317501,2217,2217
1532319394,2220,2220
1532321303,2224,2224
1532323226,2225,2225
1532325139,2205,2205
1532327115,2206,2206
1532329008,2201,2201
1532330898,2167,2167
1532332859,2160,2160
1532334756,2076,2076
1532336659,2070,2070
1532338585,2071,2071
1532341426,2065,2065
1532343375,2065,2065
1532345319,2063,2063
1532347270,2068,2068
1532349142,2072,2072
1532351076,2072,2072
1532352985,2026,2026
1532355155,2024,2024
1532357068,2088,2088
1532359002,2101,2101
1532360902,2098,2098
1532362850,2068,2068
1532364749,2071,2071
1532366899,2081,2081
1532368890,2232,2232
1532370765,2231,2231
1532372658,2237,2237
1532374579,2248,2248
1532376688,2252,2252
1532379764,2260,2260
1532381773,2240,2240
1532383979,2238,2238
1532385905,2272,2272
1532387799,2231,2231
1532389713,2210,2210
1532391637,2212,2212
1532393605,2131,2131
1532395500,2136,2136
1532397379,2134,2134
1532399328,2133,2133
1532401290,1051,1051
1532403148,1063,1063
1532405064,1066,1066
1532407009,1055,1055
1532408923,1058,1058
1532410824,1062,1062
1532412760,1445,1445
1532414659,2059,2059
1532416823,2679,2679
1532418766,2691,2691
1532420665,2691,2691
1532422893,2694,2694
1532424739,2983,2983
1532426677,2995,2995
1532428575,2996,2996
1532430522,3004,3004
1532432415,3002,3002
1532434373,3006,3006
1532436259,2999,2999
1532438201,3003,3003
1532440120,3008,3008
1532442263,2943,2943
1532444173,2976,2976
1532446103,2975,2975
1532448093,2976,2976
1532449978,2978,2978
1532451867,2975,2975
1532453793,2805,2805
1532455715,2769,2769
1532457619,2831,2831
1532459668,2825,2825
1532461724,2960,2960
1532463612,5805,5805
1532465573,7703,7703
1532467458,8868,8868
1532469395,8872,8872
1532471300,8867,8867
1532473311,8869,8869
1532475151,8867,8867
1532477091,8866,8866
1532478978,8867,8867
1532480931,8864,8864
1532482834,8864,8864
1532484771,8868,8868
1532486741,8966,8966
1532488585,8965,8965
1532490502,8961,8961
1532492431,8962,8962
1532494369,8962,8962
1532496266,8945,8945
1532498486,8811,8811
1532500444,8279,8279
1532502260,7652,7652
1532504184,7468,7468
1532506115,7465,7465
1532508038,7466,7466
1532509955,7383,7383
1532511870,7391,7391
1532513785,7561,7561
1532515725,7560,7560
1532517619,7585,7585
1532519593,7583,7583
1532521461,7576,7576
1532523402,7579,7579
1532525295,7578,7578
1532527301,7582,7582
1532529165,7583,7583
1532531345,7550,7550
1532533247,7551,7551
1532535401,7547,7547
1532537315,7545,7545
1532539228,7549,7549
1532541156,7546,7546
1532543078,7549,7549
1532544985,7494,7494
1532547019,7496,7496
1532548892,5998,5998
1532550799,4133,4133
1532552676,2579,2579
1532554643,2083,2083
1532556516,2069,2069
1532558498,3238,3238
1532560348,4722,4722
1532562302,5664,5664
1532564195,5666,5666
1532566146,5669,5669
1532568018,5672,5672
1532569990,5677,5677
1532571894,5694,5694
1532573819,5591,5591
1532575719,5594,5594
1532577734,5598,5598
1532579565,5597,5597
1532581521,5599,5599
1532583404,5604,5604
1532585357,5608,5608
1532587238,5609,5609
1532589224,5764,5764
1532591059,5765,5765
1532593044,5770,5770
1532594901,5773,5773
