DateTime,AddedIPs,RemovedIPs
1512717390,0,1
1512805313,1,0
1513070182,2,0
1513675965,0,3
1514227962,1,0
1514404124,1,0
1514623955,1,0
1514822205,0,1
1514998599,0,1
1515220528,0,1
1515507173,1,0
1516103816,1,1
1516699240,0,1
1518013006,1,0
1518079475,0,1
1518763362,0,1
1518830248,1,0
1518852288,1,0
1519449086,0,1
1519648467,1,0
1519726126,1,0
1519793057,0,1
1520510468,0,1
1520576659,1,0
1520862878,0,1
1521061722,1,0
1521194178,0,1
1521646822,0,1
1521803063,1,0
1522211998,0,1
1523307088,0,0
1526332108,4,0
1526420442,1,0
1526552669,0,2
1526772610,0,1
1526992866,2,0
1527103224,0,2
1527278911,0,0
1527300898,0,0
1527322892,0,0
1527344841,0,0
1527366745,0,0
1527389394,0,0
1527895002,0,0
1527918675,0,0
1527941457,0,0
1527963556,0,0
1527985441,0,0
1528095134,0,2
1529420667,2,0
1529992349,0,2
1530039854,1,0
1530105866,1,0
1530427691,1,0
1530647441,0,1
1530713124,0,1
1530735155,1,0
1530801393,1,0
1531330810,0,1
1531374993,0,2
1531401882,1,0
1531523796,720,0
1531545875,43948,0
1531744629,1,0
1531866268,0,35977
1531888335,8,11
1531910214,5,3
1531932265,6,7
1531954119,152,16
1531976008,336,12
1531998284,7,6
1532020373,3,361
1532043073,18,11
1532064991,8,12
1532087081,6,422
1532109164,1,93
1532131234,8,128
1532153076,5,4
1532174939,5,5
1532196992,146,3
1532219071,150,101
1532240949,13,7
1532262982,4,392
1532284837,3,23
1532306923,54,17
1532329008,9,1538
1532351077,4,72
1532373173,126,193
1532395119,10,93
1532417071,1080,2
1532439159,247,6
1532461005,64,2
1532483308,1330,19
1532505391,9,6
1532527302,377,10
1532549428,4,3
1532571388,19,369
1532593468,2,223
1532615692,810,6
1532637666,96,15
1532659704,136,5
1532681799,210,32
1532703872,10,3
1532725948,4,2
1532747796,7,4
1532770023,2,6
1532791954,145,43
1532813815,4,29
1532835861,10,3
1532857956,87,12
1532880029,7,2
1532901876,19,4
1532924278,0,306
1532946268,437,3
1532968359,5,53
1532990478,4,60
1533012497,4,4
1533034367,4,4
1533056455,260,7
1533078501,209,1346
1533100598,292,65
