DateTime,Entries,UniqueIPs
1532140102,927,927
1532142275,926,926
1532144239,933,933
1532146357,932,932
1532148335,937,937
1532150202,934,934
1532152138,931,931
1532154021,929,929
1532156049,934,934
1532157876,902,902
1532159832,883,883
1532161960,886,886
1532163916,888,888
1532165788,886,886
1532167743,884,884
1532169639,886,886
1532171597,886,886
1532173459,888,888
1532175459,887,887
1532177307,948,948
1532179277,950,950
1532181151,949,949
1532183125,1077,1077
1532184984,1084,1084
1532186977,1092,1092
1532188872,1099,1099
1532190837,1106,1106
1532192670,1083,1083
1532194639,1133,1133
1532196514,1133,1133
1532198475,1140,1140
1532200602,1137,1137
1532202740,1137,1137
1532204656,1146,1146
1532206603,1145,1145
1532208496,1186,1186
1532210434,1333,1333
1532212357,1306,1306
1532214527,1302,1302
1532216418,1322,1322
1532218368,1319,1319
1532220268,1314,1314
1532222203,1308,1308
1532224095,1306,1306
1532226041,1301,1301
1532227963,1298,1298
1532229856,1292,1292
1532231797,1286,1286
1532233696,1283,1283
1532235715,1276,1276
1532237808,1310,1310
1532239729,1309,1309
1532241625,1337,1337
1532243567,1339,1339
1532245463,1352,1352
1532247396,1431,1431
1532249541,1430,1430
1532251478,1428,1428
1532253381,1435,1435
1532255446,1436,1436
1532257465,1435,1435
1532259379,1429,1429
1532261312,1426,1426
1532263211,1366,1366
1532265148,1371,1371
1532267059,1372,1372
1532268982,1260,1260
1532270919,1248,1248
1532272825,1240,1240
1532274759,1239,1239
1532276679,1232,1232
1532278757,1223,1223
1532280746,1219,1219
1532282682,1222,1222
1532284576,1215,1215
1532286523,1211,1211
1532288426,1205,1205
1532290394,1201,1201
1532292295,1196,1196
1532294210,1196,1196
1532296119,1035,1035
1532298019,1037,1037
1532299951,1041,1041
1532302120,1087,1087
1532304031,1083,1083
1532305960,1088,1088
1532307875,1177,1177
1532309797,1176,1176
1532311768,1182,1182
1532313635,1524,1524
1532315564,2252,2252
1532317501,2254,2254
1532319394,2259,2259
1532321303,2261,2261
1532323226,2262,2262
1532325139,2243,2243
1532327116,2241,2241
1532329009,2236,2236
1532330899,2202,2202
1532332864,2196,2196
1532334756,2112,2112
1532336660,2106,2106
1532338585,2106,2106
1532341426,2101,2101
1532343375,2101,2101
1532345319,2101,2101
1532347271,2106,2106
1532349142,2109,2109
1532351077,2109,2109
1532352985,2060,2060
1532355156,2059,2059
1532357068,2122,2122
1532359003,2134,2134
1532360903,2131,2131
1532362850,2104,2104
1532364749,2107,2107
1532366900,2117,2117
1532368891,2266,2266
1532370765,2267,2267
1532372658,2274,2274
1532374579,2286,2286
1532376688,2291,2291
1532379764,2301,2301
1532381773,2281,2281
1532383980,2280,2280
1532385906,2314,2314
1532387800,2274,2274
1532389713,2256,2256
1532391638,2258,2258
1532393605,2179,2179
1532395501,2183,2183
1532397379,2181,2181
1532399329,2180,2180
1532401296,1099,1099
1532403149,1109,1109
1532405065,1115,1115
1532407010,1105,1105
1532408923,1108,1108
1532410825,1112,1112
1532412760,1495,1495
1532414659,2112,2112
1532416823,2733,2733
1532418767,2746,2746
1532420665,2743,2743
1532422894,2748,2748
1532424740,3039,3039
1532426677,3049,3049
1532428575,3050,3050
1532430524,3059,3059
1532432416,3057,3057
1532434373,3062,3062
1532436260,3056,3056
1532438201,3061,3061
1532440121,3067,3067
1532442264,3002,3002
1532444173,3036,3036
1532446103,3037,3037
1532448094,3037,3037
1532449980,3039,3039
1532451867,3035,3035
1532453793,2864,2864
1532455715,2829,2829
1532457619,2888,2888
1532459669,2880,2880
1532461724,3016,3016
1532463613,5858,5858
1532465574,7754,7754
1532467459,8918,8918
1532469396,8921,8921
1532471300,8916,8916
1532473311,8919,8919
1532475152,8914,8914
1532477093,8912,8912
1532478978,8913,8913
1532480931,8907,8907
1532482834,8907,8907
1532484771,8912,8912
1532486741,9006,9006
1532488586,9006,9006
1532490503,9002,9002
1532492432,9003,9003
1532494370,9003,9003
1532496267,8987,8987
1532498487,8854,8854
1532500444,8321,8321
1532502261,7696,7696
1532504184,7509,7509
1532506115,7505,7505
1532508038,7503,7503
1532509955,7422,7422
1532511870,7432,7432
1532513786,7599,7599
1532515726,7598,7598
1532517620,7622,7622
1532519594,7619,7619
1532521461,7611,7611
1532523402,7613,7613
1532525295,7611,7611
1532527303,7614,7614
1532529165,7615,7615
1532531345,7578,7578
1532533248,7579,7579
1532535401,7577,7577
1532537316,7574,7574
1532539229,7580,7580
1532541157,7578,7578
1532543078,7582,7582
1532544985,7530,7530
1532547019,7533,7533
1532548892,6033,6033
1532550800,4168,4168
1532552677,2614,2614
1532554643,2123,2123
1532556517,2109,2109
1532558498,3280,3280
1532560348,4765,4765
1532562302,5705,5705
1532564195,5706,5706
1532566146,5710,5710
1532568019,5715,5715
1532569990,5721,5721
1532571894,5738,5738
1532573820,5634,5634
