DateTime,Entries,UniqueIPs
1532140103,597,597
1532142276,596,596
1532144240,594,594
1532146358,590,590
1532148335,585,585
1532150203,585,585
1532152138,592,592
1532154022,601,601
1532156050,602,602
1532157877,603,603
1532159832,604,604
1532161960,603,603
1532163916,608,608
1532165789,606,606
1532167743,601,601
1532169639,598,598
1532171598,602,602
1532173459,591,591
1532175459,589,589
1532177307,589,589
1532179277,597,597
1532181151,600,600
1532183126,602,602
1532184984,600,600
1532186978,600,600
1532188899,600,600
1532190838,596,596
1532192670,599,599
1532194639,596,596
1532196514,604,604
1532198475,600,600
1532200602,587,587
1532202743,569,569
1532204656,572,572
1532206603,568,568
1532208497,565,565
1532210434,552,552
1532212358,533,533
1532214528,520,520
1532216419,517,517
1532218368,494,494
1532220269,483,483
1532222204,476,476
1532224096,476,476
1532226041,477,477
1532227964,476,476
1532229857,478,478
1532231797,474,474
1532233697,476,476
1532235716,476,476
1532237809,477,477
1532239729,463,463
1532241626,453,453
1532243568,446,446
1532245464,456,456
1532247397,455,455
1532249542,451,451
1532251479,448,448
1532253381,439,439
1532255447,446,446
1532257465,445,445
1532259380,442,442
1532261312,443,443
1532263212,442,442
1532265148,438,438
1532267060,439,439
1532268982,432,432
1532270919,428,428
1532272826,425,425
1532274759,421,421
1532276679,414,414
1532278758,397,397
1532280746,402,402
1532282683,413,413
1532284576,412,412
1532286528,475,475
1532288429,480,480
1532290394,482,482
1532292296,486,486
1532294210,484,484
1532296119,485,485
1532298019,485,485
1532299951,483,483
1532302121,490,490
1532304031,497,497
1532305960,491,491
1532307876,491,491
1532309797,489,489
1532311769,483,483
1532313635,475,475
1532315565,477,477
1532317503,476,476
1532319395,476,476
1532321303,472,472
1532323227,471,471
1532325140,470,470
1532327116,462,462
1532329009,460,460
1532330899,458,458
1532332867,456,456
1532334757,460,460
1532336661,463,463
1532338586,467,467
1532341427,463,463
1532343376,459,459
1532345319,458,458
1532347271,460,460
1532349142,464,464
1532351078,463,463
1532352985,467,467
1532355156,481,481
1532357069,501,501
1532359003,517,517
1532360903,519,519
1532362851,520,520
1532364750,529,529
1532366900,530,530
1532368891,492,492
1532370766,492,492
1532372658,445,445
1532374579,431,431
1532376688,430,430
1532379764,430,430
1532381773,428,428
1532383980,422,422
1532385906,409,409
1532387800,398,398
1532389713,384,384
1532391638,377,377
1532393605,384,384
1532395504,384,384
1532397381,382,382
1532399329,381,381
1532401298,377,377
1532403149,382,382
1532405065,384,384
1532407010,393,393
1532408924,414,414
1532410825,433,433
1532412761,451,451
1532414660,462,462
1532416824,466,466
1532418767,475,475
1532420665,474,474
1532422894,470,470
1532424740,462,462
1532426677,477,477
1532428576,487,487
1532430526,499,499
1532432416,498,498
1532434374,502,502
1532436261,503,503
1532438202,506,506
1532440121,513,513
1532442264,512,512
1532444174,493,493
1532446104,483,483
1532448097,483,483
1532449980,492,492
1532451867,486,486
1532453793,488,488
1532455716,483,483
1532457619,483,483
1532459669,483,483
1532461725,476,476
1532463613,476,476
1532465574,477,477
1532467459,485,485
1532469396,496,496
1532471301,501,501
1532473312,511,511
1532475152,518,518
1532477093,525,525
1532478979,530,530
1532480932,531,531
1532482835,530,530
1532484772,528,528
1532486742,546,546
1532488586,548,548
1532490503,556,556
1532492432,555,555
1532494370,548,548
1532496267,536,536
1532498487,519,519
1532500445,507,507
1532502264,496,496
1532504185,493,493
1532506116,490,490
1532508038,508,508
1532509956,522,522
1532511870,528,528
1532513786,519,519
1532515726,510,510
1532517620,508,508
1532519594,506,506
1532521462,508,508
1532523403,514,514
1532525296,517,517
1532527303,517,517
1532529166,517,517
1532531350,524,524
1532533248,527,527
1532535401,521,521
1532537317,519,519
1532539229,528,528
1532541157,531,531
1532543078,535,535
1532544985,545,545
1532547020,554,554
1532548893,556,556
1532550800,556,556
1532552677,548,548
1532554643,545,545
1532556517,539,539
1532558498,538,538
1532560349,534,534
1532562303,535,535
1532564195,542,542
1532566147,538,538
1532568019,542,542
1532569990,544,544
1532571895,538,538
1532573820,532,532
1532575719,533,533
1532577735,542,542
1532579566,548,548
1532581523,552,552
1532583405,556,556
1532585358,554,554
1532587239,561,561
1532589225,563,563
1532591060,567,567
1532593046,558,558
1532594902,531,531
1532597117,518,518
1532598987,521,521
1532600952,532,532
1532602853,535,535
1532604835,541,541
1532606682,536,536
1532608650,524,524
1532610539,512,512
1532612477,508,508
1532614352,503,503
1532616581,503,503
1532618439,504,504
1532620493,500,500
1532622513,496,496
1532624413,495,495
1532626367,483,483
