DateTime,AddedIPs,RemovedIPs
1512408275,1,0
1512629061,1,0
1512650924,0,1
1512739381,0,1
1512871498,0,1
1513026255,0,1
1513048150,1,0
1513114128,1,0
1513202204,1,0
1513224278,0,1
1513632041,0,1
1513697876,1,0
1513764098,1,0
1513808624,0,1
1513852611,1,0
1513897346,1,0
1513985813,1,0
1514007882,1,0
1514227964,0,1
1514359752,1,1
1514382041,0,1
1514469947,0,1
1514514024,0,1
1514602008,0,2
1514800213,1,0
1514910502,1,0
1515286589,1,0
1515396765,0,1
1515551068,0,1
1515705431,1,0
1515882821,1,1
1516191869,1,0
1516523108,0,1
1516610929,0,1
1516677356,1,0
1516699243,1,0
1516821171,1,0
1517273316,0,1
1517339289,1,0
1517427371,0,1
1517471300,0,1
1517493156,0,1
1517515002,1,0
1517713686,0,1
1517879532,1,0
1517923478,0,1
1517967387,1,0
1518144032,0,1
1518232614,1,0
1518465138,0,1
1518763364,1,0
1518829326,1,1
1519314039,0,1
1519357965,0,1
1519424194,0,1
1519741722,1,0
1519874199,1,0
1520138650,1,0
1520358769,0,1
1520513322,1,0
1520580043,0,1
1521715965,0,1
1521946937,1,0
1522190289,0,2
1523307090,0,0
1526332110,5,0
1526442506,0,1
1526684504,0,1
1526706630,1,1
1526838744,1,0
1526904981,0,2
1526971002,1,0
1527081156,1,0
1527125089,1,0
1527278913,0,0
1527300901,0,0
1527322895,0,0
1527344843,0,0
1527366749,0,0
1527389397,0,0
1527455324,0,1
1527587069,0,1
1527685700,0,1
1527729613,1,0
1527751471,2,0
1527817498,1,0
1527861389,1,0
1527905303,0,0
1527927455,0,0
1527950171,0,0
1527972880,0,0
1527995068,0,0
1528281865,0,1
1528303939,0,0
1528326779,0,1
1528348817,0,2
1528392750,0,1
1528414830,0,1
1528436816,0,1
1529196266,1,0
1529262088,1,0
1529459540,1,0
1529547627,1,0
1529613881,1,0
1529669326,1,0
1529713452,1,0
1529867307,0,1
1529955611,1,0
1530054972,0,1
1530142816,0,1
1530209082,0,1
1530330980,1,1
1530573859,0,2
1530595962,2,0
1530739507,1,0
1530827803,1,0
1530916358,0,1
1531192115,0,1
1531214191,0,1
1531347375,0,1
1531413415,1,0
1531435468,0,1
1531479682,0,1
1531523797,2220,0
1531545884,66703,0
1531612170,1,0
1531744647,1,0
1531877079,0,68092
1531899141,12,37
1531920988,17,40
1531943096,25,28
1531965151,11,23
1531987279,8,26
1532009353,8,28
1532031395,17,25
1532053454,9,17
1532075545,14,15
1532097396,7,26
1532119471,17,29
1532141545,34,15
1532163414,24,15
1532185531,19,13
1532207541,17,49
1532229423,12,15
1532251480,8,20
1532273324,8,20
1532295375,8,21
1532317504,8,20
1532339530,6,16
1532361373,15,28
1532383545,37,33
1532405561,37,27
1532427632,27,26
1532449524,13,21
1532471540,23,25
1532493391,12,13
1532515453,21,15
1532537318,12,17
1532559385,17,23
1532581524,18,7
1532603389,10,9
1532625420,9,11
1532647478,11,12
1532669419,13,14
1532691638,11,7
1532713703,14,10
1532735807,20,22
1532757871,10,20
1532779722,12,20
1532801802,13,15
1532823915,10,14
1532845942,17,10
1532868016,10,8
1532889862,5,18
1532911942,13,10
1532933800,8,8
1532955872,9,15
1532978039,12,27
1533000030,15,33
1533022117,9,27
1533043964,10,23
1533067159,10,26
1533089073,8,14
1533111142,8,14
