DateTime,Entries,UniqueIPs
1532086129,3897,3897
1532088069,3900,3900
1532089961,3902,3902
1532091886,3907,3907
1532093789,3912,3912
1532095728,3914,3914
1532097630,3917,3917
1532099563,3919,3919
1532101469,3925,3925
1532103391,3932,3932
1532105325,3934,3934
1532107245,3940,3940
1532109166,3942,3942
1532111065,3942,3942
1532113000,3949,3949
1532114897,3950,3950
1532116888,3958,3958
1532118767,3962,3962
1532120678,3965,3965
1532122663,3970,3970
1532124515,3973,3973
1532126429,3973,3973
1532128600,3978,3978
1532130521,3984,3984
1532132428,3987,3987
1532134348,3991,3991
1532136278,3996,3996
1532138185,1621,1621
1532140105,167,167
1532142277,175,175
1532144241,179,179
1532146361,179,179
1532148337,180,180
1532150204,181,181
1532152140,179,179
1532156051,178,178
1532157878,179,179
1532159833,180,180
1532161962,177,177
1532163917,181,181
1532165790,181,181
1532167748,179,179
1532169640,177,177
1532171599,180,180
1532173461,179,179
1532175461,175,175
1532177309,173,173
1532179279,169,169
1532181153,170,170
1532183127,171,171
1532184986,172,172
1532186979,171,171
1532188912,164,164
1532190840,156,156
1532192672,152,152
1532194641,149,149
1532196517,151,151
1532198477,150,150
1532200604,147,147
1532202744,140,140
1532204658,133,133
1532206605,132,132
1532208498,125,125
1532210436,125,125
1532212361,122,122
1532214531,117,117
1532216421,113,113
1532218370,108,108
1532220271,104,104
1532222205,100,100
1532224097,95,95
1532226043,91,91
1532227965,85,85
1532229861,79,79
1532231799,78,78
1532233698,75,75
1532235717,74,74
1532237810,77,77
1532243569,77,77
1532245465,74,74
1532247398,71,71
1532249544,69,69
1532251481,68,68
1532253383,66,66
1532255449,62,62
1532257470,58,58
1532259381,55,55
1532261315,56,56
1532263214,55,55
1532265152,54,54
1532267061,54,54
1532268984,52,52
1532270921,51,51
1532272827,49,49
1532274761,50,50
1532276681,50,50
1532278760,54,54
1532280748,60,60
1532282684,61,61
1532284578,62,62
1532286565,66,66
1532288431,71,71
1532290396,74,74
1532292297,76,76
1532294212,78,78
1532298021,79,79
1532299953,81,81
1532302122,83,83
1532304033,86,86
1532305962,87,87
1532307877,88,88
1532309799,90,90
1532311771,88,88
1532313637,91,91
1532315566,93,93
1532317506,94,94
1532321305,102,102
1532323228,103,103
1532325141,104,104
1532327118,106,106
1532329010,105,105
1532330901,107,107
1532332872,106,106
1532334761,109,109
1532336663,112,112
1532338588,110,110
1532343377,111,111
1532345321,111,111
1532347273,110,110
1532349144,107,107
1532351079,106,106
1532352987,107,107
1532355158,107,107
1532357071,108,108
1532359005,107,107
1532360905,105,105
1532362852,103,103
1532364751,100,100
1532366903,96,96
1532370771,92,92
1532372660,88,88
1532374581,84,84
1532376690,83,83
1532379766,79,79
1532381775,78,78
1532383982,77,77
1532385907,76,76
1532387802,72,72
1532389715,70,70
1532391640,68,68
1532395505,67,67
1532397383,67,67
1532399331,63,63
1532401300,62,62
1532403151,64,64
1532405067,63,63
1532407014,62,62
1532408934,56,56
1532410829,53,53
1532412765,54,54
1532414661,56,56
1532416826,55,55
1532420667,56,56
1532422896,54,54
1532424742,55,55
1532426679,56,56
1532428577,55,55
1532430528,55,55
1532432418,57,57
1532436263,58,58
1532438204,57,57
1532440122,54,54
1532442266,52,52
1532444175,53,53
1532446105,56,56
1532448099,57,57
1532449982,61,61
1532451872,64,64
1532453795,65,65
1532455718,66,66
1532457621,68,68
1532461726,66,66
1532463618,66,66
1532465576,68,68
1532467461,70,70
1532469397,71,71
1532471302,72,72
1532473314,73,73
1532475154,75,75
1532477097,76,76
1532478980,78,78
1532480934,78,78
1532482836,80,80
1532484773,80,80
1532486746,80,80
1532488588,78,78
1532490504,79,79
