DateTime,AddedIPs,RemovedIPs
1532099563,1,3
1532103391,0,1
1532105324,0,2
1532107244,0,3
1532109166,1,1
1532111065,1,2
1532113000,2,1
1532118766,1,0
1532120677,1,2
1532122663,0,2
1532124514,0,1
1532126428,0,3
1532128600,1,3
1532130521,0,1
1532132427,2,4
1532134348,2,1
1532136277,2,1
1532138184,1,2
1532140104,1,1
1532142277,0,2
1532144241,0,4
1532146360,0,1
1532148337,0,1
1532150204,0,2
1532152140,0,2
1532154023,0,2
1532156051,2,4
1532157878,0,1
1532159833,2,0
1532161961,1,4
1532163917,3,2
1532165790,0,2
1532167747,1,1
1532169640,2,2
1532171599,2,2
1532173460,3,2
1532175460,0,2
1532177308,2,1
1532179279,1,0
1532181152,0,1
1532183127,3,4
1532184985,1,1
1532186979,1,0
1532190839,3,0
1532192671,3,0
1532194640,1,0
1532196516,1,1
1532198477,0,3
1532200603,5,0
1532204657,2,1
1532206604,1,0
1532208498,1,0
1532210436,2,0
1532212360,3,0
1532214530,3,1
1532216420,2,1
1532218369,2,1
1532220271,1,2
1532222205,1,3
1532224097,1,0
1532226042,1,2
1532233698,2,0
1532235717,1,0
1532237810,1,0
1532241627,0,1
1532243569,0,1
1532245465,1,1
1532247398,0,2
1532249543,2,2
1532251481,0,1
1532253382,3,1
1532255448,1,0
1532257469,1,4
1532259381,0,1
1532261314,1,2
1532263213,1,1
1532265152,0,1
1532267061,0,1
1532268984,2,2
1532270920,0,2
1532272827,0,1
1532274760,1,0
1532276681,0,2
1532278759,2,3
1532280747,3,1
1532282684,0,1
1532286563,1,3
1532288430,3,2
1532290396,3,1
1532292297,1,2
1532294212,1,1
1532296120,1,3
1532298021,3,2
1532299953,0,2
1532302122,3,3
1532304032,1,2
1532305961,1,2
1532307877,2,1
1532309798,1,1
1532311770,0,1
1532315566,2,0
1532321305,1,4
1532323228,3,1
1532325141,2,0
1532327117,1,0
1532330901,1,1
1532332871,1,0
1532334761,0,2
1532336662,1,0
1532338587,0,1
1532341428,1,2
1532345321,0,1
1532347273,0,1
1532351079,3,1
1532355157,0,2
1532357070,1,0
1532359004,1,0
1532360904,0,1
1532362852,1,0
1532364751,1,2
1532366902,0,2
1532368896,0,1
1532370770,3,0
1532372660,3,2
1532374580,1,2
1532376690,1,4
1532379766,1,2
1532381775,3,0
1532383981,1,3
1532385907,0,1
1532387801,2,0
1532389715,1,3
1532391639,0,2
1532393607,1,1
1532395505,1,1
1532397383,0,1
1532399330,3,0
1532401300,4,1
1532403150,1,1
1532407014,7,5
1532408931,2,1
1532410828,1,4
1532412762,2,1
1532414661,4,0
1532416825,3,1
1532418769,3,1
1532420667,4,0
1532422895,5,1
1532424741,1,0
1532426679,2,1
1532428577,3,0
1532430528,4,0
1532432418,4,0
1532434375,8,0
1532436262,7,1
1532438203,3,2
1532440122,5,0
1532442265,3,0
1532444175,6,1
1532446105,7,1
1532448099,6,0
1532449981,6,1
1532451872,8,1
1532453795,1,0
1532455718,4,0
1532457621,4,5
1532459670,6,1
1532461726,4,1
1532463617,2,1
1532465576,4,0
1532467460,2,4
1532469397,2,0
1532471302,26,1
1532473313,4,2
1532475153,3,1
1532477096,2,0
1532478980,4,0
1532480934,5,1
1532482836,4,1
1532484773,2,2
1532486746,6,2
1532488587,3,3
1532490504,6,0
1532492434,3,2
1532494371,5,5
1532496268,3,2
1532498489,8,1
1532500446,9,5
1532502266,7,3
1532504186,3,3
1532506117,10,1
1532508040,4,8
1532509957,4,1
1532511872,5,0
1532513788,10,3
1532515727,5,4
1532517622,8,0
1532519595,9,7
1532521464,14,5
1532523404,7,7
1532525297,11,4
1532527305,7,4
1532529167,6,1
1532531352,11,8
1532533250,7,6
1532535403,6,5
1532537319,1,8
1532539230,0,3
1532541159,4,3
1532543080,2,5
1532544987,3,5
1532547021,4,5
1532548894,1,1
1532550801,3,3
1532552678,3,3
1532554644,2,2
1532556519,1,5
1532558500,2,24
1532560350,1,5
1532562304,1,2
1532564197,2,3
1532566148,1,3
1532568020,3,5
1532569992,1,4
1532571896,2,5
1532573822,4,1
1532575720,1,3
1532577736,2,9
1532579567,1,3
1532581525,2,5
1532583406,1,4
1532585360,1,12
1532587240,1,6
1532589226,4,6
1532591061,7,6
1532593047,4,7
1532594904,9,5
1532597118,3,5
1532598988,3,11
1532600954,2,6
1532602873,2,12
1532604837,4,7
