DateTime,AddedIPs,RemovedIPs
1527498974,1,0
1527500899,1,0
1527506657,1,0
1527510494,0,1
1527520120,1,1
1527529695,1,0
1527531620,1,1
1527533537,0,2
1527535456,1,0
1527541300,1,0
1527571994,1,0
1527577731,0,1
1527583513,0,1
1527587330,0,1
1527593060,0,1
1527606540,0,1
1527615140,0,1
1527618975,1,1
1527620901,0,1
1527624738,1,0
1527626677,1,1
1527645957,1,0
1527657372,0,1
1527674682,2,0
1527682575,1,0
1527688332,1,0
1527705858,0,1
1527711615,0,1
1527713532,0,1
1527726983,1,0
1527732748,0,1
1527759625,0,1
1527761560,1,1
1527763497,1,0
1527765387,1,0
1527769249,0,1
1527773063,0,1
1527786539,1,0
1527801876,1,0
1527803797,1,0
1527811713,0,1
1527815561,1,0
1527817500,1,0
1527844367,1,0
1527848192,1,1
1527850115,0,1
1527852044,0,1
1527873087,0,1
1527878913,1,0
1527888494,0,1
1527890544,0,1
1527903151,0,2
1527916440,0,0
1527918679,0,0
1527921137,0,0
1527923321,0,0
1527926027,0,0
1527928518,0,0
1527930861,0,1
1527933075,0,0
1527935217,0,1
1527937873,0,0
1527940235,0,0
1527942646,0,0
1527944970,0,0
1527947211,0,0
1527949068,0,0
1527951393,0,0
1527953721,0,0
1527956408,0,0
1527958698,0,0
1527961198,0,0
1528023878,1,1
1528109091,0,1
1528476491,1,0
1528486098,1,0
1528488277,1,0
1528490171,1,0
1528494022,1,0
1528525475,2,0
1528529299,1,0
1528533168,1,0
1528552379,1,0
1528561963,1,0
1528563878,0,1
1528573458,0,1
1528575377,0,2
1528581155,1,1
1528610935,1,2
1528616696,0,1
1528620530,0,1
1528637786,0,1
1528647645,0,1
1528653393,1,0
1528655346,2,0
1528666377,0,1
1528693460,1,0
1528695284,1,0
1528697326,0,1
1528703073,1,0
1528710971,1,0
1528740612,1,2
1528742703,1,1
1528750331,1,0
1528763773,1,0
1528779138,0,1
1528782989,0,1
1528788752,0,1
1528796416,0,1
1528798339,1,0
1528821871,1,0
1528827627,1,1
1528829532,0,1
1528837108,0,1
1528844896,1,0
1528850665,0,1
1528867952,1,0
1528885230,0,1
1528898664,1,0
1528904419,1,0
1528908263,0,1
1528914013,0,1
1528918911,2,0
1528922659,1,0
1528931670,0,1
1528953851,0,1
1528969467,1,0
1528977131,1,0
1528984893,0,1
1528992535,1,1
1528994416,1,0
1529005938,0,2
1529007853,0,1
1529009785,1,0
1529027306,1,0
1529057066,0,1
1529065892,0,1
1529077467,0,1
1529079375,1,0
1529081304,0,1
1529097841,0,1
1529111320,1,0
1529115147,0,1
1529118984,1,0
1529122831,1,0
1529126656,1,0
1529134584,1,0
1529146097,1,0
1529165334,0,1
1529175130,1,0
1529177053,1,0
1529186672,2,0
1529196731,0,1
1529204498,0,1
1529208265,3,0
1529210177,0,1
1529212117,1,0
1529214036,0,1
1529221700,0,1
