DateTime,Entries,UniqueIPs
1527620901,3,3
1527624738,4,4
1527626677,4,4
1527645957,5,5
1527657372,4,4
1527674682,6,6
1527682575,7,7
1527688332,8,8
1527705858,7,7
1527711615,6,6
1527713532,5,5
1527726983,6,6
1527732748,5,5
1527759625,4,4
1527761560,4,4
1527763497,5,5
1527765387,6,6
1527769249,5,5
1527773063,4,4
1527786539,5,5
1527801876,6,6
1527803797,7,7
1527811713,6,6
1527815561,7,7
1527817500,8,8
1527844367,9,9
1527848192,9,9
1527850115,8,8
1527852044,7,7
1527873087,6,6
1527878913,7,7
1527888494,6,6
1527890544,5,5
1527903151,3,3
1527916440,3,3
1527918679,3,3
1527921137,3,3
1527923321,3,3
1527926027,3,3
1527928518,3,3
1527928518,3,3
1527930861,2,2
1527933075,2,2
1527933075,2,2
1527935217,1,1
1527935217,1,1
1527937873,1,1
1527937873,1,1
1527940235,1,1
1527940235,1,1
1527942646,1,1
1527942646,1,1
1527944970,1,1
1527944970,1,1
1527947211,1,1
1527949068,1,1
1527949068,1,1
1527951393,1,1
1527951393,1,1
1527953721,1,1
1527953721,1,1
1527956408,1,1
1527956408,1,1
1527958698,1,1
1527958698,1,1
1527961198,1,1
1527961198,1,1
1528023878,1,1
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528476491,1,1
1528486098,2,2
1528488277,3,3
1528490171,4,4
1528494022,5,5
1528525475,7,7
1528529299,8,8
1528533168,9,9
1528552379,10,10
1528561963,11,11
1528563878,10,10
1528573458,9,9
1528575377,7,7
1528581155,7,7
1528610935,6,6
1528616696,5,5
1528620530,4,4
1528637786,3,3
1528647645,2,2
1528653393,3,3
1528655346,5,5
1528666377,4,4
1528693460,5,5
1528695284,6,6
1528697326,5,5
1528703073,6,6
1528710971,7,7
1528740612,6,6
1528742703,6,6
1528750331,7,7
1528763773,8,8
1528779138,7,7
1528782989,6,6
1528788752,5,5
1528796416,4,4
1528798339,5,5
1528821871,6,6
1528827627,6,6
1528829532,5,5
1528837108,4,4
1528844896,5,5
1528850665,4,4
1528867952,5,5
1528885230,4,4
1528898664,5,5
1528904419,6,6
1528908263,5,5
1528914013,4,4
1528918911,6,6
1528922659,7,7
1528931670,6,6
1528953851,5,5
1528969467,6,6
1528977131,7,7
1528984893,6,6
1528992535,6,6
1528994416,7,7
1529005938,5,5
1529007853,4,4
1529009785,5,5
1529027306,6,6
1529057066,5,5
1529065892,4,4
1529077467,3,3
1529079375,4,4
1529081304,3,3
1529097841,2,2
1529111320,3,3
1529115147,2,2
1529118984,3,3
1529122831,4,4
1529126656,5,5
1529134584,6,6
1529146097,7,7
1529165334,6,6
1529175130,7,7
1529177053,8,8
1529186672,10,10
1529196731,9,9
1529204498,8,8
1529208265,11,11
1529210177,10,10
1529212117,11,11
1529214036,10,10
1529221700,9,9
1529231301,8,8
1529260098,7,7
1529263958,7,7
1529273700,5,5
1529279528,6,6
1529293929,5,5
1529295866,3,3
1529297768,3,3
1529307151,4,4
1529326467,5,5
1529328406,6,6
1529332242,8,8
1529347841,9,9
1529349853,8,8
1529358552,9,9
1529366557,8,8
1529383955,7,7
1529393559,6,6
1529403139,7,7
1529412747,6,6
1529414905,6,6
1529417787,5,5
1529435316,4,4
1529444892,3,3
1529449025,4,4
1529477793,5,5
1529481702,6,6
1529483561,7,7
1529485467,9,9
1529487380,10,10
1529489333,9,9
1529491227,10,10
1529495077,11,11
1529499149,12,12
1529501064,11,11
1529504898,10,10
1529506892,12,12
1529516664,13,13
1529522439,16,16
1529534203,15,15
1529538035,16,16
1529541867,17,17
1529543802,18,18
1529545703,19,19
1529549720,20,20
1529551696,22,22
1529553714,24,24
1529555539,26,26
1529561298,27,27
1529563484,26,26
1529567306,25,25
1529569239,24,24
1529571175,22,22
1529573081,21,21
1529577161,20,20
1529583157,19,19
1529585059,19,19
1529593003,17,17
1529600920,18,18
1529602825,17,17
1529606672,18,18
1529608593,15,15
1529625724,14,14
1529629471,12,12
1529633329,11,11
1529635239,10,10
1529637148,9,9
1529639065,6,6
1529642904,4,4
1529646753,3,3
1529654674,4,4
1529660683,5,5
1529666533,6,6
1529672191,5,5
1529687560,4,4
1529693302,3,3
1529704939,4,4
1529716340,5,5
1529728104,6,6
1529741549,5,5
1529747315,4,4
1529753070,3,3
1529755004,4,4
1529762838,5,5
1529792194,4,4
1529802263,3,3
1529804192,4,4
1529809962,5,5
1529813799,6,6
1529815697,5,5
1529823376,6,6
1529838752,7,7
1529840659,7,7
1529850275,6,6
1529852176,7,7
1529860125,8,8
1529891061,7,7
1529896824,6,6
1529898747,5,5
1529908343,4,4
1529925633,3,3
1529927540,2,2
1529939068,1,1
1529942917,0,0
1529952270,1,1
1529966189,3,3
