DateTime,AddedIPs,RemovedIPs
1512518922,0,1
1513070186,0,1
1513321455,1,0
1514522706,0,1
1519805114,1,0
1520389280,0,1
1523307092,0,0
1529802264,1,0
1530397586,0,1
1531523372,102,0
1531545434,4499,0
1531877580,0,4540
1531899650,0,4
1531921737,0,1
1531944089,2,7
1531966163,2,8
1531988201,1,9
1532032163,0,3
1532054183,7,1
1532076037,1,2
1532098144,3,3
1532120225,1,1
1532142278,0,1
1532164360,0,1
1532186551,0,1
1532208499,0,2
1532230397,0,2
1532274311,3,1
1532296347,0,2
1532318450,0,3
1532341430,0,1
1532363339,1,0
1532429676,0,2
1532473727,2,2
1532583980,0,1
1532627778,1,0
1532649627,0,1
1532671475,0,3
1532693583,0,2
1532715758,1,3
1532737949,0,3
1532759797,2,1
1532803699,1,0
1532826101,3,1
1532870454,0,2
1532892736,0,1
1532914592,0,1
1532958863,0,1
1533047052,0,1
1533091011,1,0
1533113074,0,1
