DateTime,Entries,UniqueIPs
1530481213,9,9
1530485055,10,10
1530496590,9,9
1530498519,8,8
1530516032,7,7
1530519879,6,6
1530521729,7,7
1530531859,8,8
1530533792,7,7
1530535708,8,8
1530541721,9,9
1530543700,10,10
1530545548,9,9
1530551297,8,8
1530553231,10,10
1530555138,10,10
1530557053,11,11
1530560898,12,12
1530566929,12,12
1530569021,13,13
1530571006,13,13
1530572917,14,14
1530584658,15,15
1530586911,16,16
1530600519,17,17
1530608199,16,16
1530614519,17,17
1530618257,20,20
1530622345,19,19
1530628119,18,18
1530630096,17,17
1530633812,18,18
1530642269,16,16
1530647923,15,15
1530654128,14,14
1530655955,13,13
1530657860,12,12
1530659789,11,11
1530671612,10,10
1530673721,9,9
1530687136,8,8
1530690986,9,9
1530692924,11,11
1530694915,12,12
1530701368,11,11
1530703229,9,9
1530705144,7,7
1530708984,8,8
1530713128,10,10
1530719799,11,11
1530729895,12,12
1530737554,13,13
1530739510,14,14
1530774295,13,13
1530776185,12,12
1530778120,10,10
1530780024,9,9
1530781946,8,8
1530785745,9,9
1530795695,8,8
1530797565,9,9
1530799474,7,7
1530805241,5,5
1530807195,6,6
1530811000,7,7
1530816745,6,6
1530820595,7,7
1530825327,5,5
1530840997,6,6
1530871966,6,6
1530884588,6,6
1530892913,5,5
1530896715,4,4
1530904489,5,5
1530906306,4,4
1530913951,5,5
1530923568,6,6
1530925500,7,7
1530927406,7,7
1530941075,9,9
1530948779,10,10
1530954510,11,11
1530958604,10,10
1530972108,9,9
1530985522,10,10
1530991221,9,9
1531000927,8,8
1531002765,12,12
1531011170,10,10
1531013093,9,9
1531022691,10,10
1531026766,8,8
1531036362,7,7
1531040199,6,6
1531071378,5,5
1531079308,6,6
1531081109,8,8
1531083157,10,10
1531085049,14,14
1531088445,15,15
1531090349,17,17
1531092271,19,19
1531094522,22,22
1531096365,25,25
1531098286,27,27
1531100422,31,31
1531102343,34,34
1531104621,36,36
1531106437,37,37
1531108356,40,40
1531110510,40,40
1531112504,41,41
1531114349,44,44
1531116282,47,47
1531118189,48,48
1531120122,49,49
1531123941,50,50
1531131714,51,51
1531137386,52,52
1531141495,54,54
1531143381,56,56
1531147233,58,58
1531149174,59,59
1531152990,62,62
1531156823,66,66
1531158749,68,68
1531164514,68,68
1531166496,69,69
1531169411,66,66
1531171221,62,62
1531173153,59,59
1531175072,59,59
1531177019,57,57
1531179160,54,54
1531181066,52,52
1531182978,50,50
1531184934,48,48
1531186854,44,44
1531188797,41,41
1531190694,40,40
1531192597,39,39
1531194514,36,36
1531196429,35,35
1531198583,34,34
1531200499,31,31
1531202506,28,28
1531204363,29,29
1531206267,29,29
1531210109,28,28
1531215859,29,29
1531217802,28,28
1531219700,29,29
1531223617,28,28
1531227376,27,27
1531229570,24,24
1531233394,22,22
1531235315,21,21
1531239202,18,18
1531242997,16,16
1531244904,12,12
1531250732,11,11
1531252622,10,10
1531254511,9,9
1531258358,10,10
1531260290,9,9
1531262201,8,8
1531269860,7,7
1531275636,8,8
1531277606,7,7
1531287687,8,8
1531289552,7,7
1531291486,6,6
1531293420,5,5
1531297236,6,6
1531303002,5,5
1531304907,4,4
1531316444,5,5
1531342115,6,6
1531344037,5,5
1531350101,8,8
1531353879,9,9
1531355792,10,10
1531357725,12,12
1531361561,11,11
1531365407,13,13
1531373057,12,12
1531382680,14,14
1531384592,13,13
1531401886,12,12
1531429012,11,11
1531437371,8,8
1531441206,7,7
1531443135,6,6
1531445049,4,4
1531450873,3,3
1531452751,2,2
1531462612,3,3
1531464503,6,6
1531468365,5,5
1531470266,5,5
1531483738,6,6
1531497373,7,7
1531514675,8,8
1531516635,3821,3821
1531520484,3929,3929
1531522429,3930,3930
1531547810,3931,3931
1531552602,3934,3934
1531560536,3935,3935
1531570625,3936,3936
1531578277,3937,3937
1531586606,3938,3938
1531592465,3939,3939
1531594386,3940,3940
1531606371,3941,3941
1531608285,3942,3942
1531620406,3946,3946
1531626396,3947,3947
1531628503,3948,3948
1531674301,3949,3949
1531721599,3950,3950
1531723735,3951,3951
1531750889,3953,3953
1531760806,3954,3954
1531764780,3955,3955
1531766735,3957,3957
1531787347,3958,3958
1531801274,3959,3959
1531865571,2,2
1531867470,3,3
1531873222,2,2
1531880918,3,3
1531888603,2,2
1531894369,3,3
1531898206,4,4
1531938517,5,5
1531944531,6,6
1531954124,6,6
1531963708,7,7
1531967581,6,6
1531975494,8,8
