DateTime,AddedIPs,RemovedIPs
1532140107,13,1463
1532142280,19,18
1532144246,29,22
1532146362,14,23
1532148339,35,36
1532150206,21,22
1532152142,24,29
1532154029,23,22
1532156053,61,21
1532157880,75,29
1532159835,19,20
1532161963,17,33
1532163919,30,25
1532165792,22,18
1532167752,28,25
1532169642,25,22
1532171601,27,18
1532173463,35,18
1532175463,23,95
1532177310,34,34
1532179281,20,33
1532181157,25,23
1532183129,32,22
1532184987,21,63
1532186981,20,24
1532188914,1892,22
1532190841,84,21
1532192673,12,22
1532194642,11,27
1532196519,22,19
1532198479,14,33
1532200605,15,17
1532202746,15,26
1532204659,19,28
1532206606,15,17
1532208500,11,17
1532210439,10,9
1532212362,14,12
1532214534,13,18
1532216430,11,16
1532218371,20,17
1532220286,11,18
1532222207,12,24
1532224099,17,23
1532226045,15,14
1532227967,13,16
1532229863,7,23
1532231803,31,21
1532233700,19,19
1532235719,24,28
1532237812,24,18
1532239736,5,22
1532241636,10,41
1532243571,10,104
1532245467,12,17
1532247400,17,19
1532249546,15,21
1532251483,24,24
1532253384,15,32
1532255451,14,17
1532257471,18,26
1532259383,20,36
1532261316,19,25
1532263216,15,25
1532265154,15,21
1532267063,28,25
1532268986,20,20
1532270922,16,28
1532272829,22,21
1532274762,19,688
1532276682,15,1094
1532278762,16,13
1532280749,23,13
1532282686,13,18
1532284580,16,17
1532286574,474,14
1532288432,42,13
1532290398,14,20
1532292299,17,18
1532294214,19,13
1532296123,10,11
1532298023,15,12
1532299955,13,12
1532302124,19,12
1532304043,22,21
1532305964,14,12
1532307879,5,12
1532309801,14,14
1532311773,13,17
1532313639,14,11
1532315568,16,6
1532317519,25,33
1532319399,11,10
1532321307,25,25
1532323230,20,21
1532325143,20,16
1532327120,16,8
1532329012,17,7
1532330903,21,12
1532332875,13,18
1532334764,24,15
1532336665,15,13
1532338589,14,25
1532341431,14,20
1532343379,18,16
1532345323,20,20
1532347275,16,23
1532349146,16,14
1532351081,25,11
1532352989,15,29
1532355160,24,22
1532357073,20,14
1532359007,17,24
1532360907,15,19
1532362854,28,18
1532364753,18,11
1532366905,27,24
1532368899,21,14
1532370773,512,13
1532372662,37,25
1532374583,26,37
1532376693,19,18
1532379768,49,28
1532381780,47,11
1532383986,36,23
1532385909,18,8
1532387804,17,14
1532389717,10,18
1532391642,15,15
1532393609,9,6
1532395507,21,15
1532397388,28,14
1532399333,28,14
1532401302,29,19
1532403152,19,21
1532405069,12,16
1532407016,24,19
1532408943,22,23
1532410832,17,23
1532412767,21,22
1532414663,27,16
1532416828,19,20
1532418771,22,12
1532420672,26,26
1532422898,24,14
1532424746,19,16
1532426681,21,10
1532428582,20,714
1532430534,21,18
1532432420,16,16
1532434377,31,20
1532436272,20,18
1532438205,19,19
1532440125,26,20
1532442267,30,22
1532444177,26,21
1532446107,32,20
1532448101,19,16
1532449984,58,18
1532451874,27,27
1532453797,19,24
1532455720,18,17
1532457623,24,516
1532459672,28,24
1532461728,27,29
1532463620,17,8
1532465578,19,35
1532467463,13,39
1532469399,20,43
1532471304,70,23
1532473316,204,16
1532475155,20,8
1532477099,17,19
1532478982,14,8
1532480936,36,8
1532482838,19,29
1532484775,16,29
1532486748,16,37
1532488590,18,20
1532490506,27,13
1532492437,22,17
1532494373,25,18
1532496271,16,24
1532498491,37,27
1532500451,25,28
1532502269,24,24
1532504189,30,21
1532506121,33,16
1532508045,27,33
1532509959,20,20
1532511874,28,23
1532513790,31,18
1532515730,26,21
1532517624,30,15
1532519598,23,23
1532521467,34,23
1532523406,30,19
1532525299,28,25
1532527308,24,29
1532529169,27,22
1532531356,36,32
1532533252,36,25
1532535405,32,76
1532537321,21,27
1532539233,16,18
1532541161,16,18
1532543082,11,20
1532544989,14,23
1532547023,21,23
1532548897,17,35
1532550804,12,21
1532552680,21,11
1532554647,9,14
1532556527,15,21
1532558512,18,255
1532560352,36,16
1532562307,36,19
1532564199,12,19
1532566151,8,29
1532568026,14,21
1532569998,14,25
1532571899,11,15
1532573832,20,15
1532575723,16,20
1532577738,15,19
1532579569,14,28
1532581527,25,17
1532583408,21,26
1532585363,18,36
1532587242,17,23
1532589229,19,29
1532591063,37,32
1532593049,18,34
1532594906,27,22
1532597121,13,32
1532598990,14,34
1532600957,14,26
1532602894,22,31
1532604839,19,31
1532606690,20,19
1532608654,24,32
1532610550,28,21
1532612481,23,31
1532614359,13,16
1532616586,24,32
1532618443,28,29
1532620497,16,35
1532622521,21,24
1532624423,8,18
1532626371,22,16
1532628332,14,18
1532630196,19,7
1532633599,78,33
1532635478,28,17
1532637673,30,15
1532639563,15,19
1532641512,27,8
1532643383,17,14
1532646408,39,28
1532648416,18,53
1532650253,18,13
1532652267,25,9
1532654106,15,15
1532656366,31,17
1532658277,19,12
1532660180,29,17
1532662135,17,15
