DateTime,AddedIPs,RemovedIPs
1529825315,0,1
1529834905,1,1
1529840661,3,0
1529868032,1,0
1529887234,1,0
1529902578,4,0
1529904505,1,0
1529906511,1,0
1529912186,1,0
1529917946,0,2
1529919876,0,1
1529925635,0,2
1529927542,0,1
1529935324,1,0
1529954432,0,1
1529960503,1,0
1529973859,1,1
1529975784,1,0
1529982984,1,0
1529986829,1,0
1529988733,0,4
1529990651,0,1
1529992583,0,1
1529998351,0,1
1530000258,1,0
1530021391,0,1
1530027141,1,0
1530042617,1,0
1530048260,0,1
1530060036,1,1
1530061948,0,1
1530067710,0,1
1530069639,1,0
1530073500,0,1
1530086914,0,1
1530090749,1,0
1530092705,2,0
1530106102,1,0
1530108102,1,0
1530113794,0,1
1530123379,1,0
1530129166,0,1
1530137076,1,0
1530141387,1,0
1530147144,1,1
1530156740,1,1
1530162510,1,0
1530168269,3,0
1530170185,1,0
1530172120,1,0
1530175947,1,0
1530177866,0,1
1530179800,0,2
1530181699,1,0
1530183876,3,0
1530191558,0,1
1530193464,0,1
1530209085,0,1
1530212911,1,0
1530222976,2,1
1530226911,2,0
1530228747,1,1
1530233462,0,1
1530242675,0,1
1530248503,0,1
1530254668,0,3
1530256585,0,1
1530258513,1,1
1530260424,2,0
1530262374,0,1
1530268102,1,2
1530270097,0,2
1530290430,1,0
1530292338,1,0
1530294259,1,0
1530300992,0,1
1530302904,1,0
1530306746,1,0
1530308658,4,2
1530310604,1,0
1530312501,1,2
1530316352,1,1
1530328116,1,0
1530345384,0,2
1530347317,0,1
1530349310,2,0
1530353083,1,0
1530354983,0,1
1530376815,0,1
1530378756,0,1
1530380658,0,1
1530390277,0,1
1530394351,0,3
1530396268,1,3
1530398578,0,1
1530402899,0,1
1530414684,0,1
1530426269,1,0
1530435867,1,2
1530437815,0,1
1530439726,1,0
1530451652,46607,0
1530454571,0,46607
1530481214,0,1
1530486984,2,0
1530492735,1,0
1530496591,1,0
1530498520,1,0
1530500687,1,0
1530502580,1,0
1530504507,1,0
1530525699,0,1
1530558992,1,0
1530562817,0,1
1530564792,0,1
1530566929,1,0
1530572918,1,0
1530576782,1,2
1530580661,0,1
1530582775,0,1
1530584659,0,1
1530586912,0,1
1530588755,0,1
1530590673,0,1
1530592729,2,0
1530612113,1,0
1530630097,1,0
1530638339,1,0
1530646041,1,1
1530651768,0,1
1530655956,6,0
1530657860,0,1
1530661822,1,0
1530663872,0,1
1530677558,1,2
1530679526,1,0
1530698693,0,1
1530701369,1,0
1530715872,0,1
1530721709,1,0
1530725569,0,1
1530727903,1,0
1530729896,1,0
1530731795,0,1
1530735627,2,0
1530743317,0,6
1530749077,0,1
1530752910,1,0
1530762745,0,1
1530766577,1,1
1530787729,0,1
1530791581,2,0
1530809069,0,1
1530814831,0,2
1530820596,0,1
1530822763,0,1
1530825328,1,0
1530833264,1,0
1530839081,1,0
1530844845,2,0
1530846774,1,0
1530848679,1,0
1530852509,0,1
1530865971,1,0
1530877975,0,2
1530881794,0,1
1530902439,1,0
1530912058,1,1
1530917798,1,0
1530919728,0,1
1530923569,1,0
1530925501,1,1
1530931224,0,2
1530933156,0,1
1530935102,0,1
1530938915,1,0
1530952585,0,1
1530979740,1,0
1530989330,0,1
1530998901,1,1
1531004921,1,1
1531011170,1,2
1531026766,0,1
1531030607,1,0
1531055809,1,0
1531067424,0,1
1531085050,0,1
1531090350,0,1
1531096365,0,1
1531098287,2,0
1531112506,1,0
1531118189,0,1
1531131715,1,0
1531152991,1,0
1531160665,1,0
1531177020,0,1
1531184935,0,2
1531198583,1,1
1531217803,0,1
1531223618,1,0
1531239203,0,1
1531246822,0,1
1531285735,0,1
1531310694,1,1
1531336362,1,0
1531345961,2,0
1531361562,1,0
1531384592,1,0
1531396113,0,1
1531413419,1,0
1531422996,0,1
1531434406,2,2
1531448894,0,1
1531450898,1,0
1531468366,1,0
1531470266,1,1
1531483739,3,0
1531485636,4,0
1531493553,2,0
1531495476,2,0
1531501308,1,1
1531505076,1,0
1531512739,2,0
1531516641,45214,18
1531520493,44,0
1531540135,1,0
1531545926,1,0
1531549750,1,0
1531556456,1,0
1531560543,2,0
1531563654,2,0
1531570633,1,0
1531574480,2,0
1531614098,1,0
1531635019,1,0
1531636894,1,0
1531638861,1,0
1531658252,1,0
1531696132,1,0
1531703819,1,0
1531705743,1,0
1531747061,2,0
1531748963,4,0
1531752834,1,0
1531758810,1,0
1531760815,1,0
1531766744,1,0
1531779686,1,0
1531781636,1,0
1531785449,1,0
1531787355,3,0
1531790299,1,0
1531792417,1,0
1531798231,1,0
1531801280,1,0
1531808954,1,0
