DateTime,AddedIPs,RemovedIPs
1529618186,1,0
1529627570,0,1
1529672193,1,0
1529674105,0,2
1529681795,0,1
1529689459,1,0
1529704941,0,2
1529712515,0,1
1529722119,0,1
1529726183,0,1
1529730108,0,1
1529733900,0,1
1529741552,1,0
1529755007,1,0
1529776601,0,1
1529792196,0,1
1529798497,0,1
1529804194,0,1
1529808039,1,0
1529811869,1,0
1529817637,0,1
1529819559,1,0
1529821475,0,1
1529829162,0,1
1529840661,0,1
1529844404,1,0
1529854113,1,0
1529860128,2,0
1529862283,5,0
1529868032,1,0
1529871817,2,0
1529877717,2,0
1529892979,0,1
1529904506,1,0
1529906512,0,1
1529914124,1,0
1529931380,0,1
1529940977,0,1
1529954432,0,1
1529958687,0,1
1529992584,0,1
1530000259,0,1
1530032924,1,0
1530034820,0,1
1530042617,0,2
1530044437,0,1
1530050191,1,0
1530061949,1,0
1530067711,1,0
1530084989,2,0
1530086915,0,1
1530088827,0,1
1530098426,1,0
1530100348,1,0
1530106103,0,1
1530117623,1,0
1530133310,1,0
1530139449,2,0
1530145246,0,1
1530149076,1,1
1530179800,0,1
1530185803,0,2
1530187739,0,1
1530189648,0,1
1530203309,1,0
1530205301,0,1
1530207170,1,0
1530209086,2,0
1530217124,1,0
1530222976,1,0
1530226911,0,1
1530231316,0,1
1530237694,0,1
1530260425,0,1
1530262375,0,1
1530273918,0,1
1530275807,1,0
1530277715,1,0
1530281549,2,0
1530283477,2,0
1530286507,2,0
1530292338,0,1
1530294259,1,0
1530296813,0,2
1530306747,1,0
1530343465,0,1
1530351146,0,2
1530353084,1,0
1530354984,0,1
1530362897,1,0
1530364977,2,2
1530366973,3,1
1530371061,0,2
1530372992,1,1
1530376815,0,1
1530378757,0,2
1530394352,1,0
1530416669,1,0
1530433985,1,0
1530437815,0,1
1530439726,1,0
1530449542,0,1
1530451653,8208,0
1530454571,0,8209
1530462035,1,0
1530467783,1,0
1530469702,1,0
1530477391,1,0
1530481214,1,0
1530483175,1,0
1530496591,0,1
1530502580,1,1
1530525700,0,1
1530528105,0,1
1530531860,1,0
1530533794,1,0
1530535709,1,0
1530541722,1,0
1530547477,0,2
1530549378,0,1
1530553232,0,1
1530555139,1,0
1530557054,1,1
1530558993,1,0
1530564793,0,1
1530569022,0,1
1530571008,0,1
1530580662,1,0
1530582776,0,2
1530587545,1,0
1530589451,0,1
1530603154,0,1
1530605069,1,0
1530606982,1,0
1530613007,0,1
1530615196,1,0
1530618984,1,0
1530622906,1,0
1530626791,0,1
1530634624,2,0
1530641300,1,1
1530643405,0,1
1530646042,0,1
1530647924,1,0
1530654129,0,1
1530657861,3,0
1530663873,0,2
1530665796,1,1
1530667727,0,1
1530669702,1,0
1530683313,1,0
1530685224,1,0
1530687137,1,0
1530690988,1,0
1530701370,1,0
1530705145,1,0
1530708985,1,1
1530710994,3,1
1530713130,3,0
1530719800,0,1
1530721710,1,0
1530731796,1,0
1530741398,1,0
1530745361,0,3
1530747177,1,0
1530751003,0,1
1530756743,0,2
1530764677,0,1
1530766578,1,0
1530772428,1,0
1530774297,1,1
1530780026,0,1
1530787730,0,2
1530791582,0,1
1530793462,0,2
1530795697,1,0
1530797567,0,2
1530801400,0,2
1530811002,0,1
1530818692,0,1
1530820596,0,1
1530825329,1,1
1530827314,0,1
1530837182,1,0
1530839081,1,0
1530842913,1,1
1530844846,0,1
1530846774,0,1
1530852509,0,2
1530854444,1,0
1530860198,0,1
1530862127,1,0
1530877976,0,1
1530879888,1,0
1530881794,0,1
1530884589,2,0
1530886589,1,1
1530912059,0,2
1530929324,0,1
1530931224,1,0
1530946896,1,0
1530948781,1,0
1530970104,0,1
1530973955,0,1
1530985523,0,1
1530989331,1,0
1530995079,1,0
1531000928,1,0
1531002766,2,1
1531004922,1,0
1531008991,1,0
1531020772,1,0
1531026767,1,0
1531036363,0,1
1531040200,1,0
1531048134,2,0
1531051952,1,0
1531055810,0,1
1531060257,1,0
1531070311,1,0
1531076514,0,1
1531084348,1,0
1531088446,0,1
1531106438,0,1
1531108357,0,2
1531110511,0,1
1531120123,0,1
1531129729,3,0
1531133552,0,1
1531135458,0,1
1531143382,1,0
1531147235,1,1
1531149175,1,0
1531152991,1,0
1531156824,0,1
1531162577,0,1
1531166498,2,0
1531169413,2,1
1531171222,0,1
1531181067,1,0
1531182979,1,0
1531184935,0,2
1531186855,1,1
1531192598,1,0
1531196430,1,0
1531198584,1,0
1531200500,1,0
1531202507,2,0
1531206268,2,0
1531215860,0,1
1531223618,1,0
1531227377,1,0
1531233395,1,1
1531235316,2,0
1531242998,2,1
1531244905,2,0
1531246823,0,1
1531262202,0,2
1531267974,0,2
1531277607,0,1
1531281387,1,0
1531285736,0,1
1531287688,0,1
1531291487,0,2
1531295317,1,1
1531301072,1,0
1531304909,1,1
1531306907,0,1
1531316445,0,1
1531318371,0,1
1531322198,0,1
1531326411,0,1
1531330353,0,4
1531332265,2,0
1531334433,1,0
1531338285,1,0
1531340200,3,0
1531345961,2,1
1531350102,1,0
1531351946,1,0
1531353880,1,0
1531357726,0,1
1531388419,1,0
1531390359,1,0
1531392302,0,1
1531396114,0,1
1531407698,0,1
1531417231,1,1
1531419141,0,1
1531425165,1,0
1531427060,0,1
1531437372,1,2
1531441208,1,0
1531443136,1,0
1531445051,1,0
1531458519,1,0
1531462613,0,1
1531477953,0,1
1531481815,0,1
1531485637,0,2
1531501308,2,0
1531505077,1,0
1531512739,1,1
1531514677,1,0
1531516642,2899,5
1531520495,16,0
1531530548,1,0
1531694674,4,0
1531711022,1,0
1531738623,1,0
1531833700,1,0
1531841383,1,0
1531865573,0,2932
1531867471,1,1
1531869387,0,1
1531873224,0,1
1531880919,2,0
1531890518,0,1
1531894370,2,0
1531902045,0,1
1531907802,1,0
1531917380,0,1
1531919341,0,2
1531921219,0,1
1531930844,1,0
1531942633,0,1
1531950350,1,0
1531952183,1,0
1531954125,1,0
1531967582,0,2
1531971396,1,0
1531973343,1,0
1531975495,0,1
1531981278,0,1
1531983343,1,0
1531991113,0,2
1532002610,0,1
1532004532,1,0
1532006426,1,1
1532010297,0,1
1532012193,1,0
1532039330,1,2
1532045350,1,0
1532053226,1,1
1532057070,0,1
1532059015,0,1
1532061164,1,0
1532072678,0,1
