DateTime,AddedIPs,RemovedIPs
1532140109,4,6
1532142281,5,5
1532144247,10,7
1532146363,2,9
1532148340,13,13
1532150208,7,8
1532152143,13,14
1532154033,12,9
1532156054,47,11
1532157881,65,16
1532159837,6,6
1532161964,4,13
1532163920,11,9
1532165793,12,12
1532167753,7,15
1532169643,7,5
1532171603,1,6
1532173464,8,9
1532175464,9,10
1532177314,9,11
1532179286,6,15
1532181158,8,9
1532183130,6,5
1532184989,5,5
1532186982,8,14
1532188915,10,3
1532190842,2,7
1532192674,6,8
1532194644,6,9
1532196520,9,8
1532198480,5,8
1532200606,4,10
1532202747,3,6
1532204661,7,5
1532206607,4,4
1532208501,9,5
1532210441,5,2
1532212364,4,3
1532214539,4,3
1532216431,4,3
1532218373,4,6
1532220293,0,5
1532222208,5,6
1532224100,8,4
1532226046,2,2
1532227968,2,3
1532229864,5,9
1532231804,8,6
1532233701,11,5
1532235720,8,12
1532237813,11,9
1532239737,4,12
1532241638,6,26
1532243572,3,93
1532245468,3,5
1532247404,6,6
1532249548,7,5
1532251484,16,11
1532253385,8,10
1532255452,10,7
1532257473,9,2
1532259384,7,7
1532261319,11,10
1532263221,5,8
1532265155,8,6
1532267064,15,9
1532268987,6,6
1532270923,3,6
1532272830,8,4
1532274763,4,9
1532276684,5,4
1532278763,6,8
1532280750,7,7
1532282687,6,8
1532284581,5,4
1532286576,9,5
1532288434,5,1
1532290399,4,5
1532292300,3,4
1532294215,10,10
1532296124,1,6
1532298024,4,5
1532299956,9,3
1532302125,6,2
1532304048,4,6
1532305965,2,2
1532307880,3,2
1532309802,2,7
1532311777,3,6
1532313641,2,3
1532315569,8,4
1532317521,8,8
1532319400,5,6
1532321308,10,11
1532323231,6,9
1532325145,9,7
1532327121,7,6
1532329016,8,3
1532330904,8,5
1532332876,4,7
1532334765,11,5
1532336666,5,7
1532338591,3,14
1532341432,5,12
1532343381,9,7
1532345327,13,10
1532347276,9,12
1532349149,6,6
1532351082,10,2
1532352990,10,18
1532355161,14,7
1532357075,10,4
