DateTime,AddedIPs,RemovedIPs
1532138189,5,3
1532140111,1,3
1532142283,2,7
1532144248,7,5
1532146365,1,5
1532148342,6,10
1532150209,0,11
1532152145,4,4
1532154035,7,2
1532156056,6,2
1532157883,3,2
1532159838,3,10
1532161966,6,13
1532163922,2,6
1532165796,4,4
1532167755,6,3
1532169645,4,6
1532171604,5,3
1532173466,7,1
1532175466,3,6
1532177315,5,6
1532179288,3,6
1532181160,1,2
1532183132,9,3
1532184990,5,9
1532186984,5,6
1532188917,5,4
1532190844,1,1
1532192676,0,4
1532194645,3,7
1532196521,6,2
1532198482,5,5
1532200611,5,3
1532202749,10,9
1532204662,2,7
1532206609,4,10
1532208503,4,1
1532210444,2,2
1532212365,4,1
1532214541,4,5
1532216433,0,2
1532218374,12,9
1532220297,6,3
1532222213,4,6
1532224102,2,4
1532226048,3,2
1532227972,6,2
1532229866,2,5
1532231806,0,5
1532233703,3,4
1532235722,1,5
1532237815,3,2
1532239739,1,7
1532241642,3,7
1532243577,2,3
1532245470,3,3
1532247405,5,6
1532249553,4,4
1532251486,2,1
1532253387,2,7
1532255454,1,3
1532257474,0,2
1532259386,6,7
1532261321,2,5
1532263223,2,7
1532265157,2,2
1532267067,9,0
1532268988,6,6
1532270928,5,6
1532272832,10,0
1532274765,5,7
1532276685,5,0
1532278765,3,0
1532280752,1,0
1532282688,1,6
1532284583,3,6
1532286579,4,2
1532288435,8,7
1532290401,5,6
1532292302,3,4
1532294217,3,3
1532296126,6,3
1532298025,5,3
1532299958,2,2
1532302127,2,3
1532304073,8,8
1532305966,5,4
1532307882,2,6
1532309805,6,2
1532311779,3,3
1532313643,2,2
1532315571,7,4
1532317523,7,3
1532319402,2,2
1532321310,1,2
1532323233,2,4
1532325146,2,0
1532327123,5,2
1532329018,3,1
1532330906,4,1
1532332880,2,4
1532334767,6,3
1532336668,1,3
1532338593,4,6
1532341434,4,5
1532343383,1,0
1532345329,3,4
1532347283,0,6
1532349150,4,2
1532351084,10,3
1532352992,5,8
1532355163,1,6
1532357076,1,7
1532359010,2,6
1532360910,4,6
1532362857,16,3
1532364759,3,3
1532366909,5,3
1532368903,6,2
1532370778,6,2
1532372665,4,4
1532374586,8,7
1532376696,1,5
1532379772,39,5
1532381783,35,6
1532383989,15,7
1532385912,14,0
1532387807,4,3
1532389720,4,5
1532391645,2,4
1532393612,3,4
1532395510,4,6
1532397394,23,2
1532399336,16,3
1532401306,11,7
1532403157,3,8
1532405072,2,3
1532407019,5,3
1532408951,2,3
1532410837,1,3
1532412771,0,5
1532414669,6,5
1532416832,4,4
1532418774,2,4
1532420675,4,6
1532422901,5,4
1532424749,3,5
1532426683,2,2
1532428585,5,3
1532430547,6,1
1532432423,1,3
1532434380,7,4
1532436275,5,3
1532438209,2,5
1532440131,6,4
1532442270,4,1
1532444179,9,2
1532446109,7,5
1532448104,4,3
1532449989,4,3
1532451877,5,17
1532453806,5,6
1532455725,6,5
1532457626,5,5
1532459675,3,2
1532461731,3,4
1532463623,1,3
1532465581,5,26
1532467466,3,29
1532469402,5,27
1532471307,41,13
1532473319,185,5
1532475161,8,4
1532477106,7,2
1532478985,0,3
1532480940,6,2
1532482841,5,17
1532484778,1,16
1532486751,5,21
1532488593,6,4
1532490509,4,1
1532492445,3,3
1532494379,5,1
1532496274,3,4
1532498495,6,1
1532500454,3,5
1532502272,0,3
1532504192,6,4
1532506125,5,0
1532508048,6,10
1532509962,2,2
1532511877,2,2
1532513793,2,2
1532515736,5,7
1532517627,3,4
1532519601,1,3
1532521470,5,9
1532523410,7,1
1532525302,5,4
1532527313,3,7
1532529172,4,7
1532531360,5,5
1532533255,13,3
1532535408,8,8
1532537324,5,7
1532539236,2,1
1532541164,3,5
1532543085,2,4
1532544992,5,4
1532547026,6,5
1532548900,1,4
1532550810,5,7
1532552683,7,0
1532554650,2,3
1532556530,3,2
1532558516,5,223
1532560355,7,3
1532562311,3,8
1532564202,2,5
1532566157,1,10
1532568029,2,6
1532570001,3,6
1532571905,2,2
1532573835,2,6
1532575726,1,8
1532577742,0,4
1532579575,1,3
1532581531,3,4
1532583411,7,6
1532585367,4,1
1532587245,2,3
1532589232,1,3
1532591066,5,3
1532593052,3,9
1532594909,2,3
1532597124,4,3
1532598993,3,4
1532600959,4,2
1532602898,8,3
1532604842,1,4
1532606692,1,1
1532608657,11,8
1532610553,3,3
1532612485,4,7
1532614363,1,1
1532616591,4,3
1532618446,7,4
1532620501,4,12
1532622523,5,5
1532624438,3,4
1532626374,2,1
1532628335,6,5
1532630199,4,1
1532633602,0,11
1532635481,4,1
1532637676,1,2
1532639566,3,5
1532641515,6,1
1532643386,3,6
1532646412,4,7
1532648419,2,5
1532650256,6,4
1532652270,6,1
1532654109,4,3
1532656369,10,4
1532658279,2,2
1532660183,2,4
1532662138,0,2
1532664099,2,2
1532665980,5,1
1532667895,1,2
1532669826,1,8
1532671736,2,6
1532673902,3,3
1532675795,2,1
1532677989,5,7
1532679882,0,3
1532681807,4,1
1532683966,4,7
1532685889,3,3
1532687786,0,4
1532689758,4,6
1532691655,5,1
1532693588,6,3
1532695477,5,9
1532697397,6,3
1532699328,3,1
1532701320,3,1
1532703352,2,5
1532705320,5,5
1532707225,3,2
1532709164,3,5
1532711348,4,3
1532713237,5,2
1532715172,7,7
1532717080,0,3
1532719005,2,0
1532720909,3,8
1532722838,4,2
1532724750,5,1
1532726695,7,9
1532728590,1,7
1532731576,6,4
1532733403,2,2
1532735447,6,4
1532737486,4,7
1532739305,2,4
1532741567,9,5
1532743490,6,9
1532745386,2,1
1532747345,6,2
1532749247,0,2
1532751174,3,1
1532753082,4,3
1532755014,6,1
1532756923,1,2
1532758831,3,0
1532760764,1,3
1532762688,0,2
1532764604,3,5
1532766518,5,1
1532768514,7,3
1532770365,1,2
1532773079,3,5
1532774920,6,1
1532776820,4,4
1532778749,0,5
1532780665,7,5
1532782599,7,8
1532784498,7,6
1532786334,5,2
1532788430,3,3
1532790272,2,6
1532792180,11,3
1532794150,7,3
1532796047,4,3
1532797947,1,5
1532799860,8,6
1532801808,6,7
1532803704,1,1
1532805646,7,3
1532807788,7,2
1532810111,6,6
1532811924,2,7
1532813825,3,4
1532815723,9,1
1532817667,7,6
1532819602,2,2
1532821475,5,5
1532823428,9,2
1532826107,5,5
1532827967,6,10
1532829874,1,6
1532831800,3,3
1532833700,4,4
1532835867,0,2
1532837792,5,5
1532839738,0,3
1532841647,3,4
1532843570,4,5
1532845464,8,2
1532847411,3,3
1532849306,5,0
1532851311,0,3
1532853174,2,6
1532855079,7,6
1532856989,10,2
1532858936,4,2
1532860838,2,7
1532862770,3,5
1532864665,7,4
1532866615,2,5
1532868506,4,7
1532870461,2,4
1532872350,5,6
1532874270,3,4
1532876099,2,4
1532878376,4,7
1532880272,3,8
1532882191,5,4
1532884161,1,1
1532886029,5,8
1532887965,2,8
1532889867,1,1
1532891792,2,4
1532893724,1,4
1532895980,3,4
1532897823,5,4
1532899693,4,3
1532901883,5,9
1532903781,5,8
1532905744,9,1
1532907622,3,4
1532909569,2,9
1532911461,3,5
1532913398,2,2
1532915314,3,6
1532917482,1,2
1532919715,1,6
1532921555,9,0
1532923484,4,3
1532925378,1,4
1532929222,3,6
1532931147,1,6
1532933082,1,4
1532934981,4,6
1532936924,1,1
1532938828,2,2
1532940744,5,0
1532942669,6,15
1532944589,3,2
1532946508,6,2
1532948427,9,2
1532950349,2,8
1532952284,11,1
1532954196,9,3
1532956144,1,2
1532958021,2,0
1532960206,4,6
1532962117,8,4
1532964030,8,1
1532965973,4,4
1532967879,4,1
1532969813,4,3
1532971731,1,2
1532973699,3,3
1532975564,6,2
1532977477,9,2
1532979408,5,2
1532981347,2,2
1532983268,7,6
1532985163,4,3
1532987106,16,3
1532988989,6,4
1532990933,3,4
1532992856,10,3
1532994778,3,2
1532996686,1,1
1532998615,3,2
1533000524,5,3
1533002506,1,1
1533004366,4,2
1533006283,2,1
1533008224,1,6
1533010131,1,2
1533012033,3,6
1533013982,3,1
1533015874,2,4
1533017823,5,2
1533019716,2,2
1533021639,6,4
1533023600,8,2
1533025536,2,3
1533027408,3,6
1533029319,2,5
1533031317,4,6
1533033432,3,4
1533035333,1,10
1533037255,1,5
1533039181,2,9
1533041080,2,5
1533043026,2,1
1533044939,1,2
1533046832,4,2
