DateTime,Entries,UniqueIPs
1532138189,354,354
1532140111,352,352
1532142283,347,347
1532144248,349,349
1532146365,345,345
1532148342,341,341
1532150209,330,330
1532152145,330,330
1532154035,335,335
1532156056,339,339
1532157883,340,340
1532159838,333,333
1532161966,326,326
1532163922,322,322
1532165796,322,322
1532167755,325,325
1532169645,323,323
1532171604,325,325
1532173466,331,331
1532175466,328,328
1532177315,327,327
1532179288,324,324
1532181160,323,323
1532183132,329,329
1532184990,325,325
1532186984,324,324
1532188917,325,325
1532190844,325,325
1532192676,321,321
1532194645,317,317
1532196521,321,321
1532198482,321,321
1532200611,323,323
1532202749,324,324
1532204662,319,319
1532206609,313,313
1532208503,316,316
1532210444,316,316
1532212365,319,319
1532214541,318,318
1532216433,316,316
1532218374,319,319
1532220297,322,322
1532222213,320,320
1532224102,318,318
1532226048,319,319
1532227972,323,323
1532229866,320,320
1532231806,315,315
1532233703,314,314
1532235722,310,310
1532237815,311,311
1532239739,305,305
1532241642,301,301
1532243577,300,300
1532245470,300,300
1532247405,299,299
1532249553,299,299
1532251486,300,300
1532253387,295,295
1532255454,293,293
1532257474,291,291
1532259386,290,290
1532261321,287,287
1532263223,282,282
1532265157,282,282
1532267067,291,291
1532268988,291,291
1532270928,290,290
1532272832,300,300
1532274765,298,298
1532276685,303,303
1532278765,306,306
1532280752,307,307
1532282688,302,302
1532284583,299,299
1532286579,301,301
1532288435,302,302
1532290401,301,301
1532292302,300,300
1532294217,300,300
1532296126,303,303
1532298025,305,305
1532299958,305,305
1532302127,304,304
1532304073,304,304
1532305966,305,305
1532307882,301,301
1532309805,305,305
1532311779,305,305
1532313643,305,305
1532315571,308,308
1532317523,312,312
1532319402,312,312
1532321310,311,311
1532323233,309,309
1532325146,311,311
1532327123,314,314
1532329018,316,316
1532330906,319,319
1532332880,317,317
1532334767,320,320
1532336668,318,318
1532338593,316,316
1532341434,315,315
1532343383,316,316
1532345329,315,315
1532347283,309,309
1532349150,311,311
1532351084,318,318
1532352992,315,315
1532355163,310,310
1532357076,304,304
1532359010,300,300
1532360910,298,298
1532362857,311,311
1532364759,311,311
1532366909,313,313
1532368903,317,317
1532370778,321,321
1532372665,321,321
1532374586,322,322
1532376696,318,318
1532379772,352,352
1532381783,381,381
1532383989,389,389
1532385912,403,403
1532387807,404,404
1532389720,403,403
1532391645,401,401
1532393612,400,400
1532395510,398,398
1532397394,419,419
1532399336,432,432
1532401306,436,436
1532403157,431,431
1532405072,430,430
1532407019,432,432
1532408951,431,431
1532410837,429,429
1532412771,424,424
1532414669,425,425
1532416832,425,425
