DateTime,AddedIPs,RemovedIPs
1529210182,1,0
1529212121,0,1
1529227472,1,0
1529237076,0,1
1529238984,0,1
1529240920,1,0
1529246684,1,0
1529248586,0,1
1529275716,1,1
1529279533,1,0
1529281470,1,1
1529294896,0,1
1529298756,1,0
1529304506,1,0
1529312170,0,1
1529316097,1,0
1529317938,1,0
1529321793,1,0
1529329455,1,0
1529331386,0,1
1529354655,1,0
1529362590,0,1
1529366562,1,0
1529368585,1,0
1529372418,2,0
1529382034,2,0
1529393563,0,1
1529399309,1,0
1529401256,0,2
1529408902,1,1
1529412751,0,1
1529414909,0,1
1529439858,0,1
1529445703,1,0
1529448264,1,0
1529452114,1,1
1529454026,0,1
1529455951,1,0
1529457858,0,2
1529461694,0,1
1529469375,0,1
1529476952,1,0
1529482585,2,0
1529486433,0,1
1529488341,0,1
1529496104,0,1
1529497959,0,1
1529526507,1,0
1529532290,1,1
1529534208,0,1
1529543807,0,1
1529547634,0,1
1529549726,1,0
1529563491,0,1
1529569245,0,4
1529571184,0,3
1529573087,1,0
1529579236,0,1
1529587134,1,0
1529612443,0,1
1529616278,1,0
1529618189,0,1
1529621739,1,0
1529637154,0,1
1529642910,1,0
1529660689,0,1
1529674108,1,1
1529677947,1,0
1529683727,1,0
1529695236,1,0
1529697143,3,0
1529708686,0,1
1529718276,1,0
1529722121,0,1
1529728109,1,1
1529735798,1,0
1529741554,1,0
1529745389,0,1
1529751152,1,0
1529756909,1,0
1529760746,0,1
1529762842,0,1
1529768675,0,1
1529776604,1,0
1529780502,0,1
1529784277,0,3
1529788357,0,1
1529802268,1,0
1529806111,0,1
1529813803,1,1
1529819562,1,0
1529821478,0,1
1529823382,2,0
1529825318,1,0
1529829165,0,1
1529831074,7,0
1529834908,1,0
1529836843,0,1
1529846437,1,0
1529857968,1,0
1529862286,0,1
1529879543,1,0
1529889147,0,1
1529900673,0,1
1529906514,1,1
1529908348,0,1
1529910282,0,1
1529912189,0,1
1529916025,1,0
1529917949,0,7
1529919880,1,0
1529921789,0,1
1529929492,0,1
1529933303,0,1
1529944835,0,1
1529958689,1,0
1529966194,0,1
1529992586,1,0
1530005071,0,1
1530006978,0,1
1530012742,1,0
1530020418,0,1
1530024274,1,0
1530028102,1,0
1530041556,1,0
1530045376,0,1
