DateTime,AddedIPs,RemovedIPs
1531316448,2,1
1531328501,0,1
1531334436,1,0
1531342119,0,1
1531344041,0,1
1531351950,1,0
1531353882,0,2
1531355796,1,1
1531357729,1,1
1531363473,0,1
1531365411,0,1
1531367306,1,0
1531371164,0,1
1531373061,0,1
1531375000,0,2
1531376906,1,0
1531378898,0,1
1531384595,1,0
1531386532,0,2
1531388422,1,0
1531390362,0,2
1531396117,1,0
1531400007,1,0
1531401890,0,1
1531403794,0,1
1531407701,1,0
1531413422,1,0
1531421057,0,1
1531430924,1,0
1531438599,1,1
1531442462,0,1
1531444351,0,1
1531451312,1,0
1531453216,0,1
1531459013,1,0
1531463062,0,1
1531466898,1,0
1531470767,0,1
1531472734,2,0
1531474598,1,1
1531476535,1,0
1531480436,1,0
1531482280,1,1
1531486100,1,1
1531490189,1,0
1531493917,0,1
1531497710,1,0
1531499674,1,1
1531511536,1,1
1531515397,0,16
1531520526,38721,0
1531522459,1,0
1531538261,9,0
1531558423,1,0
1531584437,1,0
1531598243,1,0
1531612214,1,0
1531614122,1,0
1531622566,1,0
1531638882,2,0
1531652292,1,0
1531660202,1,0
1531674345,5,0
1531706272,3,0
1531724754,1,0
1531732630,1,0
1531734591,6,0
1531736487,1,0
1531738645,3,0
1531740578,1,0
1531752338,3,0
1531756258,3,0
1531762330,1,0
1531764401,1,0
1531775876,1,0
1531778018,1,0
1531783576,1,0
1531792441,1,0
1531798259,4,0
1531805161,1,0
1531811155,2,0
1531817111,2,0
1531819103,3,0
1531830589,1,0
1531835622,3,0
1531837569,2,0
1531846207,4,0
1531856066,2,0
1531858000,2,0
1531863740,6,0
1531865576,0,38756
1531867474,2,1
1531869390,3,0
1531875163,1,0
1531877085,0,1
1531878981,0,1
1531884771,0,4
1531886666,1,9
1531890521,1,0
1531892452,0,1
1531894373,2,0
1531896281,1,0
1531898209,1,2
1531900115,2,0
1531902048,1,0
1531903951,0,4
1531905866,2,2
1531907805,1,0
1531909703,1,0
1531911714,1,0
1531915476,0,1
1531917385,4,1
1531921222,3,1
1531923182,0,6
1531932761,0,5
1531936699,1,0
1531940502,1,0
1531942636,1,2
1531944535,1,2
1531948364,0,1
1531950353,0,5
1531952186,0,1
1531954128,1,2
1531956066,0,3
1531961804,1,1
1531965703,1,0
1531971398,1,0
1531973347,0,1
1531975500,0,1
1531979316,2,1
1531981281,0,1
1531983349,0,1
1531985305,0,1
1531987293,2,2
1531989180,2,1
1531993015,0,2
1531994950,1,0
1531996879,2,2
1531998768,1,0
1532004535,0,2
1532006429,2,0
1532008401,0,3
1532010300,0,1
1532012196,1,0
1532017959,2,0
1532025640,2,1
1532027469,0,1
1532029465,0,1
1532031405,0,1
1532037416,0,1
1532039336,1,1
1532049421,1,0
1532051338,0,1
1532059018,0,1
1532061168,2,0
1532065002,1,2
1532066947,3,0
1532070775,3,0
1532072683,0,2
1532074595,1,1
1532076517,0,1
1532080372,4,1
1532082307,1,2
1532086135,0,1
1532088108,0,1
