DateTime,Entries,UniqueIPs
1532140113,8842,8842
1532142285,8836,8836
1532144251,8843,8843
1532146368,8838,8838
1532148344,8854,8854
1532150212,8854,8854
1532152147,8857,8857
1532154039,8862,8862
1532156061,8845,8845
1532157885,8833,8833
1532159840,5379,5379
1532161968,1204,1204
1532163924,1204,1204
1532165798,1212,1212
1532167758,1218,1218
1532169647,1218,1218
1532171607,1202,1202
1532173468,1223,1223
1532175469,1225,1225
1532177318,1226,1226
1532179290,1233,1233
1532181162,1231,1231
1532183134,1219,1219
1532184992,1216,1216
1532186986,1214,1214
1532188919,1244,1244
1532190846,1236,1236
1532192678,1245,1245
1532194648,1262,1262
1532196523,1256,1256
1532198485,1261,1261
1532200614,1247,1247
1532202752,1248,1248
1532204665,1261,1261
1532206612,1263,1263
1532208506,1258,1258
1532210448,1260,1260
1532212368,1249,1249
1532214544,1240,1240
1532216436,1241,1241
1532218377,1253,1253
1532220322,1244,1244
1532222216,1250,1250
1532224108,1247,1247
1532226051,1248,1248
1532227975,1244,1244
1532229868,1237,1237
1532231809,1239,1239
1532233706,1238,1238
1532235725,1235,1235
1532237818,1240,1240
1532239741,1232,1232
1532241645,1227,1227
1532243579,1218,1218
1532245476,1216,1216
1532247408,1218,1218
1532249556,1227,1227
1532251488,1216,1216
1532253393,1219,1219
1532255457,1217,1217
1532257477,1218,1218
1532259389,1222,1222
1532261324,1219,1219
1532263226,1213,1213
1532265160,1206,1206
1532267070,1199,1199
1532268992,1191,1191
1532270931,1193,1193
1532272835,1191,1191
1532274771,1169,1169
1532276688,1161,1161
1532278768,1134,1134
1532280755,1111,1111
1532282691,1091,1091
1532284585,1077,1077
1532286584,1066,1066
1532288438,1063,1063
1532290406,1052,1052
1532292305,1045,1045
1532294220,1033,1033
1532296128,1019,1019
1532298028,1018,1018
1532299960,1018,1018
1532302130,1024,1024
1532304095,997,997
1532305972,986,986
1532307885,984,984
1532309807,979,979
1532311782,983,983
1532313647,992,992
1532315575,976,976
1532317534,975,975
1532319405,983,983
1532321312,975,975
1532323236,969,969
1532325149,971,971
1532327126,968,968
1532329021,958,958
1532330908,964,964
1532332886,959,959
1532334770,2278,2278
1532336671,8747,8747
1532338596,8740,8740
1532341438,8735,8735
1532343386,8744,8744
1532345334,8736,8736
1532347322,8737,8737
1532349153,8740,8740
1532351090,8758,8758
1532353000,8760,8760
1532355167,8932,8932
1532357080,9457,9457
1532359014,9464,9464
1532360913,9477,9477
1532362860,9482,9482
1532364762,9492,9492
1532366915,9508,9508
1532368907,9526,9526
1532370781,9533,9533
1532372669,9539,9539
1532374589,9555,9555
1532376699,9564,9564
1532379787,9593,9593
1532381786,9600,9600
1532383993,9622,9622
1532385916,9628,9628
1532387811,9633,9633
1532389723,9640,9640
1532391649,9649,9649
1532393616,9648,9648
1532395514,9658,9658
1532397397,9656,9656
1532399340,9665,9665
1532401313,9671,9671
1532403160,9673,9673
1532405076,9673,9673
1532407022,9675,9675
1532408955,9683,9683
1532410844,9675,9675
1532412774,9682,9682
1532414673,9685,9685
1532416835,9693,9693
1532418777,9704,9704
1532420678,9705,9705
1532422905,2577,2577
1532424752,2369,2369
1532426686,2374,2374
1532428588,2371,2371
1532430555,2377,2377
1532432425,2377,2377
1532434383,2374,2374
1532436278,2375,2375
1532438211,2365,2365
1532440135,2369,2369
1532442273,1719,1719
1532444182,1382,1382
1532446112,1360,1360
1532448107,1367,1367
1532449992,1363,1363
1532451879,1367,1367
1532453808,1358,1358
1532455728,2545,2545
1532457629,2543,2543
1532459681,2526,2526
1532461734,2526,2526
1532463626,2523,2523
1532465584,2500,2500
1532467469,2505,2505
1532469408,2502,2502
1532471310,2489,2489
1532473321,2471,2471
1532475164,2460,2460
1532477110,2463,2463
1532478988,2461,2461
1532480944,2445,2445
1532482847,2456,2456
1532484781,2454,2454
1532486754,2444,2444
1532488596,2452,2452
1532490512,2455,2455
1532492448,2449,2449
1532494382,2460,2460
1532496277,2467,2467
1532498501,2452,2452
1532500457,2452,2452
1532502275,2445,2445
1532504195,2439,2439
1532506128,2436,2436
1532508051,2440,2440
1532509965,2433,2433
1532511879,2413,2413
1532513796,2413,2413
1532515739,2420,2420
1532517631,2419,2419
1532519604,2410,2410
1532521473,2404,2404
1532523413,2412,2412
1532525305,2401,2401
1532527316,2399,2399
1532529175,2405,2405
1532531363,2633,2633
1532533258,2623,2623
1532535412,2611,2611
1532537327,2606,2606
1532539239,2631,2631
1532541167,2640,2640
1532543088,2668,2668
1532544995,2686,2686
1532547029,2703,2703
1532548904,2704,2704
1532550813,2720,2720
1532552686,2729,2729
1532554656,2751,2751
1532556536,2756,2756
1532558519,2764,2764
1532560361,2781,2781
1532562317,2799,2799
1532564205,2798,2798
1532566160,2800,2800
1532568032,2807,2807
1532570004,2804,2804
1532571918,2818,2818
1532573839,2814,2814
1532575729,2818,2818
1532577750,2815,2815
1532579578,2803,2803
1532581537,2836,2836
1532583414,2846,2846
1532585370,2848,2848
1532587247,2850,2850
1532589235,2854,2854
1532591069,2856,2856
1532593055,2844,2844
1532594911,2852,2852
1532597127,2833,2833
1532598999,2833,2833
1532600962,2828,2828
1532602901,2822,2822
1532604846,2821,2821
1532606696,2812,2812
1532608661,2821,2821
1532610556,2827,2827
1532612488,2823,2823
1532614366,2816,2816
1532616598,2815,2815
1532618449,1869,1869
1532620504,1277,1277
1532622527,1267,1267
1532624461,1259,1259
1532626377,1242,1242
1532628338,1242,1242
1532630202,1235,1235
1532633605,1229,1229
1532635484,1225,1225
1532637679,1223,1223
1532639569,1215,1215
1532641518,1193,1193
1532643389,1187,1187
1532646416,1183,1183
1532648422,1171,1171
1532650259,1167,1167
1532652273,1166,1166
1532654112,1158,1158
1532656372,1163,1163
1532658282,1154,1154
1532660186,1142,1142
1532662141,1127,1127
1532664103,1133,1133
1532666011,1130,1130
1532667898,1083,1083
1532669829,1065,1065
1532671739,1062,1062
1532673907,1070,1070
1532675798,1069,1069
1532677992,1066,1066
1532679885,1055,1055
1532681810,1052,1052
1532683969,1051,1051
1532685892,1046,1046
1532687789,1040,1040
1532689765,1041,1041
1532691665,1037,1037
1532693591,1046,1046
1532695480,1027,1027
1532697400,1016,1016
1532699331,1010,1010
1532701323,996,996
1532703356,987,987
1532705323,994,994
1532707229,998,998
