DateTime,AddedIPs,RemovedIPs
1512778558,0,1
1512865736,0,1
1513048168,2,0
1515665311,0,1
1516973842,1,0
1517671504,1,0
1518107325,0,1
1518281529,1,0
1518455741,1,0
1519589086,0,1
1520199633,0,1
1520635563,1,0
1522248277,0,1
1522814926,0,1
1528614771,1,1
1531142442,0,1
1531527177,55084,0
1531614576,22,0
1531877089,0,55027
1531964199,3,4
1532051342,1,2
1532138428,2,3
1532225618,0,3
1532312680,0,5
1532487149,3,3
1532574294,2,2
1532661393,2,3
1532748757,1,5
1532835876,2,0
1532923231,0,2
1533010605,1,4
1533097710,3,4
