DateTime,Entries,UniqueIPs
1512342272,2,2
1512778558,1,1
1512865736,0,0
1513048168,2,2
1515665311,1,1
1516973842,2,2
1517671504,3,3
1518107325,2,2
1518281529,3,3
1518455741,4,4
1519589086,3,3
1520199633,2,2
1520635563,3,3
1522248277,2,2
1522814926,0,0
1522814926,0,0
1522814926,0,0
1522814926,0,0
1522814926,0,0
1522814926,1,1
1528614771,1,1
1531142442,0,0
1531527177,55084,55084
1531614576,55106,55106
1531877089,79,79
1531964199,78,78
1532051342,77,77
1532138428,76,76
1532225618,73,73
1532312680,68,68
1532487149,68,68
1532574294,68,68
1532661393,67,67
1532748757,63,63
1532835876,65,65
1532923231,63,63
1533010605,60,60
1533097710,59,59
