DateTime,AddedIPs,RemovedIPs
1531632660,1,0
1531648515,3,0
1531650416,1,0
1531652328,1,0
1531654374,1,0
1531656415,2,0
1531658316,1,0
1531664058,3,0
1531666030,2,0
1531672013,3,0
1531674384,1,0
1531683958,1,0
1531685889,1,0
1531692471,2,0
1531694769,1,0
1531698633,1,0
1531706317,1,0
1531708253,2,0
1531712524,1,0
1531716324,1,0
1531726170,1,0
1531738124,1,0
1531742156,1,0
1531744139,1,0
1531750933,3,0
1531754773,1,0
1531762937,1,0
1531764835,2,0
1531770637,2,0
1531772539,1,0
1531775426,1,0
1531777578,1,0
1531779731,1,0
1531781683,2,0
1531783614,2,0
1531785507,1,0
1531787418,1,0
1531789709,3,0
1531791934,1,0
1531793867,4,0
1531795781,5,0
1531797670,3,0
1531799618,1,0
1531804008,1,0
1531809902,1,0
1531812226,1,0
1531816171,1,0
1531821036,1,0
1531824890,2,0
1531830629,1,0
1531836537,1,0
1531838472,3,0
1531844354,2,0
1531848165,1,0
1531851985,2,0
1531853934,1,0
1531861868,2,0
1531865776,1,31398
1531867709,1,3
1531869607,1,1
1531871546,0,2
1531875368,0,2
1531877298,0,3
1531879222,1,2
1531881135,0,7
1531883051,3,1
1531884971,0,2
1531886894,1,1
1531890735,0,1
1531896811,1,1
1531898662,1,1
1531902506,0,1
1531906359,1,0
1531908310,1,1
1531910215,1,1
1531912149,0,1
1531915998,0,1
1531917883,1,0
1531923651,0,1
1531925587,0,3
1531927517,3,0
1531931357,2,2
1531933255,1,1
1531937087,0,1
1531939068,0,1
1531942110,3,1
1531946096,1,0
1531948057,0,2
1531950019,1,0
1531951963,0,1
1531954131,0,1
1531956070,0,1
1531957995,1,0
1531959874,1,0
1531965707,2,1
1531967598,1,0
1531969495,0,3
1531971402,3,0
1531973351,0,1
1531981284,1,0
1531983352,0,1
1531985310,0,1
1531993019,0,2
1531996882,0,1
1532004541,0,1
1532008405,1,0
1532014115,1,3
1532016110,2,0
1532017962,0,2
1532019920,0,1
1532021805,1,0
1532027473,0,2
1532029468,2,1
1532031408,0,1
1532035495,1,0
1532037419,0,1
1532039339,1,0
1532045401,0,2
1532051343,0,1
1532053234,0,1
1532055220,0,1
1532057078,0,3
1532059021,2,0
1532066950,0,1
1532068832,1,0
1532072687,1,0
1532078495,1,0
1532086140,1,0
1532088116,1,0
1532093801,0,1
1532097645,1,0
1532099575,1,1
1532101478,0,2
1532103400,4,0
1532109180,0,1
1532113012,2,0
1532114905,0,2
1532118775,3,0
1532120687,1,0
1532122674,0,1
1532124531,2,0
1532126443,0,1
1532128609,1,0
1532130530,1,0
1532132443,1,0
1532134360,4,0
1532138193,1,0
1532140114,2,0
1532142286,2,0
1532144252,1,0
1532146369,1,2
1532148345,2,0
1532156062,2,1
1532159841,1,1
1532161969,1,0
1532165799,0,1
1532171608,1,1
1532173469,1,0
1532175470,1,1
1532177319,1,0
1532179291,1,0
1532181163,1,0
1532183135,2,1
1532184993,2,1
1532188920,2,1
1532190847,3,3
1532192679,1,0
1532196524,1,0
1532198487,1,0
1532200615,0,2
1532202753,1,0
1532204666,0,2
1532206613,1,2
1532208507,1,0
1532210451,2,2
1532214545,1,0
1532216437,1,1
1532218378,0,1
1532220325,1,5
1532222217,1,0
1532224109,0,1
1532226052,0,1
1532227976,1,1
1532229869,0,3
1532233707,0,3
1532235726,2,0
1532241646,1,2
1532243580,1,0
1532245477,0,1
1532249557,0,1
1532257478,0,1
1532259390,0,1
1532261325,2,1
1532263227,0,1
1532265161,2,1
1532267071,2,1
1532268993,0,1
1532270932,0,3
1532276689,0,2
1532278769,0,4
1532282692,0,1
1532284586,0,1
1532290407,1,1
1532292306,0,1
1532294221,0,1
1532296129,0,2
1532302131,0,1
1532304097,0,1
1532305973,1,0
1532307886,0,2
1532311783,1,0
1532315576,0,1
1532321313,0,2
1532327127,0,1
1532329022,0,1
1532332887,1,0
1532343389,1,0
1532345335,1,0
1532349154,1,2
1532351092,2,2
1532353001,0,2
1532355168,2,0
1532362862,2,0
1532368908,1,0
1532370782,1,0
1532372670,1,0
1532374591,1,0
1532376700,2,1
1532379788,3,0
1532383994,1,0
1532385917,2,0
1532387812,1,0
1532389724,3,0
1532391650,0,1
1532397398,1,0
1532399344,1,1
1532405077,1,0
1532407023,2,0
1532410845,1,0
1532416836,2,0
1532418779,1,0
1532420679,0,1
1532422906,3,0
1532430556,1,1
1532432426,0,1
1532434387,0,1
1532438212,1,2
1532442277,2,2
1532444183,1,0
1532446113,1,0
1532448108,1,2
1532449993,1,0
1532453809,0,1
1532457630,0,1
1532459682,0,1
1532461735,0,2
1532463627,0,4
1532465585,3,0
1532469409,0,1
1532471311,0,1
1532473322,0,1
1532475165,0,3
1532477111,1,1
1532484782,1,1
1532486755,0,1
1532492452,0,2
1532494383,1,1
1532496278,0,1
1532500458,1,0
1532502276,2,0
1532504196,0,2
1532506129,0,1
1532508052,1,3
1532509966,3,0
1532517632,0,1
1532525306,0,1
1532527318,1,0
1532529176,0,2
1532531365,0,2
1532533259,1,1
1532537328,0,1
1532539240,3,0
1532541168,2,0
1532543089,1,0
1532544996,2,0
1532547030,1,0
1532552688,2,3
1532554657,3,0
1532560362,2,0
1532562318,1,0
1532564206,1,1
1532566161,1,0
1532568033,1,0
1532570005,1,1
1532571919,1,0
1532577751,2,0
1532581538,3,1
1532587248,1,2
1532589236,0,1
1532591070,1,0
1532593056,2,0
1532594912,3,1
1532597128,0,3
1532600964,3,0
1532602903,1,0
1532604848,1,0
1532606697,1,0
1532608662,4,0
1532610557,3,0
1532612490,7,0
1532614367,0,1
1532616601,3,0
1532618450,0,1
1532620505,2,0
1532624483,1,1
1532626378,0,3
1532628339,1,1
1532630203,0,1
1532633606,3,3
1532637680,3,0
1532639570,0,4
1532641519,0,1
1532646417,1,2
1532648423,0,1
1532650260,2,1
1532652275,0,1
1532654114,3,0
1532656373,1,2
1532658283,0,1
1532664104,0,2
1532666012,1,0
1532667899,0,3
1532669830,2,0
1532673908,0,1
1532677993,0,2
1532679886,1,3
1532681812,1,1
1532687790,1,3
1532689766,0,2
1532691667,1,0
1532693593,2,1
1532695481,0,5
1532697401,0,2
1532699332,1,7
1532701324,1,1
1532703357,0,2
1532707230,0,2
1532711354,1,1
1532715177,2,1
1532717084,2,1
1532719010,1,1
1532720913,1,1
1532722842,3,3
1532724758,3,0
1532726704,1,0
1532731583,2,0
1532733410,0,1
1532735451,2,0
1532737490,1,2
1532739309,2,1
1532741571,2,3
1532745390,1,0
1532747350,2,0
1532751178,2,0
1532753087,0,1
1532756927,0,2
1532758838,3,0
1532760768,1,0
1532762692,1,0
1532764615,1,0
1532766522,1,1
1532768518,6,1
1532770369,1,0
1532773083,1,1
1532776824,1,0
1532778753,0,1
1532780669,1,2
1532786338,1,1
1532788434,3,1
1532794154,1,0
1532797951,2,1
1532799863,1,0
1532801811,0,3
1532803708,0,1
1532805649,0,1
1532807792,0,3
1532810114,1,1
1532811932,0,3
1532813828,2,1
1532817671,1,2
1532821479,0,2
1532823431,0,1
1532826113,0,2
1532827970,0,2
1532829878,1,0
1532831804,0,1
1532833704,0,2
1532835876,1,0
1532837795,0,2
1532839741,1,0
1532843574,2,0
1532845467,0,3
1532847423,3,1
1532849313,0,2
1532851314,1,0
1532853178,1,1
1532855083,1,7
1532856995,2,0
1532858949,0,1
1532862773,0,1
1532866618,0,1
1532872353,2,1
1532874273,0,2
1532876103,0,1
1532880276,0,1
1532884166,0,2
1532886036,1,1
1532893727,1,0
1532895983,1,1
1532899697,0,2
1532901889,3,0
1532903785,0,1
1532907626,1,0
1532915318,0,1
1532923488,0,1
1532927351,1,1
1532929226,0,2
1532933087,0,1
1532934985,0,2
1532936927,0,1
1532938832,0,1
1532940748,0,1
1532942674,0,2
1532944593,3,0
1532946512,1,0
1532958025,0,1
1532960210,1,1
1532971739,3,1
1532973703,1,0
1532975568,1,0
1532979412,0,1
1532981353,4,0
1532983272,1,1
1532985175,2,0
1532987114,0,3
1532988997,2,0
1532992860,1,1
1532994782,3,0
1532996690,1,0
1532998619,1,0
1533000533,1,0
1533004370,2,0
1533010141,2,0
1533012036,1,0
1533013986,1,1
1533017827,2,0
1533019720,1,0
1533021645,1,0
1533025540,1,0
1533027412,2,0
1533029323,2,0
1533031321,2,3
1533033436,4,1
1533037258,1,0
1533041087,5,0
1533043030,2,0
1533044947,1,0
1533046836,1,1
1533049028,1,0
1533050915,1,0
1533052780,1,0
1533054799,1,0
1533056941,1,1
1533058832,1,3
1533062666,1,1
1533067172,1,4
1533069183,0,1
1533071081,0,1
1533073244,2,1
1533075328,1,2
1533077326,2,0
1533079230,1,1
1533081142,1,3
1533083086,2,1
1533084985,2,1
1533086804,1,0
1533088839,0,1
1533091016,0,2
1533092954,2,0
1533096743,1,2
1533098697,1,1
1533100603,0,1
1533102511,0,1
1533104424,0,1
1533106373,0,1
1533108263,0,1
1533112125,1,1
1533114090,0,2
1533115950,0,2
1533117893,1,2
