DateTime,AddedIPs,RemovedIPs
1531950019,5,3
1531951963,1,3
1531954132,4,3
1531956071,0,1
1531957996,1,0
1531959874,1,0
1531961807,2,0
1531963718,3,2
1531965707,2,2
1531967599,3,0
1531969496,2,1
1531971402,0,1
1531973351,0,1
1531975509,1,1
1531979322,1,0
1531981285,0,1
1531983353,1,1
1531985310,3,0
1531987297,1,2
1531989186,2,3
1531993019,0,1
1531994953,2,2
1531996882,2,1
1531998771,0,1
1532000702,0,1
1532002618,3,0
1532004541,0,2
1532006433,2,0
1532008405,2,0
1532010306,1,0
1532012200,2,1
1532014115,2,1
1532016110,3,1
1532017962,2,1
1532019920,1,1
1532021805,4,1
1532023826,0,2
1532025644,1,2
1532027473,1,2
1532029468,1,4
1532031408,1,3
1532033308,1,2
1532035495,3,1
1532037420,2,1
1532039339,3,3
1532041288,2,2
1532043096,4,2
1532045403,2,1
1532047252,2,3
1532049425,2,1
1532051344,3,2
1532053234,1,1
1532055220,3,0
1532059021,2,2
1532063103,6,2
1532065006,2,1
1532066950,1,1
1532068833,0,1
1532070780,0,1
1532072687,0,4
1532074599,2,1
1532076520,0,2
1532078496,1,1
1532082310,2,2
1532084213,0,2
1532086141,2,0
1532089971,2,3
1532091899,0,2
1532093801,0,2
1532095742,1,2
1532097646,3,2
1532099576,1,4
1532101479,2,1
1532103401,1,1
1532105334,3,0
1532107259,0,4
1532109180,0,2
1532111074,1,0
1532113012,2,2
1532114905,1,1
1532116898,2,1
1532118776,1,1
1532120687,0,4
1532122674,1,2
1532124532,1,0
1532126444,1,2
1532128609,2,4
1532130530,0,3
1532132444,2,2
1532134361,1,0
1532136287,1,0
1532138193,0,2
1532140115,2,2
1532142286,3,0
1532144252,2,0
1532146369,2,1
1532148346,1,0
1532150213,3,0
1532152149,2,0
1532154042,0,2
1532159842,0,1
1532161969,0,1
1532163925,0,1
1532165799,2,1
1532167760,1,0
1532169648,0,2
1532171608,3,1
1532173469,1,0
1532175470,0,9
1532177319,0,1
1532181163,0,2
1532183135,0,5
1532184993,3,0
1532186987,0,2
1532188920,1,0
1532196525,1,0
1532198487,1,2
1532200615,3,1
1532204666,1,2
1532208507,1,0
1532210455,2,1
1532212372,1,1
1532214545,0,2
1532216437,1,0
1532218378,2,0
1532220325,3,2
1532222217,0,1
1532224109,3,2
1532229870,2,2
1532231810,0,3
1532235727,0,3
1532237819,1,3
1532239743,3,0
1532243581,0,1
1532249557,3,0
1532253394,0,2
1532255458,1,2
1532257479,1,5
1532259390,0,5
1532261326,1,0
1532267071,0,1
1532268993,0,2
1532270932,3,2
1532272836,1,0
1532278769,1,0
1532280757,1,1
1532282692,1,0
1532284587,1,0
1532286589,0,2
1532288439,2,4
1532290408,4,1
1532292306,2,2
1532294221,5,0
1532296129,1,1
1532298029,1,2
1532302131,3,0
1532304097,1,2
1532305973,5,1
1532307886,2,0
1532313649,2,1
1532315577,0,1
1532317535,2,0
1532321314,0,1
1532327128,0,1
1532329022,0,1
1532330910,1,2
1532332887,0,1
1532334771,0,1
1532336673,1,0
1532341439,6,1
1532343389,0,3
1532345335,5,1
1532347323,1,2
1532349155,1,0
1532351092,1,0
1532355168,1,2
1532357081,0,2
1532359015,1,1
