DateTime,AddedIPs,RemovedIPs
1528540839,0,1
1528542770,1,1
1528548518,1,0
1528550433,0,1
1528552388,0,1
1528556206,1,0
1528560112,1,0
1528561972,0,1
1528563888,1,0
1528565813,1,0
1528575385,1,2
1528577316,1,0
1528581164,2,2
1528586034,1,0
1528589823,1,0
1528597506,0,1
1528601331,0,1
1528603315,0,1
1528607086,0,1
1528609049,1,1
1528612890,0,1
1528614772,0,2
1528620541,0,2
1528622466,0,1
1528630108,1,1
1528632116,1,0
1528635898,0,1
1528641881,0,1
1528645731,0,1
1528649569,0,1
1528653403,0,1
1528663136,1,2
1528666388,1,1
1528668681,1,1
1528670585,1,0
1528672494,1,1
1528676347,0,1
1528678242,1,0
1528695294,0,1
1528704982,1,0
1528712919,2,0
1528714900,1,0
1528716754,0,1
1528730198,1,0
1528742712,1,1
1528746434,1,0
1528748424,0,1
1528750340,1,0
1528752269,0,1
1528756107,0,1
1528758121,0,1
1528760062,0,1
1528765717,1,1
1528792581,0,1
1528800282,0,2
1528802182,0,1
1528806065,3,0
1528807942,70,0
1528815723,0,1
1528833395,0,1
1528835298,1,0
1528837115,0,1
1528840953,1,0
1528842976,1,0
1528844903,0,1
1528852575,0,1
1528879478,1,0
1528890997,1,0
1528892908,0,3
1528894909,0,70
1528922666,0,1
1528926505,0,1
1528928443,0,1
1528965639,0,1
1528977140,1,1
1529002104,1,0
1529026343,1,0
1529030183,1,0
1529035950,1,0
1529058984,1,0
1529065900,1,0
1529077475,2,0
1529079382,0,1
1529088986,0,1
1529091788,1,0
1529111329,1,0
1529113248,0,1
1529117110,0,1
1529122839,0,1
1529140381,1,0
1529146104,0,1
1529151884,0,1
1529163399,0,2
1529169146,1,0
1529178990,0,1
1529180900,1,0
1529184755,1,0
1529196739,2,1
1529200616,1,0
1529206366,1,0
1529208272,2,0
1529212125,1,0
1529214044,1,0
1529215948,3,0
1529217885,2,0
1529223644,1,0
1529227476,3,1
1529229399,1,0
1529231309,4,0
1529233306,1,0
1529240924,1,0
1529242827,1,0
1529250506,1,0
1529254352,0,1
1529256271,1,0
1529260106,1,0
1529262100,1,0
1529267784,0,1
1529269724,1,1
1529275720,1,0
1529281474,0,1
1529283376,0,1
1529285297,1,0
1529287298,0,1
1529289143,2,0
1529292989,0,1
1529294900,0,2
1529296816,0,1
1529298760,1,0
1529300660,0,1
1529302574,0,3
1529304510,1,2
1529310275,0,1
1529314096,0,3
1529316100,0,2
1529317942,0,3
1529319857,0,1
1529325621,0,1
1529327562,1,0
1529329459,0,1
1529335228,1,0
1529337149,0,1
1529342899,0,1
1529344904,0,1
1529348671,2,1
1529354659,2,0
1529356591,0,1
1529362594,1,1
1529368589,6,0
1529370512,1,0
1529372422,0,1
1529374364,1,1
1529376269,0,1
1529380112,2,0
1529382038,3,0
1529383962,1,0
1529385876,1,1
1529387783,2,0
1529389708,3,0
1529391717,2,1
1529395474,3,0
1529401260,2,0
1529403147,2,0
1529408906,3,0
1529412755,1,1
1529418774,1,0
1529420675,0,1
1529424539,1,0
1529432182,1,0
