DateTime,Entries,UniqueIPs
1528540839,19,19
1528542770,19,19
1528548518,20,20
1528550433,19,19
1528552388,18,18
1528556206,19,19
1528560112,20,20
1528561972,19,19
1528563888,20,20
1528565813,21,21
1528575385,20,20
1528577316,21,21
1528581164,21,21
1528586034,22,22
1528589823,23,23
1528597506,22,22
1528601331,21,21
1528603315,20,20
1528607086,19,19
1528609049,19,19
1528612890,18,18
1528614772,16,16
1528620541,14,14
1528622466,13,13
1528630108,13,13
1528632116,14,14
1528635898,13,13
1528641881,12,12
1528645731,11,11
1528649569,10,10
1528653403,9,9
1528663136,8,8
1528666388,8,8
1528668681,8,8
1528670585,9,9
1528672494,9,9
1528676347,8,8
1528678242,9,9
1528695294,8,8
1528704982,9,9
1528712919,11,11
1528714900,12,12
1528716754,11,11
1528730198,12,12
1528742712,12,12
1528746434,13,13
1528748424,12,12
1528750340,13,13
1528752269,12,12
1528756107,11,11
1528758121,10,10
1528760062,9,9
1528765717,9,9
1528792581,8,8
1528800282,6,6
1528802182,5,5
1528806065,8,8
1528807942,78,78
1528815723,77,77
1528833395,76,76
1528835298,77,77
1528837115,76,76
1528840953,77,77
1528842976,78,78
1528844903,77,77
1528852575,76,76
1528879478,77,77
1528890997,78,78
1528892908,75,75
1528894909,5,5
1528922666,4,4
1528926505,3,3
1528928443,2,2
1528965639,1,1
1528977140,1,1
1529002104,2,2
1529026343,3,3
1529030183,4,4
1529035950,5,5
1529058984,6,6
1529065900,7,7
1529077475,9,9
1529079382,8,8
1529088986,7,7
1529091788,8,8
1529111329,9,9
1529113248,8,8
1529117110,7,7
1529122839,6,6
1529140381,7,7
1529146104,6,6
1529151884,5,5
1529163399,3,3
1529169146,4,4
1529178990,3,3
1529180900,4,4
1529184755,5,5
1529196739,6,6
1529200616,7,7
1529206366,8,8
1529208272,10,10
1529212125,11,11
1529214044,12,12
1529215948,15,15
1529217885,17,17
1529223644,18,18
1529227476,20,20
1529229399,21,21
1529231309,25,25
1529233306,26,26
1529240924,27,27
1529242827,28,28
1529250506,29,29
1529254352,28,28
1529256271,29,29
1529260106,30,30
1529262100,31,31
1529267784,30,30
1529269724,30,30
1529275720,31,31
1529281474,30,30
1529283376,29,29
1529285297,30,30
1529287298,29,29
1529289143,31,31
1529292989,30,30
1529294900,28,28
1529296816,27,27
1529298760,28,28
1529300660,27,27
1529302574,24,24
1529304510,23,23
1529310275,22,22
1529314096,19,19
1529316100,17,17
1529317942,14,14
1529319857,13,13
1529325621,12,12
1529327562,13,13
1529329459,12,12
1529335228,13,13
1529337149,12,12
1529342899,11,11
1529344904,10,10
1529348671,11,11
1529354659,13,13
1529356591,12,12
1529362594,12,12
1529368589,18,18
1529370512,19,19
1529372422,18,18
1529374364,18,18
1529376269,17,17
1529380112,19,19
1529382038,22,22
1529383962,23,23
1529385876,23,23
1529387783,25,25
1529389708,28,28
1529391717,29,29
1529395474,32,32
1529401260,34,34
1529403147,36,36
1529408906,39,39
1529412755,39,39
1529418774,40,40
1529420675,39,39
1529424539,40,40
1529432182,41,41
1529434116,39,39
1529436032,40,40
1529437940,42,42
1529439862,43,43
1529441791,42,42
1529443706,43,43
1529448268,42,42
1529450181,43,43
1529454030,38,38
1529455954,36,36
1529461697,36,36
1529465560,35,35
1529467465,34,34
1529469378,30,30
1529471318,31,31
1529473221,31,31
1529475146,28,28
1529476956,24,24
1529480783,23,23
1529482589,21,21
1529488346,19,19
1529494100,17,17
1529496108,15,15
1529499869,14,14
1529505888,13,13
1529511625,12,12
1529519566,11,11
1529521483,10,10
