DateTime,Entries,UniqueIPs
1532717546,8842,9048
1532718261,8837,9043
1532718983,8832,9038
1532719952,8843,9049
1532720666,8846,9052
1532721383,8857,9063
1532722356,8849,9055
1532723305,8852,9058
1532724277,8840,9046
1532725232,8852,9058
1532725940,8847,9053
1532726663,8847,9053
1532727625,8835,9041
1532728339,8834,9040
1532729078,8837,9043
1532730031,8833,9039
1532731986,8814,9020
1532732662,8818,9024
1532733385,8820,9026
1532734102,8827,9033
1532734820,8821,9027
1532735797,8824,9030
1532736759,8827,9033
1532737465,8829,9035
1532738431,8830,9036
1532739130,8831,9037
1532740107,8826,9032
1532741055,8831,9037
1532742022,8837,9043
1532742730,8835,9041
1532743468,8834,9040
1532744422,8827,9033
1532745133,8825,9031
1532745858,8822,9028
1532746821,8823,9029
1532747785,8859,9081
1532748738,8869,9104
1532749449,8879,9119
1532750169,8871,9115
1532751149,8862,9106
1532751850,8864,9108
1532752575,8864,9108
1532753540,8866,9113
1532754508,8864,9111
1532755456,8861,9108
1532756415,8861,9113
1532757389,8859,9111
1532758356,8861,9113
1532759067,8857,9109
1532759783,8860,9112
1532760505,8858,9110
1532761242,8856,9108
1532762184,8861,9113
1532763149,8865,9117
1532763850,8866,9118
1532764576,8858,9110
1532765540,8865,9117
1532766249,8864,9117
1532766995,8858,9115
1532767701,8861,9121
1532768436,8869,9130
1532769143,8877,9138
1532769868,8872,9133
1532770831,8882,9143
1532771559,8883,9144
1532773500,8878,9139
1532774184,8878,9139
1532774904,8881,9142
1532775882,8881,9142
1532776581,8885,9147
1532777307,8888,9146
1532778270,8891,9149
1532778979,8892,9150
1532779714,8895,9153
1532780427,8894,9152
1532781149,8892,9150
1532781861,8894,9152
1532782583,8901,9159
1532783551,8887,9145
1532784261,8893,9151
1532784985,8891,9150
1532785705,8896,9155
1532786676,8892,9151
1532787384,8900,9159
1532788103,8903,9162
1532788822,8914,9173
1532789792,8910,9169
1532790502,8911,9170
1532791226,8909,9168
1532791946,8909,9168
1532792666,8907,9167
1532793647,8910,9170
1532794345,8910,9172
1532795070,8906,9168
1532796027,8902,9164
1532796741,8905,9167
1532797474,8905,9167
1532798182,8905,9167
1532798904,8899,9161
1532799620,8896,9158
1532800369,8896,9158
1532801070,8890,9152
1532801789,8894,9156
1532802751,8898,9160
1532803460,8893,9155
1532804187,8895,9157
1532804900,8896,9158
1532805626,8891,9153
1532806593,8897,9159
1532807302,8899,9161
1532808061,8898,9160
1532808998,8887,9149
1532809996,8881,9143
1532810660,8889,9151
1532811380,8879,9141
1532812352,8873,9135
1532813063,8875,9137
1532813803,8878,9140
1532814767,8872,9134
1532815465,8878,9140
1532816190,8870,9132
1532816897,8862,9124
1532817651,8866,9128
1532818344,8870,9132
1532819062,8872,9134
1532819771,8873,9135
1532820501,8876,9138
1532821208,8877,9139
1532821933,8877,9139
1532822651,8879,9141
1532823407,8876,9138
1532824368,8881,9143
1532826542,8881,9143
1532827217,8889,9151
1532827950,8881,9143
1532828906,8879,9141
1532829620,8876,9138
1532830390,8878,9140
1532831062,8879,9141
1532831784,8876,9138
1532832505,8878,9140
1532833283,8890,9125
1532833945,8899,9134
1532834660,8864,9061
1532835383,8852,9047
1532836106,8849,9044
1532836830,8849,9044
1532837541,8858,9053
1532838264,8854,9049
1532838982,8850,9045
1532839713,8859,9054
1532840427,8856,9051
1532841136,8854,9049
1532841852,8857,9052
1532842593,8859,9054
1532843553,8860,9055
1532844270,8859,9054
1532844989,8859,9054
1532845701,8857,9052
1532846427,8862,9057
1532847394,8863,9058
1532848349,8856,9051
1532849061,8859,9054
1532849786,8860,9055
