DateTime,AddedIPs,RemovedIPs
1532714664,2,4
1532715616,5,0
1532716587,1,3
1532717546,5,2
1532718261,1,0
1532718983,1,13
1532719952,6,3
1532720666,5,2
1532721383,5,13
1532722356,4,0
1532723305,3,5
1532724277,2,11
1532725232,8,4
1532725940,3,2
1532726663,1,1
1532727625,0,6
1532728339,4,3
1532729078,3,2
1532730031,2,15
1532731986,7,4
1532732662,3,3
1532733385,1,4
1532734102,5,4
1532734820,0,4
1532735797,4,6
1532736759,8,5
1532737465,7,6
1532738431,1,12
1532739130,4,2
1532740107,2,5
1532741055,11,5
1532742022,10,21
1532742730,8,0
1532743468,5,22
1532744422,1,6
1532745133,4,7
1532745858,3,4
1532746821,8,3
1532747785,33,16
1532748738,21,4
1532749449,6,0
1532750169,3,4
1532751149,6,12
1532751850,2,0
1532752575,0,7
1532753540,7,1
1532754508,6,8
1532755456,3,8
1532756415,4,3
1532757389,3,4
1532758356,5,4
1532759067,4,5
1532759783,6,7
1532760505,3,5
1532761242,3,4
1532762184,4,1
1532763149,4,7
1532763850,5,5
1532764576,0,2
1532765540,4,0
1532766249,1,5
1532766995,5,3
1532767701,8,0
1532768436,5,4
1532769143,7,2
1532769868,2,6
1532770831,6,1
1532771559,2,3
1532773500,6,10
1532774184,4,1
1532774904,6,1
1532775882,3,5
1532776581,6,3
1532777307,2,7
1532778270,5,3
1532778979,4,2
1532779714,3,0
1532780427,2,5
1532781149,2,2
1532781861,4,3
1532782583,7,0
1532783551,2,2
1532784261,1,4
1532784985,6,3
1532785705,3,5
1532786676,3,6
1532787384,5,0
1532788103,4,16
1532788822,9,8
1532789792,2,3
1532790502,1,0
1532791226,1,3
1532791946,4,7
1532792666,2,2
1532793647,0,1
1532794345,5,1
1532795070,3,2
1532796027,3,4
1532796741,4,3
1532797474,2,2
1532798182,3,1
1532798904,0,6
1532799620,1,2
1532800369,2,4
1532801070,3,3
1532801789,2,3
1532802751,4,6
1532803460,2,5
1532804187,6,4
1532804900,2,4
1532805626,0,2
1532806593,7,9
1532807302,4,5
1532808061,2,5
1532808998,3,0
1532809996,1,2
1532810660,2,2
1532811380,0,3
1532812352,3,11
1532813063,5,0
1532813803,1,8
1532814767,2,8
1532815465,3,0
1532816190,1,5
1532816897,1,4
1532817651,3,3
1532818344,2,6
1532819062,2,2
1532819771,1,3
1532820501,3,0
1532821208,3,10
1532821933,4,0
1532822651,4,2
1532823407,4,10
1532824368,6,0
1532826542,10,39
1532827217,4,0
1532827950,7,54
1532828906,10,0
1532829620,3,18
1532830390,5,0
1532831062,2,11
1532831784,2,7
1532832505,6,0
1532833283,5,16
1532833945,7,4
1532834660,7,4
1532835383,3,0
1532836106,1,8
1532836830,5,6
1532837541,7,0
1532838264,2,11
1532839713,6,5
1532840427,1,3
1532841136,2,4
1532841852,2,0
1532842593,4,3
1532843553,5,5
1532844270,2,2
1532844989,1,0
1532845701,1,3
1532846427,1,2
1532847394,4,1
1532848349,4,3
1532849061,3,2
1532849786,3,6
1532850504,4,3
1532851238,5,1
1532852182,2,5
1532853158,6,5
1532853861,2,5
1532854585,1,1
1532855301,1,0
1532856023,5,1
1532856747,3,1
1532857469,2,3
1532858436,4,1
1532859397,4,6
1532860099,3,1
1532860823,4,3
1532861785,2,4
1532862753,7,7
1532863706,7,6
1532864419,2,0
1532865147,4,1
1532865866,1,9
1532866599,4,3
1532867554,4,6
1532868260,2,2
1532868983,4,5
1532869701,3,4
1532870437,8,6
1532871143,2,8
1532871863,3,6
1532872579,3,4
1532873318,5,3
