DateTime,Entries,UniqueIPs
1532717546,8141,8141
1532718261,8113,8113
1532718983,8159,8159
1532719952,8149,8149
1532720666,8153,8153
1532721383,8159,8159
1532722356,8171,8171
1532723305,8148,8148
1532724277,8123,8123
1532725232,8145,8145
1532725940,8150,8150
1532726663,8142,8142
1532727625,8144,8144
1532728339,8129,8129
1532729078,8138,8138
1532730031,8136,8136
1532731986,8110,8110
1532732662,8111,8111
1532733385,8119,8119
1532734102,8137,8137
1532734820,8126,8126
1532735797,8134,8134
1532736759,8135,8135
1532737465,8118,8118
1532738431,8122,8122
1532739130,8130,8130
1532740107,8136,8136
1532741055,8152,8152
1532742022,8141,8141
1532742730,8126,8126
1532743468,8136,8136
1532744422,8133,8133
1532745133,8119,8119
1532745858,8115,8115
1532746821,8132,8132
1532747785,8138,8138
1532748738,8100,8100
1532749449,8112,8112
1532750169,8108,8108
1532751149,8094,8094
1532751850,8108,8108
1532752575,8104,8104
1532753540,8134,8134
1532754508,8129,8129
1532755456,8124,8124
1532756415,8126,8126
1532757389,8110,8110
1532758356,8098,8098
1532759067,8112,8112
1532759783,8116,8116
1532760505,8130,8130
1532761242,8146,8146
1532762184,8140,8140
1532763149,8123,8123
1532763850,8122,8122
1532764576,8138,8138
1532765540,8141,8141
1532766249,8137,8137
1532766995,8135,8135
1532767701,8147,8147
1532768436,8152,8152
1532769143,8170,8170
1532769868,8169,8169
1532770831,8177,8177
1532771559,8182,8182
1532773500,8157,8157
1532774184,8157,8157
1532774904,8177,8177
1532775882,8192,8192
1532776581,8180,8180
1532777307,8159,8159
1532778270,8190,8190
1532778979,8205,8205
1532779714,8217,8217
1532780427,8199,8199
1532781149,8206,8206
1532781861,8211,8211
1532782583,8228,8228
1532783551,8205,8205
1532784261,8200,8200
1532784985,8206,8206
1532785705,8199,8199
1532786676,8209,8209
1532787384,8201,8201
1532788103,8212,8212
1532788822,8192,8192
1532789792,8223,8223
1532790502,8216,8216
1532791226,8210,8210
1532791946,8205,8205
1532792666,8204,8204
1532793647,8210,8210
1532794345,8231,8231
1532795070,8199,8199
1532796027,8203,8203
1532796741,8197,8197
1532797474,8208,8208
1532798182,8205,8205
1532798904,8209,8209
1532799620,8198,8198
1532800369,8207,8207
1532801070,8188,8188
1532801789,8189,8189
1532802751,8194,8194
1532803460,8197,8197
1532804187,8203,8203
1532804900,8211,8211
1532805626,8196,8196
1532806593,8159,8159
1532807302,8197,8197
1532808061,8167,8167
1532808998,8190,8190
1532809996,8168,8168
1532810660,8194,8194
1532811380,8079,8079
1532812352,8162,8162
1532813063,8181,8181
1532813803,8199,8199
1532814767,8184,8184
1532815465,8193,8193
1532816190,8163,8163
1532816897,8189,8189
1532817651,8198,8198
1532818344,8181,8181
1532819062,8160,8160
1532819771,8175,8175
1532820501,8183,8183
1532821208,8188,8188
1532821933,8191,8191
1532822651,8193,8193
1532823407,8193,8193
1532824368,8178,8178
1532826542,8188,8188
1532827217,8158,8158
1532827950,8189,8189
1532828906,8184,8184
1532829620,8176,8176
1532830390,8175,8175
1532831062,8193,8193
1532831784,8177,8177
1532832505,8178,8178
1532833283,8193,8193
1532833945,8176,8176
1532834660,8160,8160
1532835383,8183,8183
1532836106,8174,8174
1532836830,8172,8172
1532837541,8166,8166
1532838264,8173,8173
1532838982,8168,8168
1532839713,8171,8171
1532840427,8181,8181
1532841136,8164,8164
1532841852,8169,8169
1532842593,8185,8185
1532843553,8179,8179
1532844270,8188,8188
1532844989,8169,8169
1532845701,8159,8159
1532846427,8195,8195
1532847394,8190,8190
1532848349,8193,8193
1532849061,8167,8167
1532849786,8177,8177
1532850504,8180,8180
1532851238,8181,8181
1532852182,8183,8183
1532853158,8166,8166
1532853861,8187,8187
1532854585,8177,8177
1532855301,8188,8188
1532856023,8173,8173
1532856747,8155,8155
1532857469,8183,8183
1532858436,8188,8188
1532859397,8175,8175
1532860099,8185,8185
1532860823,8182,8182
1532861785,8163,8163
1532862753,8073,8073
1532863706,8180,8180
1532864419,8180,8180
1532865147,8177,8177
1532865866,8190,8190
1532866599,8140,8140
1532867554,8177,8177
1532868260,8164,8164
1532868983,8173,8173
1532869701,8180,8180
1532870437,8192,8192
1532871143,8189,8189
1532871863,8195,8195
1532872579,8213,8213
1532873318,8217,8217
1532874017,8221,8221
1532874753,8220,8220
1532875542,8141,8141
1532876438,8196,8196
1532877134,8196,8196
1532877856,8217,8217
1532878574,8219,8219
1532879292,8179,8179
1532880020,8218,8218
1532880735,8204,8204
1532881451,8205,8205
1532882175,8203,8203
1532883141,8161,8161
1532884114,8185,8185
1532885066,8194,8194
1532885780,8175,8175
1532886508,8207,8207
1532887228,8160,8160
1532887950,8188,8188
