DateTime,AddedIPs,RemovedIPs
1532434466,1,0
1532436156,12,4
1532436997,3,0
1532438061,6,3
1532439326,6,4
1532441661,23,2
1532443351,15,3
1532444733,5,4
1532446102,9,0
1532447427,7,9
1532448532,5,4
1532449839,5,1
1532451392,9,1
1532452536,8,2
1532454033,14,4
1532456070,11,4
1532457334,1,7
1532458860,2,2
1532460510,5,0
1532461663,7,7
1532463275,3,2
1532464107,0,1
1532464952,1,3
1532466210,1,4
1532467835,1,6
1532468550,0,1
1532470468,1,1
1532472327,3,7
1532473543,1,2
1532475750,2,2
1532477670,6,4
1532478517,2,0
1532479828,1,3
1532481274,2,0
1532483734,5,2
1532484933,1,2
1532486553,6,7
1532488471,14,5
1532490152,5,2
1532491833,2,3
1532493743,4,5
1532495669,3,2
1532497354,1,6
1532499267,2,1
1532500946,0,8
1532501787,1,0
1532502865,3,5
1532503706,1,0
1532505381,2,2
1532506471,3,4
1532507727,4,2
1532509531,3,4
1532510065,1,0
1532511743,6,6
1532513435,1,4
1532514641,6,5
1532517336,0,5
1532518690,1,3
1532520412,2,4
1532522448,4,1
1532524834,3,3
1532526161,1,10
1532528060,2,10
1532528917,2,0
1532530343,7,9
1532531728,1,5
1532533341,4,8
1532534193,1,0
1532536106,4,9
1532536959,5,14
1532538866,2,6
1532540547,4,7
1532541821,6,5
1532543132,6,0
1532546805,16,16
1532547942,2,7
1532549162,2,1
1532550647,2,7
1532552183,2,0
1532553335,2,2
1532554535,2,26
1532555787,3,1
1532557713,3,1
1532559589,1,4
1532560470,3,0
1532562144,9,4
1532564064,10,2
1532565760,2,7
1532566595,2,1
1532567740,4,4
1532568501,6,0
1532570184,2,7
1532571339,2,6
1532572956,1,5
1532573787,2,0
1532574867,3,3
1532577046,8,6
1532578474,10,5
1532579311,4,0
1532580993,3,21
1532582072,0,8
1532583747,2,9
1532585664,4,7
1532586826,2,9
1532588143,8,3
1532589266,4,4
1532590866,19,9
1532592622,2,7
1532593944,5,8
1532595383,4,0
1532596466,4,10
1532597632,2,11
1532598988,5,7
1532600060,5,10
1532601339,4,9
1532602758,4,14
1532604029,6,1
1532604500,3,1
1532605350,3,13
1532607035,1,5
1532608245,4,7
1532609787,5,4
1532611713,3,7
1532614470,10,29
1532615302,1,0
1532616142,1,9
1532617526,4,9
1532618628,1,0
1532618907,1,0
1532620523,2,13
1532621736,6,15
1532622945,6,20
1532624412,4,19
1532625636,2,1
1532626866,0,6
1532628862,2,1
1532629719,3,0
1532631328,2,6
1532633638,9,13
1532635336,1,3
1532636073,2,0
1532636907,1,0
1532639127,2,4
1532641258,3,2
1532642187,0,1
1532644109,2,4
1532645389,1,2
1532646634,2,4
1532647838,2,5
1532649038,3,0
1532650469,2,3
1532651305,4,0
1532652943,2,3
1532654074,5,3
1532655934,9,2
1532657436,8,7
1532658648,5,9
1532660129,7,0
1532661339,5,0
1532662106,3,0
1532663796,5,3
1532665706,8,2
1532666559,3,1
1532667934,7,1
1532669303,3,1
1532670994,10,3
1532672061,5,2
1532672900,3,0
1532674585,9,4
1532675660,7,0
1532676893,2,9
1532678080,5,0
1532679337,7,5
1532680832,8,7
1532682329,5,4
1532682870,1,0
1532684546,4,6
1532686233,5,1
1532686475,1,1
1532687752,2,4
1532689533,18,2
1532690901,7,0
1532692593,8,3
1532693661,0,2
1532694499,2,0
1532696180,5,2
1532697261,2,0
1532698865,10,5
1532700875,3,5
1532702551,5,6
1532704470,13,4
1532705668,9,5
1532706989,4,4
1532708131,6,2
1532708910,9,0
1532710582,5,6
1532712509,4,5
1532713340,0,10
1532714990,2,5
1532716114,1,1
1532717781,2,15
1532718936,1,2
1532720426,4,1
1532722461,6,2
1532723307,1,0
1532724154,0,5
1532726069,10,3
1532726908,3,0
1532728164,2,11
1532729661,2,1
1532731266,9,7
1532732183,2,0
1532733345,2,6
1532734956,1,5
1532735787,1,0
1532736870,0,5
1532738122,4,9
1532739395,4,0
1532740466,1,5
1532741957,2,3
1532743835,3,4
1532746226,0,6
1532747432,3,8
1532748504,1,0
1532750132,2,12
1532751336,4,6
1532752118,1,0
1532752958,2,3
1532754343,2,1
1532756557,1,4
1532757385,2,0
1532758472,1,3
1532760141,6,7
1532762059,7,17
1532763424,1,3
1532765055,2,6
1532766926,4,4
1532768727,2,8
1532769274,1,1
1532770523,6,7
1532772870,3,7
1532774541,1,13
1532775382,1,0
1532776532,1,1
1532778063,2,7
1532778989,5,1
1532780063,5,3
1532781688,0,8
1532783661,1,6
1532784930,2,6
1532786125,2,0
1532787267,2,3
1532788950,2,2
1532789790,0,1
1532790932,3,2
1532792136,0,11
1532793324,10,3
1532793660,1,2
1532795318,3,1
1532796571,1,1
1532797833,2,3
1532799036,7,2
1532800229,7,1
1532801660,5,3
1532803352,7,4
1532805261,5,2
1532806834,11,4
1532807789,2,0
1532808935,2,2
1532810164,4,3
1532811935,5,0
1532812465,1,0
1532813314,1,0
1532814148,0,3
1532815838,5,4
1532816072,1,0
1532816901,3,1
1532818583,6,2
1532819667,6,3
1532820508,3,0
1532822135,5,5
1532824108,5,6
1532825715,5,7
1532826882,2,5
1532828122,0,7
1532829393,2,0
1532830537,6,5
1532831307,2,0
1532832985,10,9
1532834070,9,7
1532835769,8,8
1532837669,13,8
1532839271,9,7
1532840185,7,0
1532841267,2,14
1532842536,2,7
1532843732,4,2
1532844867,1,10
1532845704,2,1
1532847387,4,6
1532848468,1,5
1532850154,2,11
1532850989,2,1
1532852133,4,7
1532853667,6,5
1532855667,9,3
1532856501,4,0
1532857348,6,4
1532859266,7,9
1532860949,0,16
1532862860,2,3
1532864133,4,0
1532865328,1,1
1532866529,3,9
1532868342,0,10
1532870061,4,3
1532871328,1,2
1532872582,3,0
1532873669,5,6
1532875266,5,21
1532876182,8,0
1532877262,4,5
1532878523,15,12
1532879790,1,2
1532880860,9,4
1532881708,1,1
1532882550,3,2
1532883749,4,2
1532885132,45,0
1532886155,3,4
1532888071,23,2
1532889757,7,4
1532891128,6,2
1532892507,5,1
1532894189,2,2
1532895267,1,2
1532896522,8,7
1532898356,9,5
1532899707,8,0
1532901336,5,24
1532902478,27,5
1532904070,28,1
1532904995,2,0
1532906077,2,1
1532907762,5,0
1532909436,0,3
1532910823,4,4
1532912260,4,1
1532913262,1,0
1532914956,2,2
1532915784,2,0
1532916872,0,1
1532918129,4,1
1532918546,2,1
1532919942,1,0
1532920478,3,0
1532921322,2,0
1532922933,4,5
1532924064,4,0
1532925636,7,3
1532927134,5,1
1532928503,5,0
1532929356,2,7
1532930635,4,4
1532932114,4,1
1532933735,8,2
1532934861,2,3
1532936462,1,5
1532937392,2,0
1532938469,2,1
1532939729,5,5
1532941419,7,11
1532944588,2,3
1532945675,2,1
1532946926,2,1
1532947359,3,0
1532948728,4,2
