DateTime,Entries,UniqueIPs
1532434466,8920,8920
1532436156,8928,8928
1532436997,8931,8931
1532438061,8934,8934
1532439326,8936,8936
1532441661,8957,8957
1532443351,8969,8969
1532444733,8970,8970
1532446102,8979,8979
1532447427,8977,8977
1532448532,8978,8978
1532449839,8982,8982
1532451392,8990,8990
1532452536,8996,8996
1532454033,9006,9006
1532456070,9013,9013
1532457334,9007,9007
1532458860,9007,9007
1532460510,9012,9012
1532461663,9012,9012
1532463275,9013,9013
1532464107,9012,9012
1532464952,9010,9010
1532466210,9007,9007
1532467835,9002,9002
1532468550,9001,9001
1532470468,9001,9001
1532472327,8997,8997
1532473543,8996,8996
1532475750,8996,8996
1532477670,8998,8998
1532478517,9000,9000
1532479828,8998,8998
1532481274,9000,9000
1532483734,9003,9003
1532484933,9002,9002
1532486553,9001,9001
1532488471,9010,9010
1532490152,9013,9013
1532491833,9012,9012
1532493743,9011,9011
1532495669,9012,9012
1532497354,9007,9007
1532499267,9008,9008
1532500946,9000,9000
1532501787,9001,9001
1532502865,8999,8999
1532503706,9000,9000
1532505381,9000,9000
1532506471,8999,8999
1532507727,9001,9001
1532509531,9000,9000
1532510065,9001,9001
1532511743,9001,9001
1532513435,8998,8998
1532514641,8999,8999
1532517336,8994,8994
1532518690,8992,8992
1532520412,8990,8990
1532522448,8993,8993
1532524834,8993,8993
1532526161,8984,8984
1532528060,8976,8976
1532528917,8978,8978
1532530343,8976,8976
1532531728,8972,8972
1532533341,8968,8968
1532534193,8969,8969
1532536106,8964,8964
1532536959,8955,8955
1532538866,8951,8951
1532540547,8948,8948
1532541821,8949,8949
1532543132,8955,8955
1532546805,8955,8955
1532547942,8950,8950
1532549162,8951,8951
1532550647,8946,8946
1532552183,8948,8948
1532553335,8948,8948
1532554535,8924,8924
1532555787,8926,8926
1532557713,8928,8928
1532559589,8925,8925
1532560470,8928,8928
1532562144,8933,8933
1532564064,8941,8941
1532565760,8936,8936
1532566595,8937,8937
1532567740,8937,8937
1532568501,8943,8943
1532570184,8938,8938
1532571339,8934,8934
1532572956,8930,8930
1532573787,8932,8932
1532574867,8932,8932
1532577046,8934,8934
1532578474,8939,8939
1532579311,8943,8943
1532580993,8925,8925
1532582072,8917,8917
1532583747,8910,8910
1532585664,8907,8907
1532586826,8900,8900
1532588143,8905,8905
1532589266,8905,8905
1532590866,8915,8915
1532592622,8910,8910
1532593944,8907,8907
1532595383,8911,8911
1532596466,8905,8905
1532597632,8896,8896
1532598988,8894,8894
1532600060,8889,8889
1532601339,8884,8884
1532602758,8874,8874
1532604029,8879,8879
1532604500,8881,8881
1532605350,8871,8871
1532607035,8867,8867
1532608245,8864,8864
1532609787,8865,8865
1532611713,8861,8861
1532614470,8842,8842
1532615302,8843,8843
1532616142,8835,8835
1532617526,8830,8830
1532618628,8831,8831
1532618907,8832,8832
1532620523,8821,8821
1532621736,8812,8812
1532622945,8798,8798
1532624412,8783,8783
1532625636,8784,8784
1532626866,8778,8778
1532628862,8779,8779
1532629719,8782,8782
1532631328,8778,8778
1532633638,8774,8774
1532635336,8772,8772
1532636073,8774,8774
1532636907,8775,8775
1532639127,8773,8773
1532641258,8774,8774
1532642187,8773,8773
1532644109,8771,8771
1532645389,8770,8770
1532646634,8768,8768
1532647838,8765,8765
1532649038,8768,8768
1532650469,8767,8767
1532651305,8771,8771
1532652943,8770,8770
1532654074,8772,8772
1532655934,8779,8779
1532657436,8780,8780
1532658648,8776,8776
1532660129,8783,8783
1532661339,8788,8788
1532662106,8791,8791
1532663796,8793,8793
1532665706,8799,8799
1532666559,8801,8801
1532667934,8807,8807
1532669303,8809,8809
1532670994,8816,8816
1532672061,8819,8819
1532672900,8822,8822
1532674585,8827,8827
1532675660,8834,8834
1532676893,8827,8827
1532678080,8832,8832
1532679337,8834,8834
1532680832,8835,8835
1532682329,8836,8836
1532682870,8837,8837
1532684546,8835,8835
1532686233,8839,8839
