DateTime,AddedIPs,RemovedIPs
1532296603,1,0
1532297745,1,42
1532299360,1,15
1532301272,17,36
1532302962,13,7
1532304635,3,0
1532305727,2,0
1532307168,1,2
1532308538,1,0
1532311642,2,1
1532312090,1,0
1532312932,1,0
1532314240,4,6
1532315459,2,2
1532316701,3,1
1532318200,1,0
1532319633,0,1
1532320823,2,0
1532322360,6,0
1532323534,4,0
1532325393,2,0
1532326466,3,0
1532329163,1,0
1532331676,2,0
1532336512,10,1
1532337643,2,0
1532338961,0,1
1532340256,1,0
1532341856,2,0
1532344478,2,1
1532346148,1,0
1532346996,1,0
1532348907,21,0
1532351136,1,0
1532351683,1,0
1532353354,47,1
1532355046,3,1
1532356953,3,1
1532359714,1,0
1532361403,2,3
1532362467,4,0
1532363307,23,0
1532366075,3,1
1532369674,5,0
1532373271,3,0
1532374962,4,0
1532376631,33,0
1532379936,2,0
1532381055,3,0
1532383854,4,80
1532385070,6,20
1532387139,8,38
1532387683,3,0
1532388522,7,0
1532389349,11,8
1532390830,15,1
1532392949,13,0
1532393789,1,0
1532395717,2,0
1532397342,2,1
1532400171,3,1
1532401548,0,2
1532402080,4,0
1532403338,0,3
1532405101,3,0
1532405685,2,0
1532407293,1,0
1532408750,2,0
1532410112,2,0
1532411791,7,0
1532412884,2,0
1532414556,0,1
1532415400,7,0
1532416540,1,0
1532418150,3,0
1532420917,3,1
1532422846,1,0
1532424043,2,0
1532425267,2,0
1532427031,1,0
1532428354,0,1
1532429718,3,0
1532430883,1,0
1532434472,2,1
1532436162,10,2
1532437003,16,0
1532438067,0,1
1532439336,2,1
1532441667,2,0
1532443357,3,2
1532444740,1,1
1532446108,2,0
1532447433,0,16
1532451402,1,1
1532452543,3,0
1532455592,1,0
1532457341,6,1
1532459118,3,0
1532460517,1,0
1532461670,2,0
1532463281,1,0
1532466224,4,1
1532467843,6,14
1532468556,0,33
1532470474,2,9
1532472336,8,28
1532473550,5,2
1532475761,4,2
1532477676,17,2
1532479834,1,1
1532481280,2,0
1532483741,3,5
1532484943,1,3
1532486560,2,4
1532487951,2,0
1532488478,1,1
1532490159,3,1
1532491839,5,0
1532493750,3,0
1532495676,2,0
1532496530,2,0
1532499274,4,0
1532500124,4,0
1532501793,3,0
1532502871,4,0
1532503713,1,0
1532505388,1,0
1532507733,0,9
1532509538,2,0
1532511750,3,0
1532513441,8,0
1532514648,2,1
1532516197,2,0
1532517344,2,0
1532518700,2,0
1532522455,4,0
1532523924,7,46
1532528067,2,0
1532530350,3,0
1532531735,1,0
1532533347,3,3
1532536113,4,0
1532536970,2,0
1532538873,6,0
1532540553,2,0
1532541827,0,1
1532543139,4,0
1532546816,8,0
1532547949,1,0
1532549187,3,1
1532552189,2,0
1532553342,2,0
1532554543,0,7
1532555794,1,13
1532557723,1,79
1532559601,15,48
1532560477,4,0
1532562150,10,13
1532564071,11,2
1532565767,0,2
1532566602,1,0
1532567747,1,1
1532568508,2,0
1532570191,47,2
1532571346,1,2
1532572966,4,3
1532573794,1,0
1532574874,2,2
1532575728,3,0
1532577053,0,2
1532578480,1,0
1532579319,6,0
1532580999,4,0
1532582078,0,1
1532583754,1,0
1532585672,2,0
1532588150,2,0
1532590892,1,0
1532592631,2,0
1532595389,1,0
1532596473,2,0
1532597638,1,0
1532598995,2,1
1532602768,27,0
1532604037,1,0
1532605356,0,1
1532607041,0,1
1532608253,3,0
1532609794,2,0
1532614477,4,2
1532616147,4,0
1532618634,1,0
1532618914,1,0
1532620529,2,2
1532621742,4,0
1532622951,3,0
1532624456,3,0
1532626872,0,6
1532628869,1,0
1532631335,1,2
1532633661,5,0
1532636080,9,3
1532639134,1,3
1532641274,0,22
1532644115,1,41
1532645403,2,6
1532646640,1,47
1532647852,4,5
1532649044,8,0
1532650476,4,0
1532651315,3,0
1532652949,2,2
1532654081,0,4
1532655942,1,3
1532657443,1,0
1532658661,1,4
1532661346,1,3
1532662117,1,0
1532663803,5,1
1532665713,1,0
1532666566,2,0
1532667941,3,0
1532671000,7,0
1532674592,3,0
