DateTime,AddedIPs,RemovedIPs
1532434477,11,1
1532436167,11,3
1532437009,3,0
1532438073,5,4
1532439343,7,3
1532441673,20,1
1532443363,13,3
1532444745,5,3
1532446114,9,0
1532447438,7,6
1532448566,4,4
1532449862,4,1
1532451407,6,1
1532452549,8,2
1532454047,11,4
1532455597,10,2
1532456082,1,0
1532457347,0,6
1532459123,3,2
1532460523,4,0
1532461681,7,5
1532463286,3,2
1532464121,0,1
1532464964,1,3
1532466234,1,3
1532467849,1,6
1532468561,0,1
1532470480,1,1
1532472342,2,6
1532473556,0,1
1532475766,1,1
1532477682,3,4
1532478533,1,0
1532479840,1,3
1532481285,1,0
1532483747,4,1
1532484953,1,2
1532486565,5,6
1532487958,9,4
1532488484,2,0
1532490164,5,2
1532491844,1,2
1532492930,2,0
1532493756,1,4
1532495682,2,2
1532497366,0,5
1532499279,2,1
1532501798,2,8
1532502876,1,4
1532503720,1,0
1532505394,2,2
1532506482,3,2
1532507739,4,2
1532509544,2,4
1532510076,1,0
1532511756,6,5
1532513445,0,4
1532514661,5,5
1532517350,0,4
1532518705,1,3
1532520441,3,4
1532522460,3,1
1532523930,1,3
1532525123,1,0
1532526172,0,9
1532528072,2,8
1532528933,1,0
1532530355,6,9
1532531740,0,5
1532533352,1,8
1532534204,1,0
1532536121,2,9
1532536980,4,13
1532538879,2,6
1532540558,4,7
1532541838,5,5
1532543143,4,0
1532546821,16,15
1532547957,0,7
1532549201,2,1
1532550670,1,7
1532552194,1,0
1532553350,2,2
1532554549,2,26
1532555800,2,1
1532557729,3,0
1532559646,2,4
1532560483,1,0
1532562156,8,3
1532563849,9,1
1532564077,1,0
1532565773,2,6
1532566608,2,1
1532567752,5,4
1532568514,4,0
1532570198,2,6
1532571352,2,6
1532572977,1,3
1532573801,2,0
1532574879,3,3
1532577088,9,6
1532578486,7,4
1532579325,2,0
1532581006,3,18
1532582084,0,8
1532583760,1,9
1532585449,4,7
1532585679,0,1
1532586842,2,9
1532588155,6,3
1532589277,4,3
1532590901,19,9
1532592637,1,5
1532593958,5,5
1532595395,4,0
1532596478,3,10
1532597650,2,8
1532599001,4,6
1532600071,5,9
1532601350,4,9
1532602780,4,11
1532604042,6,1
1532604512,3,0
1532605361,3,12
