DateTime,Entries,UniqueIPs
1532434477,605,605
1532436167,613,613
1532437009,616,616
1532438073,617,617
1532439343,621,621
1532441673,640,640
1532443363,650,650
1532444745,652,652
1532446114,661,661
1532447438,662,662
1532448566,662,662
1532449862,665,665
1532451407,670,670
1532452549,676,676
1532454047,683,683
1532455597,691,691
1532456082,692,692
1532457347,686,686
1532459123,687,687
1532460523,691,691
1532461681,693,693
1532463286,694,694
1532464121,693,693
1532464964,691,691
1532466234,689,689
1532467849,684,684
1532468561,683,683
1532470480,683,683
1532472342,679,679
1532473556,678,678
1532475766,678,678
1532477682,677,677
1532478533,678,678
1532479840,676,676
1532481285,677,677
1532483747,680,680
1532484953,679,679
1532486565,678,678
1532487958,683,683
1532488484,685,685
1532490164,688,688
1532491844,687,687
1532492930,689,689
1532493756,686,686
1532495682,686,686
1532497366,681,681
1532499279,682,682
1532501798,676,676
1532502876,673,673
1532503720,674,674
1532505394,674,674
1532506482,675,675
1532507739,677,677
1532509544,675,675
1532510076,676,676
1532511756,677,677
1532513445,673,673
1532514661,673,673
1532517350,669,669
1532518705,667,667
1532520441,666,666
1532522460,668,668
1532523930,666,666
1532525123,667,667
1532526172,658,658
1532528072,652,652
1532528933,653,653
1532530355,650,650
1532531740,645,645
1532533352,638,638
1532534204,639,639
1532536121,632,632
1532536980,623,623
1532538879,619,619
1532540558,616,616
1532541838,616,616
1532543143,620,620
1532546821,621,621
1532547957,614,614
1532549201,615,615
1532550670,609,609
1532552194,610,610
1532553350,610,610
1532554549,586,586
1532555800,587,587
1532557729,590,590
1532559646,588,588
1532560483,589,589
1532562156,594,594
1532563849,602,602
1532564077,603,603
1532565773,599,599
1532566608,600,600
1532567752,601,601
1532568514,605,605
1532570198,601,601
1532571352,597,597
1532572977,595,595
1532573801,597,597
1532574879,597,597
1532577088,600,600
1532578486,603,603
1532579325,605,605
1532581006,590,590
1532582084,582,582
1532583760,574,574
1532585449,571,571
1532585679,570,570
1532586842,563,563
1532588155,566,566
1532589277,567,567
1532590901,577,577
1532592637,573,573
1532593958,573,573
1532595395,577,577
1532596478,570,570
1532597650,564,564
1532599001,562,562
1532600071,558,558
1532601350,553,553
1532602780,546,546
1532604042,551,551
1532604512,554,554
