DateTime,AddedIPs,RemovedIPs
1532464086,62,0
1532464928,32,64
1532466173,42,67
1532467809,62,86
1532468532,30,56
1532470446,77,66
1532472307,80,144
1532473514,32,46
1532474712,67,0
1532475733,55,173
1532477652,208,86
1532478486,42,0
1532479812,161,156
1532481246,108,77
1532483711,122,175
1532484908,46,86
1532486528,451,127
1532488448,97,142
1532490127,110,139
1532491806,83,220
1532493727,96,208
1532495647,113,93
1532496494,37,1
1532497325,59,174
1532499246,120,93
1532500086,68,0
1532500926,66,224
1532501767,52,1
1532502850,77,82
1532503686,65,0
1532505365,97,113
1532506446,69,123
1532507711,88,124
1532509510,140,86
1532510046,20,0
1532511726,113,155
1532513409,121,80
1532514613,95,122
1532516173,122,1
1532517310,71,121
1532518668,71,111
1532520393,82,133
1532522430,182,102
1532523646,110,215
1532524806,99,0
1532526132,97,169
1532528045,101,106
1532528892,46,0
1532530328,85,184
1532531706,94,70
1532533326,111,130
1532534166,119,0
1532536086,94,132
1532536927,54,138
1532538846,177,103
1532540527,135,122
1532541800,114,121
1532543116,117,0
1532546789,229,320
1532547913,60,184
1532549130,63,99
1532550617,97,118
1532552166,109,0
1532553306,67,73
1532554512,62,108
1532555767,64,37
1532557686,52,146
1532559568,57,233
1532560447,47,10
1532562127,72,126
1532564046,79,76
1532565727,102,99
1532566566,50,1
1532567715,62,101
1532568486,49,0
1532570167,131,116
1532571307,83,124
1532572929,72,116
1532573767,41,0
1532574847,53,63
1532575695,40,1
1532577026,54,144
1532578447,81,81
1532579286,37,0
1532580967,60,178
1532582047,41,76
1532583729,93,125
1532585646,133,137
1532586803,75,87
1532588127,121,72
1532589246,87,107
1532590812,122,119
1532592048,56,104
1532593209,116,0
1532594706,110,117
1532595366,76,0
1532596445,50,114
1532597617,49,127
1532598966,65,57
1532600046,76,103
1532601323,64,88
1532602737,85,165
1532604005,109,12
1532604485,19,3
1532605326,66,201
1532607014,101,99
1532608221,58,144
1532609772,143,51
1532610847,128,121
1532611685,94,0
1532614446,152,315
1532615286,27,0
1532616127,51,134
1532617507,142,79
1532618613,69,0
1532618886,19,0
1532620507,92,98
1532621711,97,103
1532622906,104,140
1532624376,173,180
1532625614,104,5
1532626814,69,117
1532628846,142,70
1532629687,40,0
1532631311,150,88
1532633622,102,292
1532634126,21,25
1532635314,71,62
1532636052,27,1
1532636886,35,0
