DateTime,AddedIPs,RemovedIPs
1532439335,5,3
1532441666,2,5
1532443356,4,2
1532444739,4,2
1532446107,3,0
1532447431,0,3
1532448541,1,5
1532449844,3,2
1532451401,5,2
1532452542,3,1
1532454040,3,3
1532455581,4,3
1532456076,1,0
1532457339,4,1
1532459109,8,2
1532460515,3,0
1532461668,3,5
1532463280,5,3
1532464112,4,0
1532464957,4,2
1532466219,2,3
1532467841,1,3
1532470473,2,2
1532472335,1,1
1532473549,2,5
1532474734,3,0
1532475760,2,12
1532477675,5,10
1532478523,1,0
1532479833,6,9
1532481279,3,7
1532483740,5,16
1532484940,5,9
1532486559,55,7
1532487950,1,7
1532488477,1,0
1532490157,7,7
1532491838,11,5
1532493749,3,4
1532495675,8,3
1532496527,5,0
1532497360,8,7
1532499272,6,8
1532500120,3,0
1532500951,5,9
1532501792,1,0
1532502870,2,4
1532503712,5,0
1532505387,7,7
1532506476,4,6
1532507732,3,9
1532509536,7,8
1532510071,4,1
1532511749,6,10
1532513440,3,2
1532514646,3,5
1532516196,4,0
1532517343,2,6
1532518699,3,4
1532520420,1,7
1532522453,10,3
1532523914,7,5
1532525116,8,0
1532526166,1,4
1532528065,2,5
1532528923,1,0
1532530349,4,1
1532531733,4,2
1532533346,4,3
1532534198,2,0
1532536112,2,2
1532536969,1,5
1532538872,2,1
1532540552,3,3
1532541826,3,1
1532543137,2,0
1532546815,6,4
1532547948,2,1
1532549168,3,3
1532550656,0,1
1532552188,1,0
1532553341,0,1
1532554541,3,2
1532555793,8,1
1532557721,1,2
1532559599,2,13
1532560475,1,1
1532562149,4,5
1532564070,2,6
1532565766,5,7
1532566601,4,0
1532567745,3,10
1532568507,1,0
1532570190,10,5
1532571345,5,11
1532572964,7,9
1532573793,5,0
1532574872,2,5
1532575725,2,0
1532577051,3,13
1532578479,4,4
1532579316,2,0
1532580998,8,9
1532582077,6,3
1532583753,3,10
1532585670,6,6
1532586834,5,9
1532588149,3,1
1532589271,3,1
1532590876,9,11
1532592630,5,3
1532593950,7,10
1532595388,7,0
1532596472,6,6
1532597637,5,8
1532598994,4,5
1532600065,5,4
1532601344,5,3
1532602764,3,6
1532604036,3,0
1532604505,1,1
1532605355,0,7
1532607040,8,4
1532608252,4,5
1532609793,5,2
1532611719,6,0
1532614475,7,6
1532615307,1,0
1532616146,3,2
1532617531,2,1
1532618633,1,0
1532618912,3,0
1532620528,7,4
1532621741,6,3
1532622950,0,4
1532624451,2,5
1532625641,2,0
1532626871,3,7
1532628867,2,6
1532629726,1,0
1532631334,5,5
1532633650,3,12
1532634147,2,6
1532636079,2,4
1532636913,2,0
1532639133,0,6
1532639683,1,0
1532641267,1,1
1532642192,5,0
1532644114,5,1
1532645400,4,4
1532646639,5,6
1532647846,3,3
1532649043,6,0
1532650474,4,10
1532651311,2,0
1532652948,6,0
1532654079,5,4
1532655940,2,33
1532657442,3,4
1532658654,8,4
1532660135,3,3
1532661345,2,5
1532662112,4,0
1532663802,9,6
1532665712,11,10
1532666565,4,8
1532667940,2,8
1532669308,2,0
1532670999,3,10
1532672066,6,4
1532672906,6,0
1532674590,6,12
1532675664,4,5
1532676898,7,9
1532678084,9,1
1532679342,5,8
1532680837,6,10
1532682334,4,6
1532682875,6,0
1532684551,4,7
1532686238,8,3
1532687758,3,2
1532689538,4,4
1532690906,4,0
1532692598,2,9
1532693666,3,5
1532694503,2,0
1532696185,7,7
1532697266,3,2
1532698869,7,2
1532700880,3,5
1532702555,3,3
1532703823,4,4
1532704475,1,0
1532705675,2,5
1532706994,3,1
1532708137,5,2
1532708915,1,0
1532710590,2,0
1532712514,3,3
1532713346,1,5
1532714996,1,2
1532716120,1,0
1532717791,1,5
1532718941,3,2
1532720431,1,47
1532722466,4,3
1532724160,1,3
1532726075,1,10
1532728171,1,4
1532729666,1,0
1532731274,2,4
1532732188,4,0
1532733351,4,3
1532734964,4,2
1532735792,3,0
1532736876,5,6
1532738127,4,5
1532739400,6,0
1532740471,2,9
1532741973,8,10
1532743841,6,10
1532745041,7,5
1532746232,5,1
1532747438,3,4
1532748510,3,0
1532750138,6,4
1532751341,5,11
1532752126,2,0
1532752962,2,9
1532754348,9,3
1532754869,1,0
1532756562,3,6
1532757392,3,0
1532758478,2,2
1532760146,6,8
1532762064,4,3
1532763428,3,6
1532765063,4,4
1532765675,1,1
1532766933,6,8
1532768733,9,6
1532769279,3,0
1532770529,6,9
1532772875,14,4
1532773711,3,0
1532774545,2,6
1532775388,5,1
1532776539,3,4
1532778074,3,3
1532778994,3,0
1532780068,5,3
1532781693,1,3
1532783665,3,4
1532784935,4,4
1532786129,2,0
1532787272,1,3
1532788956,1,0
1532789795,2,1
1532790939,2,13
1532792142,1,4
1532793330,1,1
1532794510,2,1
1532796576,2,7
1532797837,2,2
1532799041,2,4
1532800235,1,0
1532801665,1,7
1532803357,0,3
1532805266,3,2
1532806840,0,4
1532807794,1,0
1532810173,1,3
1532811939,1,7
1532814152,0,6
1532816078,2,10
1532816907,1,0
1532818588,3,9
1532819672,0,1
1532822144,3,4
1532824113,0,9
1532825724,3,3
1532826887,1,4
1532828127,0,7
1532829400,1,0
1532830543,2,3
1532832992,4,8
1532834080,1,8
1532835777,5,12
1532837249,0,4
1532839278,5,7
1532840190,0,1
1532841272,0,5
1532842542,3,9
1532843744,1,2
1532845710,1,2
1532847391,3,6
1532848472,2,10
1532850160,3,10
1532850995,1,0
1532852138,4,5
1532853674,5,11
1532855672,4,4
1532856507,4,0
1532857356,2,7
1532859270,7,4
1532860117,1,0
1532860958,0,6
1532862865,5,2
1532864140,1,3
1532865333,3,0
1532866534,0,4
1532868347,2,7
1532870067,5,2
1532871333,2,5
1532872591,4,0
1532873674,6,3
1532876187,10,5
1532877266,1,2
1532878529,10,3
1532879795,2,0
1532880865,2,2
1532881715,3,0
1532882555,1,2
1532883758,3,2
1532885139,7,0
1532886160,1,5
1532888076,3,1
1532889766,3,1
1532891132,0,2
1532894195,1,3
1532895272,0,2
1532896527,1,0
1532898362,2,2
1532899716,1,0
1532901341,8,3
1532902484,45,1
1532904075,10,9
1532905004,2,0
1532906082,3,8
1532907771,1,7
1532909441,6,11
1532910830,9,6
1532912265,9,2
1532913267,5,5
1532914962,3,7
1532915789,4,0
1532916877,7,9
1532918140,8,3
1532918551,4,1
1532919948,5,4
1532921327,7,0
1532922939,6,7
1532924070,4,11
1532925642,6,3
1532927141,6,8
1532928509,3,2
1532929361,5,5
1532930640,6,5
1532932119,6,0
1532933739,7,5
1532934867,3,5
1532936472,5,9
1532937398,3,1
1532938474,5,4
1532939734,5,6
1532941427,5,12
1532942732,4,0
1532944593,5,6
1532945679,6,9
1532946933,1,4
1532947367,0,2
1532948733,3,4
1532950118,5,0
1532952175,7,7
1532952876,53,0
1532953716,21,0
1532955150,2,8
1532956507,3,1
1532958153,4,5
1532958996,2,0
1532960919,2,4
1532962037,1,2
1532963216,2,2
1532963666,2,0
1532965266,2,1
1532967037,3,0
1532968107,2,0
1532969428,3,3
1532970644,6,2
1532971717,2,1
1532974239,4,0
1532976156,5,1
1532977403,1,0
1532978908,1,0
1532980034,0,1
1532982534,4,1
1532985281,1,2
1532986945,4,3
1532987788,3,0
1532988876,1,1
1532989708,1,0
1532991347,2,2
1532992538,0,5
1532993315,2,0
1532994994,2,1
1532996084,4,2
1532997754,9,1
1532999686,5,1
1533001357,6,4
1533002188,2,0
1533003285,7,2
1533004529,9,2
1533005746,4,2
1533006959,4,3
1533008144,5,4
1533009342,8,1
1533010475,11,1
1533012157,7,0
1533014079,9,3
1533014913,3,0
1533016586,8,2
1533017767,3,1
1533019269,2,5
1533020731,9,1
1533021867,5,0
1533023146,5,5
1533024880,9,5
1533026136,6,3
1533027338,3,0
1533028563,9,3
1533029318,3,0
1533030986,3,4
1533032151,3,0
1533033328,2,3
1533034542,2,1
