DateTime,AddedIPs,RemovedIPs
1532466219,23,23
1532467840,19,40
1532468553,9,10
1532470472,25,17
1532472331,26,52
1532473547,13,23
1532474733,27,4
1532475755,16,89
1532477674,110,50
1532478521,17,1
1532479832,41,96
1532481278,77,46
1532483738,53,96
1532484938,15,37
1532486558,282,83
1532488476,30,86
1532490156,56,71
1532491837,56,140
1532493748,60,113
1532495674,61,57
1532496524,25,1
1532497358,10,82
1532498793,56,22
1532499271,12,1
1532500119,29,1
1532500950,11,103
1532501790,18,1
1532502869,19,31
1532503710,21,5
1532505386,33,33
1532506475,22,36
1532507731,31,50
1532509535,73,38
1532510069,8,3
1532511747,22,81
1532513439,19,39
1532514645,32,34
1532516195,64,4
1532517340,32,55
1532518698,21,40
1532520419,18,53
1532522452,83,41
1532523910,78,101
1532525115,42,4
1532526165,31,58
1532528064,31,44
1532528922,15,1
1532530348,38,85
1532531732,20,23
1532533345,50,68
1532534197,86,5
1532536111,49,37
1532536965,20,44
1532538870,30,28
1532540551,38,43
1532541824,37,65
1532543136,59,1
1532546809,59,135
1532547946,27,107
1532549170,26,61
1532550654,54,76
1532552187,45,3
1532553339,32,31
1532554540,25,19
1532555792,30,13
1532557717,11,19
1532559598,13,54
1532560474,9,7
1532562148,19,42
1532564069,24,32
1532565764,17,29
1532566600,27,3
1532567744,36,34
1532568505,22,2
1532570189,34,34
1532571343,40,58
1532572962,20,39
1532573792,18,4
1532574871,21,21
1532575722,13,4
1532577050,14,58
1532578478,30,29
1532579315,11,0
1532580996,24,48
1532582076,16,39
1532583751,53,43
1532585669,66,58
1532586832,45,24
1532588147,93,44
1532589270,46,61
1532590873,53,44
1532592629,59,17
1532593949,21,61
1532595387,40,3
1532596470,17,47
1532597636,23,56
1532598992,33,19
1532600064,17,59
1532601343,24,36
1532602762,29,77
1532604034,51,11
1532604504,10,2
1532605354,46,106
1532607039,36,54
1532608249,18,66
1532609791,86,20
1532611717,144,82
1532614474,72,141
1532615306,14,3
1532616145,28,46
1532617530,103,41
1532618631,33,8
1532618911,10,2
1532620526,32,33
1532621740,35,38
1532622948,46,40
1532624449,82,111
1532625640,40,3
1532626870,24,56
1532628866,49,14
1532629724,14,7
1532631332,91,44
1532633643,40,165
1532634145,8,8
1532635348,27,27
1532636078,12,3
1532636911,13,2
1532639131,80,36
1532639682,18,28
1532641262,110,21
1532642191,27,4
1532644113,46,11
1532645399,49,31
1532646638,34,28
1532647841,43,77
1532649042,25,3
1532650473,51,59
1532651310,75,1
1532652946,48,103
1532654078,36,17
1532655938,72,172
1532657441,28,77
1532658652,14,48
1532660134,30,30
1532661343,41,39
