DateTime,Entries,UniqueIPs
1532466219,5254,5254
1532467840,5233,5233
1532468553,5232,5232
1532470472,5240,5240
1532472331,5214,5214
1532473547,5204,5204
1532474733,5227,5227
1532475755,5154,5154
1532477674,5214,5214
1532478521,5230,5230
1532479832,5175,5175
1532481278,5206,5206
1532483738,5163,5163
1532484938,5141,5141
1532486558,5340,5340
1532488476,5284,5284
1532490156,5269,5269
1532491837,5185,5185
1532493748,5132,5132
1532495674,5136,5136
1532496524,5160,5160
1532497358,5088,5088
1532498793,5122,5122
1532499271,5133,5133
1532500119,5161,5161
1532500950,5069,5069
1532501790,5086,5086
1532502869,5074,5074
1532503710,5090,5090
1532505386,5090,5090
1532506475,5076,5076
1532507731,5057,5057
1532509535,5092,5092
1532510069,5097,5097
1532511747,5038,5038
1532513439,5018,5018
1532514645,5016,5016
1532516195,5076,5076
1532517340,5053,5053
1532518698,5034,5034
1532520419,4999,4999
1532522452,5041,5041
1532523910,5018,5018
1532525115,5056,5056
1532526165,5029,5029
1532528064,5016,5016
1532528922,5030,5030
1532530348,4983,4983
1532531732,4980,4980
1532533345,4962,4962
1532534197,5043,5043
1532536111,5055,5055
1532536965,5031,5031
1532538870,5033,5033
1532540551,5028,5028
1532541824,5000,5000
1532543136,5058,5058
1532546809,4982,4982
1532547946,4902,4902
1532549170,4867,4867
1532550654,4845,4845
1532552187,4887,4887
1532553339,4888,4888
1532554540,4894,4894
1532555792,4911,4911
1532557717,4903,4903
1532559598,4862,4862
1532560474,4864,4864
1532562148,4841,4841
1532564069,4833,4833
1532565764,4821,4821
1532566600,4845,4845
1532567744,4847,4847
1532568505,4867,4867
1532570189,4867,4867
1532571343,4849,4849
1532572962,4830,4830
1532573792,4844,4844
1532574871,4844,4844
1532575722,4853,4853
1532577050,4809,4809
1532578478,4810,4810
1532579315,4821,4821
1532580996,4797,4797
1532582076,4774,4774
1532583751,4784,4784
1532585669,4792,4792
1532586832,4813,4813
1532588147,4862,4862
1532589270,4847,4847
1532590873,4856,4856
1532592629,4898,4898
1532593949,4858,4858
1532595387,4895,4895
1532596470,4865,4865
1532597636,4832,4832
1532598992,4846,4846
1532600064,4804,4804
1532601343,4792,4792
1532602762,4744,4744
1532604034,4784,4784
1532604504,4792,4792
1532605354,4732,4732
1532607039,4714,4714
1532608249,4666,4666
1532609791,4732,4732
1532611717,4794,4794
1532614474,4725,4725
1532615306,4736,4736
1532616145,4718,4718
1532617530,4780,4780
1532618631,4805,4805
1532618911,4813,4813
1532620526,4812,4812
1532621740,4809,4809
1532622948,4815,4815
1532624449,4786,4786
1532625640,4823,4823
1532626870,4791,4791
1532628866,4826,4826
1532629724,4833,4833
1532631332,4880,4880
1532633643,4755,4755
1532634145,4755,4755
1532635348,4755,4755
1532636078,4764,4764
1532636911,4775,4775
1532639131,4819,4819
1532639682,4809,4809
1532641262,4898,4898
1532642191,4921,4921
1532644113,4956,4956
1532645399,4974,4974
1532646638,4980,4980
1532647841,4946,4946
1532649042,4968,4968
1532650473,4960,4960
1532651310,5034,5034
1532652946,4979,4979
1532654078,4998,4998
1532655938,4898,4898
1532657441,4849,4849
1532658652,4815,4815
1532660134,4815,4815
1532661343,4817,4817
1532662111,4848,4848
1532663800,4817,4817
1532665711,4799,4799
1532666564,4790,4790
1532667938,4796,4796
1532669307,4858,4858
1532670998,4842,4842
1532672065,4862,4862
1532672904,4891,4891
1532674589,4955,4955
1532675663,4959,4959
1532676897,4947,4947
1532678083,4953,4953
1532679341,4908,4908
1532680836,4919,4919
1532682333,4942,4942
1532682874,4957,4957
1532684549,5014,5014
1532686237,5016,5016
1532686478,5018,5018
1532687756,5031,5031
1532689537,5079,5079
1532690905,5101,5101
1532692596,5125,5125
1532693665,5104,5104
1532694502,5127,5127
1532696184,5098,5098
1532697265,5175,5175
1532698868,5194,5194
1532700879,5224,5224
1532702554,5242,5242
1532704473,5154,5154
1532705674,5157,5157
1532706993,5177,5177
1532708136,5199,5199
1532708914,5205,5205
1532710586,5207,5207
1532712512,5234,5234
1532713344,5161,5161
1532714994,5186,5186
1532716118,5210,5210
1532717790,5246,5246
1532718940,5254,5254
1532720430,5172,5172
1532722464,5156,5156
1532723311,5171,5171
1532724157,5139,5139
1532726074,5162,5162
1532726912,5192,5192
1532728169,5212,5212
1532729665,5243,5243
1532731272,5258,5258
1532732187,5269,5269
1532733349,5280,5280
1532734962,5272,5272
1532735791,5285,5285
1532736875,5287,5287
1532738126,5322,5322
1532739399,5364,5364
1532740470,5325,5325
1532741967,5319,5319
1532743839,5362,5362
1532746231,5394,5394
1532747436,5395,5395
1532748509,5414,5414
1532750137,5421,5421
1532751340,5423,5423
1532752123,5434,5434
1532752961,5418,5418
1532754347,5447,5447
1532754868,5471,5471
1532756561,5398,5398
1532757390,5420,5420
1532758477,5397,5397
1532760144,5383,5383
1532762063,5381,5381
1532763427,5372,5372
1532765065,5403,5403
1532765674,5414,5414
1532766930,5423,5423
1532768732,5439,5439
1532769278,5455,5455
1532770528,5445,5445
1532772874,5449,5449
1532773710,5465,5465
1532774544,5416,5416
1532775386,5438,5438
1532776537,5425,5425
1532778066,5462,5462
1532778992,5490,5490
1532780067,5446,5446
1532781692,5350,5350
1532783664,5372,5372
1532784934,5366,5366
1532786128,5386,5386
1532787271,5308,5308
1532788111,5327,5327
1532788955,5299,5299
1532789794,5330,5330
1532790937,5344,5344
1532792141,5366,5366
1532793328,5383,5383
1532794834,5385,5385
1532795321,5396,5396
1532796575,5371,5371
1532797836,5369,5369
1532799039,5402,5402
1532800233,5377,5377
1532801664,5360,5360
1532803355,5362,5362
1532804186,5368,5368
1532805265,5354,5354
1532806839,5348,5348
1532807793,5373,5373
1532808938,5337,5337
1532810172,5274,5274
1532811938,5218,5218
1532812469,5225,5225
1532813317,5234,5234
1532814151,5219,5219
1532815842,5177,5177
1532816077,5182,5182
1532816906,5189,5189
1532818587,5151,5151
1532819671,5144,5144
1532820512,5149,5149
1532822143,5091,5091
1532824112,5082,5082
1532825722,5039,5039
1532826886,5029,5029
1532828126,5008,5008
1532829398,5019,5019
1532830541,5004,5004
1532831311,5029,5029
1532832991,4987,4987
1532834079,4981,4981
1532835774,4955,4955
1532837248,4946,4946
1532837673,4957,4957
1532839276,4927,4927
1532840189,4944,4944
1532841270,4920,4920
1532842541,4888,4888
1532843737,4875,4875
1532844871,4793,4793
1532845709,4809,4809
1532847390,4820,4820
1532848471,4802,4802
1532850158,4807,4807
1532850993,4825,4825
1532852137,4810,4810
1532853673,4775,4775
1532855671,4789,4789
1532856506,4812,4812
1532857354,4751,4751
1532859269,4732,4732
1532860116,4741,4741
1532860954,4696,4696
