DateTime,AddedIPs,RemovedIPs
1532456068,68,76
1532457332,35,74
1532458855,29,47
1532460508,46,1
1532461661,90,77
1532463273,48,47
1532464105,43,0
1532464950,12,47
1532466201,25,34
1532467831,25,43
1532468548,22,16
1532470466,38,34
1532472325,35,67
1532473537,17,19
1532474726,33,1
1532475748,21,117
1532477668,116,56
1532478510,22,0
1532479826,48,118
1532481271,84,52
1532483732,65,106
1532484930,31,50
1532486551,378,89
1532488468,45,95
1532490149,67,84
1532491831,58,161
1532493741,65,144
1532495667,70,69
1532496517,26,0
1532497349,18,117
1532499265,85,40
1532500112,53,0
1532500944,27,141
1532501781,34,1
1532502864,40,39
1532503704,46,0
1532505379,58,58
1532506469,39,60
1532507725,56,71
1532509527,98,56
1532510064,13,0
1532511741,37,111
1532513433,49,57
1532514637,39,58
1532516190,86,1
1532517334,42,88
1532518682,43,64
1532520408,36,65
1532522444,112,54
1532523659,80,114
1532524829,71,0
1532526155,67,84
1532528058,65,58
1532528915,32,0
1532530341,53,125
1532531726,43,33
1532533339,77,84
1532534187,94,0
1532536104,62,58
1532536953,34,74
1532538865,71,36
1532540545,64,67
1532541818,47,71
1532543129,73,0
1532546803,110,181
1532547937,32,128
1532549157,26,59
1532550641,60,78
1532552181,53,0
1532553328,38,49
1532554533,30,40
1532555785,35,12
1532557710,23,38
1532559587,20,85
1532560467,19,8
1532562141,24,58
1532564062,26,42
1532565757,43,48
1532566593,28,1
1532567737,42,56
1532568499,26,0
1532570182,44,62
1532571334,49,77
1532572950,38,55
1532573782,24,0
1532574864,27,32
1532575715,18,1
1532577043,21,96
1532578471,32,47
1532579308,17,0
1532580991,32,79
1532582070,17,48
1532583744,65,68
1532585662,79,92
1532586823,49,48
1532588141,97,55
1532589264,49,83
1532590864,59,90
1532592611,85,38
1532593942,29,80
1532595380,48,2
1532596465,31,72
1532597630,32,78
1532598986,35,28
1532600058,29,71
1532601336,38,52
1532602756,38,91
1532604025,68,9
1532604499,9,2
1532605348,53,135
1532607034,58,70
1532608243,22,94
1532609786,102,32
1532611707,175,101
1532614468,101,220
1532615300,22,0
1532616140,38,75
1532617524,122,46
1532618626,48,0
1532618905,10,0
1532620521,42,54
1532621731,70,57
1532622920,83,63
1532624400,116,125
1532625634,71,4
1532626864,38,63
1532628860,88,18
1532629713,23,0
1532631325,111,53
1532633636,46,192
1532634139,13,11
1532635328,30,30
1532636071,13,0
1532636905,13,1
1532639676,101,70
1532641256,109,34
1532642185,26,0
1532644106,49,23
1532646632,100,90
1532647836,45,83
1532649036,24,1
1532650467,51,64
1532651302,82,0
1532652937,55,123
1532654072,59,25
1532655930,118,265
1532657434,40,107
1532658645,25,59
1532660125,34,31
1532661334,52,47
1532662103,30,0
1532662953,15,61
1532663794,12,0
1532665703,64,78
1532666554,27,52
1532667932,52,58
1532669301,73,0
1532670992,101,127
1532672059,39,41
1532672898,40,0
1532674583,132,94
1532675658,31,38
1532676891,38,62
1532678078,34,23
1532679331,28,85
1532680829,63,45
1532682327,52,41
1532682868,21,0
1532684544,104,65
1532686469,80,91
1532687750,60,56
1532689531,97,43
1532690900,33,0
1532692591,97,89
1532693659,53,98
1532694497,32,0
1532696178,75,140
1532697259,100,37
1532698859,84,90
1532700629,87,43
1532700870,3,0
1532702549,49,67
1532704468,48,147
1532705663,53,51
1532706987,45,21
1532708127,52,40
1532708908,20,1
1532710580,69,82
1532712507,94,50
1532713339,23,122
1532714988,73,29
1532716109,32,0
1532717779,73,46
1532718932,46,48
1532720424,41,152
1532722459,47,62
1532723305,21,1
1532724152,27,73
1532726067,62,38
1532726906,35,0
1532728155,41,29
1532729659,40,12
1532731261,46,39
1532732181,18,0
1532733343,28,23
1532734951,25,57
1532735785,18,0
1532736868,43,43
1532738120,86,54
1532739389,55,0
1532740464,24,68
1532741952,59,59
1532743833,96,63
1532745027,42,48
1532746224,44,13
1532747430,31,20
1532748502,36,1
1532750130,44,39
1532751332,27,30
1532752115,16,0
1532752952,44,73
1532754861,92,29
1532756555,33,118
1532757383,26,1
1532758470,60,79
1532760138,52,72
1532762058,60,75
1532763422,55,83
1532765051,88,55
1532765665,21,0
1532766924,45,48
1532768726,67,47
1532769269,21,1
1532770521,27,61
1532772868,63,78
1532773705,20,0
1532774538,44,125
1532775380,36,0
1532776527,28,47
1532778061,104,84
1532778987,42,1
1532780061,39,90
1532781682,60,190
1532783659,81,43
1532784927,51,50
1532786123,43,1
1532787265,49,137
1532788104,27,0
1532788949,25,73
1532789788,43,1
1532790928,64,55
1532792134,66,93
1532793322,54,41
1532793658,10,91
1532795312,66,0
1532796569,52,92
1532797831,47,65
1532799032,77,41
1532800227,51,66
1532801658,43,67
1532803349,40,37
1532804180,14,1
1532805259,15,40
1532806829,32,37
1532807787,27,1
1532808929,18,64
1532810162,27,103
1532811933,15,79
1532812463,9,1
1532813309,13,0
1532814146,18,46
1532816069,28,81
1532816899,15,1
1532817750,10,74
1532818581,12,0
1532819665,23,28
1532820505,7,2
1532822130,32,95
1532824105,58,77
1532825712,53,143
1532826880,15,31
1532828120,22,58
1532829391,23,0
1532830535,25,42
1532831304,29,1
1532832984,40,77
1532834064,28,35
1532835765,42,69
1532837666,48,50
1532839265,70,119
1532840182,26,0
1532841265,31,62
1532842533,37,70
1532843731,16,34
1532844865,26,119
1532845702,20,1
1532846551,31,58
1532847385,25,0
1532848466,33,59
1532850148,47,55
1532850988,28,0
1532852131,35,72
1532853658,67,107
1532855665,59,36
1532856499,21,0
1532857343,27,112
1532859264,45,64
1532860106,19,0
1532860944,17,80
1532862858,39,75
1532864128,46,81
1532865325,36,0
1532866526,25,81
1532868341,38,170
1532870059,31,77
1532871326,35,51
1532872579,43,1
1532873667,39,58
1532875256,57,84
1532876180,58,1
1532877260,67,44
1532878520,110,66
