DateTime,Entries,UniqueIPs
1532456068,16243,16243
1532457332,16204,16204
1532458855,16186,16186
1532460508,16231,16231
1532461661,16244,16244
1532463273,16245,16245
1532464105,16288,16288
1532464950,16253,16253
1532466201,16244,16244
1532467831,16226,16226
1532468548,16232,16232
1532470466,16236,16236
1532472325,16204,16204
1532473537,16202,16202
1532474726,16234,16234
1532475748,16138,16138
1532477668,16198,16198
1532478510,16220,16220
1532479826,16150,16150
1532481271,16182,16182
1532483732,16141,16141
1532484930,16122,16122
1532486551,16411,16411
1532488468,16361,16361
1532490149,16344,16344
1532491831,16241,16241
1532493741,16162,16162
1532495667,16163,16163
1532496517,16189,16189
1532497349,16090,16090
1532499265,16135,16135
1532500112,16188,16188
1532500944,16074,16074
1532501781,16107,16107
1532502864,16108,16108
1532503704,16154,16154
1532505379,16154,16154
1532506469,16133,16133
1532507725,16118,16118
1532509527,16160,16160
1532510064,16173,16173
1532511741,16099,16099
1532513433,16091,16091
1532514637,16072,16072
1532516190,16157,16157
1532517334,16111,16111
1532518682,16090,16090
1532520408,16061,16061
1532522444,16119,16119
1532523659,16085,16085
1532524829,16156,16156
1532526155,16139,16139
1532528058,16146,16146
1532528915,16178,16178
1532530341,16106,16106
1532531726,16116,16116
1532533339,16109,16109
1532534187,16203,16203
1532536104,16207,16207
1532536953,16167,16167
1532538865,16202,16202
1532540545,16199,16199
1532541818,16175,16175
1532543129,16248,16248
1532546803,16177,16177
1532547937,16081,16081
1532549157,16048,16048
1532550641,16030,16030
1532552181,16083,16083
1532553328,16072,16072
1532554533,16062,16062
1532555785,16085,16085
1532557710,16070,16070
1532559587,16005,16005
1532560467,16016,16016
1532562141,15982,15982
1532564062,15966,15966
1532565757,15961,15961
1532566593,15988,15988
1532567737,15974,15974
1532568499,16000,16000
1532570182,15982,15982
1532571334,15954,15954
1532572950,15937,15937
1532573782,15961,15961
1532574864,15956,15956
1532575715,15973,15973
1532577043,15898,15898
1532578471,15883,15883
1532579308,15900,15900
1532580991,15853,15853
1532582070,15822,15822
1532583744,15819,15819
1532585662,15806,15806
1532586823,15807,15807
1532588141,15849,15849
1532589264,15815,15815
1532590864,15784,15784
1532592611,15831,15831
1532593942,15780,15780
