DateTime,AddedIPs,RemovedIPs
1532215709,2,0
1532217401,1,2
1532218475,1,1
1532219741,1,1
1532220937,1,0
1532222147,1,1
1532223350,1,3
1532224532,2,1
1532225745,2,0
1532227369,3,0
1532229345,2,1
1532230111,2,0
1532231798,0,2
1532234558,0,1
1532236546,1,2
1532238071,3,2
1532239400,1,1
1532241056,1,2
1532242229,1,0
1532243680,0,1
1532244509,1,1
1532245349,1,0
1532247018,1,2
1532248883,0,1
1532252316,2,4
1532254239,0,4
1532256150,1,0
1532257538,1,2
1532258908,1,1
1532261669,3,1
1532262933,0,1
1532264129,0,1
1532265282,1,2
1532266869,3,1
1532268241,2,1
1532269725,2,1
1532271039,2,2
1532272472,1,0
1532273741,1,1
1532274990,1,2
1532276078,0,2
1532278606,3,3
1532282146,1,0
1532285789,1,1
1532287724,1,0
1532289729,0,1
1532291316,1,1
1532292154,0,1
1532292993,3,0
1532296602,2,0
1532297745,0,1
1532299358,1,1
1532301271,4,2
1532302960,0,3
1532305725,3,0
1532308537,2,0
1532311629,0,1
1532312929,1,0
1532314240,0,1
1532315458,1,1
1532316693,0,2
1532317464,1,1
1532318199,1,0
1532319631,1,1
1532320815,0,2
1532322359,2,0
1532325392,2,6
1532328044,0,1
1532329162,1,0
1532330461,1,1
1532331673,0,1
1532333673,5,1
1532335359,3,1
1532336510,1,1
1532337642,1,0
1532338959,1,0
1532340249,1,2
1532341855,0,1
1532343037,3,0
1532344477,4,1
1532346147,1,1
1532346996,2,1
1532348906,1,0
1532349748,0,3
1532351135,0,1
1532351682,0,1
1532353354,1,1
1532355045,0,2
1532356952,0,1
1532362467,1,0
1532363306,1,1
1532366074,3,1
1532366920,1,0
1532369673,4,1
1532371337,0,1
1532373269,1,0
1532374961,1,1
1532379936,0,2
1532381049,1,1
1532383853,0,2
1532387138,1,0
1532387682,1,0
1532389348,1,1
1532390823,1,1
1532392948,2,2
1532395716,0,1
1532397341,1,2
1532398546,0,1
1532400170,2,4
1532401548,1,0
1532402079,0,1
1532405099,0,1
1532407288,1,1
1532408749,0,3
1532411791,2,1
1532414555,1,2
1532420915,2,0
1532422845,1,0
1532429717,0,2
1532430882,1,0
1532432464,0,1
1532434230,2,0
1532434471,1,0
1532436161,2,1
1532437003,2,1
1532438067,0,1
1532439336,0,1
1532441666,0,3
1532443357,1,2
1532446107,2,2
1532447432,0,2
1532448545,1,0
1532452542,1,0
1532456076,1,1
1532457340,1,3
1532459114,1,2
1532460516,1,1
1532463280,2,4
1532464113,0,1
1532464958,0,1
1532467842,1,0
1532468555,0,1
1532470473,1,0
1532472335,0,2
1532474735,1,0
1532475761,0,2
1532477675,1,0
1532478523,0,1
1532479833,1,2
1532481279,3,1
1532486559,1,1
1532487950,1,0
1532490158,1,1
1532491838,2,1
1532493749,1,0
1532495675,1,2
1532496529,0,1
1532499273,1,0
1532502871,1,3
1532503712,0,1
1532505387,1,0
1532507732,0,1
1532509537,0,2
1532511749,0,1
1532513440,1,0
1532514647,0,2
1532517344,1,0
1532518699,0,2
1532520421,2,1
1532522454,1,0
1532525117,1,0
1532526166,1,1
1532528066,2,1
1532528924,3,0
1532530349,1,1
1532531734,2,0
1532533347,0,2
1532534198,2,0
1532536112,0,4
1532536969,1,2
1532538872,1,1
1532540552,1,1
1532541826,1,0
1532543138,1,1
1532546815,4,1
1532549179,0,1
1532550657,2,3
1532552188,0,3
1532553341,1,0
1532554542,1,0
1532557722,4,1
1532559600,0,1
1532560476,1,0
1532562149,2,2
1532564070,2,1
1532565766,0,3
1532566601,2,0
1532567746,2,3
1532568507,0,2
1532571345,0,2
1532572965,1,1
1532573793,0,1
1532574873,1,0
1532577052,0,2
