DateTime,AddedIPs,RemovedIPs
1532458851,31,17
1532460496,16,1
1532461657,27,49
1532463262,25,15
1532464097,17,0
1532464940,14,11
1532466190,11,26
1532467824,31,23
1532468541,8,5
1532470458,34,20
1532472316,35,41
1532473527,6,18
1532474722,31,0
1532475744,26,38
1532477663,66,17
1532478499,19,1
1532479821,107,26
1532481263,19,21
1532483723,44,48
1532484920,9,22
1532486541,20,29
1532488459,35,38
1532490141,30,47
1532491826,9,52
1532493737,19,56
1532495658,30,18
1532496507,7,3
1532497340,32,44
1532499257,23,45
1532500101,8,0
1532500935,34,66
1532501776,14,0
1532502859,30,34
1532503697,13,1
1532505375,31,49
1532506458,24,54
1532507721,26,41
1532509519,34,20
1532510059,4,0
1532511737,63,30
1532513427,60,17
1532514625,47,54
1532516185,30,0
1532517322,26,24
1532518677,23,39
1532520403,45,60
1532522439,60,48
1532523655,13,49
1532524819,20,1
1532526145,26,73
1532528054,32,35
1532528903,12,3
1532530337,19,51
1532531721,48,35
1532533335,25,31
1532534177,21,1
1532536096,27,65
1532536943,13,45
1532538857,98,62
1532540537,63,46
1532541813,61,47
1532543125,34,2
1532546798,91,124
1532547925,24,49
1532549148,31,36
1532550630,36,32
1532552175,55,0
1532553316,24,22
1532554524,30,37
1532555776,19,11
1532557701,22,26
1532559582,18,83
1532560459,20,2
1532562136,29,49
1532564057,31,27
1532565745,56,35
1532566584,14,1
1532567728,14,31
1532568494,16,0
1532570177,31,41
1532571321,25,27
1532572945,23,45
1532573777,11,0
1532574859,18,21
1532575708,17,1
1532577038,28,30
1532578462,34,25
1532579299,8,1
1532580983,14,70
1532582061,17,15
1532583739,22,38
1532585656,43,34
1532586818,20,21
1532588137,12,15
1532589257,34,23
1532590856,36,51
1532592058,10,18
1532593220,50,0
1532594719,74,23
1532595375,39,0
1532596457,7,28
1532597626,9,30
1532598978,20,17
1532600054,38,18
1532601332,17,26
1532602750,16,55
1532604020,29,2
1532604494,8,1
1532605340,12,45
1532607025,32,19
1532608230,30,39
1532609781,33,20
1532610863,21,16
1532611696,20,0
1532614461,31,59
1532615295,3,0
1532616136,7,48
1532617516,13,25
1532618621,18,0
1532618896,5,0
1532620516,40,26
1532621721,11,29
1532622915,15,53
1532624388,50,31
1532625626,29,2
1532626856,30,54
1532628855,50,29
1532629702,13,0
1532631320,31,23
1532633631,42,75
1532634135,6,8
1532635323,37,23
1532636063,5,1
1532636897,21,0
1532639655,67,76
1532641220,26,41
1532642177,5,23
1532644098,20,16
1532646623,34,89
1532647832,27,54
1532649022,32,1
1532650457,14,42
1532651298,18,1
1532652924,26,38
1532654063,26,28
1532655925,33,32
1532657429,19,23
1532658637,15,31
1532660119,21,13
1532661320,18,16
1532662098,12,0
1532662948,11,20
1532663780,5,0
1532665698,25,20
1532666542,13,33
1532667923,21,50
1532669295,40,1
1532670984,24,60
1532672055,36,15
1532672894,9,0
1532674577,23,50
1532675654,18,33
1532676887,25,41
1532678073,21,16
1532679325,24,16
1532680821,22,32
1532682322,21,41
1532682861,3,1
1532684534,25,36
1532686459,14,44
1532687746,19,42
1532689520,26,53
1532690895,14,0
1532692582,38,63
1532693655,43,23
1532694493,16,0
1532696174,28,41
1532697254,9,22
1532698823,24,22
1532700624,11,25
1532700859,3,0
1532702541,25,64
1532704461,30,47
1532705652,19,38
1532706978,18,14
1532708118,13,32
1532708897,33,0
1532710575,36,37
1532712498,52,52
1532713334,18,40
1532714984,34,42
1532716098,34,1
1532717775,42,36
1532718924,37,33
1532720420,33,40
1532722455,33,45
1532723297,29,0
1532724141,11,42
1532726057,62,26
1532726896,21,0
1532728146,29,36
1532729425,39,20
1532731221,44,42
1532732177,17,8
1532733335,39,23
1532734942,29,67
1532735776,22,1
1532736859,35,27
1532738116,35,31
1532739378,17,0
1532740459,18,40
1532741947,16,34
1532743821,21,30
1532745022,10,46
1532746219,23,13
1532747419,20,34
1532748497,21,0
1532750124,31,38
1532751322,13,18
1532752103,2,0
1532752939,11,32
1532754855,16,28
1532756546,40,60
1532757378,12,0
1532758461,14,27
1532760134,37,40
1532762053,33,36
1532763418,17,84
1532765042,35,76
1532765656,4,0
1532766920,29,11
1532768718,12,44
1532769258,9,2
1532770516,17,39
1532772856,20,28
1532773697,14,1
1532774534,13,46
1532775376,16,2
1532776517,21,22
1532778022,19,165
1532778982,24,18
1532780056,36,26
1532781672,34,48
1532783655,26,17
1532784917,15,16
1532786119,19,0
1532787258,12,17
1532788097,10,2
1532788941,7,34
1532789783,15,0
1532790919,23,45
1532792126,32,25
1532793317,27,11
1532793654,4,33
1532795301,15,1
1532796559,23,69
1532797826,13,34
1532799025,15,24
1532800215,32,13
1532801653,24,21
1532803341,13,34
1532804176,14,0
1532805255,10,38
1532806820,17,40
1532807778,12,0
1532808917,15,34
1532810158,19,58
1532811921,18,22
1532812457,4,0
1532813297,6,0
1532814138,9,25
1532816060,17,29
1532816896,5,0
1532817746,7,46
1532818575,2,0
1532819657,9,37
1532820497,7,0
1532822119,17,32
1532824098,43,30
1532825702,35,40
1532826876,11,27
1532828115,12,26
1532829382,10,0
1532830522,11,32
1532831298,6,0
1532832979,6,26
1532834059,7,21
1532835747,15,40
1532837657,34,22
1532839224,10,50
1532840177,13,10
1532841256,23,18
1532842522,17,43
1532843717,12,3
1532844856,24,22
1532845697,6,0
1532846542,5,37
1532847376,3,0
1532848458,20,35
1532850137,7,52
1532850980,3,0
1532852122,19,32
1532853622,49,31
1532855657,52,14
1532856495,20,0
1532857338,11,35
1532859256,22,24
1532860096,22,0
1532860938,11,39
1532862854,23,33
1532864117,16,53
1532865317,13,0
1532866517,11,36
1532868336,17,46
1532870055,32,16
1532871318,22,15
1532872575,23,0
1532873659,13,31
1532875220,38,35
1532876175,18,14
1532877255,26,14
1532878515,30,25
1532879783,13,15
1532880854,27,19
1532881697,10,0
1532882544,11,70
1532883733,17,19
1532885121,62,2
1532886139,21,46
1532888061,63,27
1532889745,37,50
1532891118,25,23
1532892497,29,2
1532894179,25,44
1532895260,20,22
1532896516,59,16
1532898340,38,28
1532899698,34,0
1532901321,81,24
1532902468,251,18
1532904063,72,60
1532904977,25,2
1532906062,13,31
1532906901,7,0
1532907739,13,50
1532909422,22,24
1532910816,15,17
1532912253,31,13
1532913256,32,17
1532914938,15,17
1532915777,12,2
1532916860,16,42
1532918538,19,46
1532920463,20,33
1532921307,10,2
1532922921,32,36
1532924057,19,9
1532925625,18,24
1532927117,20,57
1532929343,25,44
1532930623,143,18
1532932099,36,1
1532933718,26,28
1532934854,15,29
1532936422,36,29
1532937378,4,19
1532938458,19,16
1532939720,18,50
1532941402,27,45
1532942715,33,0
1532943739,17,56
1532944579,11,1
1532945660,11,37
1532947344,16,32
1532948717,19,38
1532950099,14,2
1532952056,18,60
1532952861,4,0
1532953703,11,4
1532955122,19,41
1532956222,28,22
1532958138,37,33
1532958980,9,2
1532960902,28,22
1532962025,24,42
1532963203,18,65
1532963655,6,1
1532965222,19,23
1532967022,24,26
1532968096,19,0
1532969416,26,22
1532970619,53,48
1532971701,86,0
1532974224,100,24
1532976144,70,17
1532977386,36,15
1532978896,41,2
1532980016,44,18
1532982511,52,19
1532983338,9,59
1532985270,38,5
1532986934,43,17
1532987776,6,1
1532988860,15,3
1532989695,9,0
1532991323,17,11
1532992519,17,16
1532993297,5,0
1532994976,16,44
1532996064,25,26
1532997740,16,17
1532999670,33,4
1533001340,36,18
1533002176,7,2
1533003268,13,3
1533004510,16,19
1533005727,30,4
1533006927,11,17
1533008120,6,27
1533010458,31,14
1533012139,26,33
1533014063,21,28
1533014896,6,0
1533015739,5,31
1533016574,19,2
1533017727,13,7
1533019258,19,27
1533020719,41,12
1533021837,11,3
1533023122,11,67
1533024860,40,14
1533026117,21,39
1533027318,18,1
1533028549,15,14
1533029296,25,0
1533030974,71,30
1533032130,38,9
1533033314,75,10
1533034522,46,5
1533035674,20,15
1533036501,22,1
1533038176,29,8
1533039322,23,23
1533040934,25,31
1533041776,14,0
1533043698,39,17
1533045376,43,26
1533046517,13,36
1533048022,23,39
1533048986,13,10
1533050054,19,17
1533051736,19,35
1533053656,24,14
1533054494,21,1
1533056121,24,60
1533057317,23,61
1533058936,14,49
1533059773,23,1
1533060924,27,18
1533061697,16,0
1533064457,86,71
1533066984,1796,47
1533068116,32,22
1533069736,52,44
1533070583,16,1
1533071658,15,96
1533072793,30,443
1533075023,42,59
1533076236,36,14
1533078858,91,22
1533080084,16,22
1533081378,11,4
1533082524,20,47
1533083298,19,0
1533084142,16,46
1533084980,12,1
1533086899,27,16
1533089658,73,42
1533090499,10,0
1533092126,24,29
1533093259,17,23
1533094939,60,31
1533096624,33,18
1533098431,21,18
1533099925,20,26
1533100467,5,0
1533101295,13,0
1533102540,22,36
1533103684,4,32
1533104055,9,1
1533105176,10,23
1533107661,120,15
1533108496,47,1
1533109792,11,46
1533111255,20,21
1533112414,38,37
1533113776,19,14
1533114855,20,8
1533116120,21,25
1533117473,26,1
