DateTime,Entries,UniqueIPs
1532458851,5809,5809
1532460496,5824,5824
1532461657,5802,5802
1532463262,5812,5812
1532464097,5829,5829
1532464940,5832,5832
1532466190,5817,5817
1532467824,5825,5825
1532468541,5828,5828
1532470458,5842,5842
1532472316,5836,5836
1532473527,5824,5824
1532474722,5855,5855
1532475744,5843,5843
1532477663,5892,5892
1532478499,5910,5910
1532479821,5991,5991
1532481263,5989,5989
1532483723,5985,5985
1532484920,5972,5972
1532486541,5963,5963
1532488459,5960,5960
1532490141,5943,5943
1532491826,5900,5900
1532493737,5863,5863
1532495658,5875,5875
1532496507,5879,5879
1532497340,5867,5867
1532499257,5845,5845
1532500101,5853,5853
1532500935,5821,5821
1532501776,5835,5835
1532502859,5831,5831
1532503697,5843,5843
1532505375,5825,5825
1532506458,5795,5795
1532507721,5780,5780
1532509519,5794,5794
1532510059,5798,5798
1532511737,5831,5831
1532513427,5874,5874
1532514625,5867,5867
1532516185,5897,5897
1532517322,5899,5899
1532518677,5883,5883
1532520403,5868,5868
1532522439,5880,5880
1532523655,5844,5844
1532524819,5863,5863
1532526145,5816,5816
1532528054,5813,5813
1532528903,5822,5822
1532530337,5790,5790
1532531721,5803,5803
1532533335,5797,5797
1532534177,5817,5817
1532536096,5779,5779
1532536943,5747,5747
1532538857,5783,5783
1532540537,5800,5800
1532541813,5814,5814
1532543125,5846,5846
1532546798,5813,5813
1532547925,5788,5788
1532549148,5783,5783
1532550630,5787,5787
1532552175,5842,5842
1532553316,5844,5844
1532554524,5837,5837
1532555776,5845,5845
1532557701,5841,5841
1532559582,5776,5776
1532560459,5794,5794
1532562136,5774,5774
1532564057,5778,5778
1532565745,5799,5799
1532566584,5812,5812
1532567728,5795,5795
1532568494,5811,5811
1532570177,5801,5801
1532571321,5799,5799
1532572945,5777,5777
1532573777,5788,5788
1532574859,5785,5785
1532575708,5801,5801
1532577038,5799,5799
1532578462,5808,5808
1532579299,5815,5815
1532580983,5759,5759
1532582061,5761,5761
1532583739,5745,5745
1532585656,5754,5754
1532586818,5753,5753
1532588137,5750,5750
1532589257,5761,5761
1532590856,5746,5746
1532592058,5738,5738
1532593220,5788,5788
1532594719,5839,5839
1532595375,5878,5878
1532596457,5857,5857
1532597626,5836,5836
1532598978,5839,5839
1532600054,5859,5859
1532601332,5850,5850
1532602750,5811,5811
1532604020,5838,5838
1532604494,5845,5845
1532605340,5812,5812
1532607025,5825,5825
1532608230,5816,5816
1532609781,5829,5829
1532610863,5834,5834
1532611696,5854,5854
1532614461,5826,5826
1532615295,5829,5829
1532616136,5788,5788
1532617516,5776,5776
1532618621,5794,5794
1532618896,5799,5799
1532620516,5813,5813
1532621721,5795,5795
1532622915,5757,5757
1532624388,5776,5776
1532625626,5803,5803
1532626856,5779,5779
1532628855,5800,5800
1532629702,5813,5813
1532631320,5821,5821
1532633631,5788,5788
1532634135,5786,5786
1532635323,5800,5800
1532636063,5804,5804
1532636897,5825,5825
1532639655,5816,5816
1532641220,5801,5801
1532642177,5783,5783
1532644098,5787,5787
1532646623,5732,5732
1532647832,5705,5705
1532649022,5736,5736
1532650457,5708,5708
1532651298,5725,5725
1532652924,5713,5713
1532654063,5711,5711
1532655925,5712,5712
1532657429,5708,5708
1532658637,5692,5692
1532660119,5700,5700
1532661320,5702,5702
1532662098,5714,5714
1532662948,5705,5705
1532663780,5710,5710
1532665698,5715,5715
1532666542,5695,5695
1532667923,5666,5666
1532669295,5705,5705
1532670984,5669,5669
1532672055,5690,5690
1532672894,5699,5699
1532674577,5672,5672
1532675654,5657,5657
1532676887,5641,5641
1532678073,5646,5646
1532679325,5654,5654
1532680821,5644,5644
1532682322,5624,5624
1532682861,5626,5626
1532684534,5615,5615
1532686459,5585,5585
1532687746,5562,5562
1532689520,5535,5535
1532690895,5549,5549
1532692582,5524,5524
1532693655,5544,5544
1532694493,5560,5560
1532696174,5547,5547
1532697254,5534,5534
1532698823,5536,5536
1532700624,5522,5522
1532700859,5525,5525
1532702541,5486,5486
1532704461,5469,5469
1532705652,5450,5450
1532706978,5454,5454
1532708118,5435,5435
1532708897,5468,5468
1532710575,5467,5467
1532712498,5467,5467
1532713334,5445,5445
1532714984,5437,5437
1532716098,5470,5470
1532717775,5476,5476
1532718924,5480,5480
1532720420,5473,5473
1532722455,5461,5461
1532723297,5490,5490
1532724141,5459,5459
1532726057,5495,5495
1532726896,5516,5516
1532728146,5509,5509
1532729425,5528,5528
1532731221,5530,5530
1532732177,5539,5539
1532733335,5555,5555
1532734942,5517,5517
1532735776,5538,5538
1532736859,5546,5546
1532738116,5550,5550
1532739378,5567,5567
1532740459,5545,5545
1532741947,5527,5527
1532743821,5518,5518
1532745022,5482,5482
1532746219,5492,5492
1532747419,5478,5478
1532748497,5499,5499
1532750124,5492,5492
1532751322,5487,5487
1532752103,5489,5489
1532752939,5468,5468
1532754855,5456,5456
1532756546,5436,5436
1532757378,5448,5448
1532758461,5435,5435
1532760134,5432,5432
1532762053,5429,5429
1532763418,5362,5362
1532765042,5321,5321
1532765656,5325,5325
1532766920,5343,5343
1532768718,5311,5311
1532769258,5318,5318
1532770516,5296,5296
1532772856,5288,5288
1532773697,5301,5301
1532774534,5268,5268
1532775376,5282,5282
1532776517,5281,5281
1532778022,5135,5135
1532778982,5141,5141
1532780056,5151,5151
1532781672,5137,5137
1532783655,5146,5146
1532784917,5145,5145
1532786119,5164,5164
