DateTime,AddedIPs,RemovedIPs
1532713653,8,5
1532714374,5,5
1532715092,4,6
1532716055,7,99
1532716773,5,6
1532717493,7,10
1532718214,10,8
1532718933,10,7
1532719893,3,7
1532720613,12,5
1532721333,7,6
1532722293,6,3
1532723254,5,5
1532724214,6,5
1532725173,7,9
1532725893,6,7
1532726613,5,4
1532727574,7,7
1532728294,5,7
1532729014,3,6
1532729973,4,4
1532731892,19,14
1532732613,9,5
1532733333,6,2
1532734054,2,7
1532734773,4,3
1532735733,5,11
1532736694,5,10
1532737414,4,3
1532738794,12,10
1532739573,5,4
1532740532,8,6
1532741493,3,4
1532742213,5,4
1532742933,3,3
1532743893,5,3
1532744852,6,7
1532745572,7,3
1532746293,4,5
1532747253,6,6
1532748215,4,8
1532749173,8,4
1532749893,5,6
1532750617,5,5
1532751573,8,2
1532752294,5,6
1532753013,3,3
1532753972,7,2
1532754933,8,8
1532755893,8,6
1532756613,5,3
1532757333,9,5
1532758293,9,3
1532759013,5,1
1532759733,5,7
1532760453,4,6
1532761653,15,8
1532762613,6,4
1532763573,4,7
1532764294,4,9
1532765013,7,3
1532765974,4,2
1532766933,9,7
1532767653,4,4
1532768373,8,7
1532769095,4,4
1532769813,6,11
1532770774,4,10
1532771492,4,5
1532773413,18,18
1532774133,6,6
1532774854,6,4
1532775813,7,6
1532776533,2,3
1532777253,3,4
1532778213,18,10
1532778933,7,8
1532779653,3,4
1532780373,6,4
1532781093,4,5
1532781813,2,2
1532782532,6,3
1532783493,7,12
1532784213,4,5
1532784934,5,6
1532785654,4,6
1532786614,7,7
1532787333,2,2
1532788053,4,1
1532788773,6,1
1532789733,2,7
1532790454,6,6
1532791173,5,3
1532791893,5,3
1532792613,3,4
1532793632,2,8455
1532794293,8451,1
1532795013,4,3
1532795974,4,8
1532796693,6,5
1532797413,2,4
1532798133,7,3
1532798853,4,5
1532799573,3,6
1532800294,6,7
1532801013,3,3
1532801733,6,5
1532802693,5,7
1532803413,4,7
1532804134,3,6
1532804853,3,12
1532805573,4,5
1532806534,3,5
1532807253,6,10
1532807973,5,5
1532808933,8,6
1532809893,10,4
1532810613,6,6
1532811333,2,6
1532812294,5,6
1532813014,4,5
1532813734,2,4
1532814694,8,10
1532815413,4,4
1532816133,7,6
1532816854,5,2
1532817573,3,4
1532818295,5,10
1532819493,7,15
1532820213,3,1
1532820933,5,5
1532821653,1,6
1532822854,7,6
1532823574,2,4
1532824287,3,2
1532826453,14,16
1532827173,3,4
1532827895,4,4
1532828853,8,7
1532829574,6,3
1532830293,4,4
1532831013,7,3
1532831745,2,7
1532832453,7,4
1532833172,5,6
1532833894,6,3
1532834613,5,3
1532835341,7,5
1532836052,4,3
1532836773,5,4
1532837493,3,6
1532838212,1,7
1532838934,6,5
1532839654,2,3
1532840853,6,8
1532841574,5,8
1532842533,5,5
1532843493,6,8
1532844214,16,10
1532844935,6,4
1532845653,6,7
1532846374,6,3
1532847338,4,8
1532848293,3,8
1532849012,4,6
1532849733,5,4
1532850453,5,5
1532851653,7,9
1532852373,4,5
1532853093,1,5
1532853814,1,4
1532854533,7,7
1532855253,5,3
1532855973,2,7
1532856693,3,1
1532857413,6,3
1532858373,5,6
1532859333,0,8
1532860053,4,5
1532860773,2,9
1532861733,7,9
1532862693,3,6
1532863653,11,2
1532864372,3,17
1532865092,1,7
1532865814,1,5
1532866534,8,8
1532867493,6,4
1532868213,5,2
1532868933,2,4
1532869653,1,3
1532870373,5,3
1532871093,7,6
1532871812,1,6
1532872533,3,5
1532873252,4,4
1532873973,6,2
1532874694,4,5
1532875413,6,5
1532876853,8,6
1532877572,5,4
1532878293,3,6
1532879013,2,3
1532879733,1,1
1532880453,0,3
1532881173,6,7
1532881892,5,2
1532882613,12,1
1532883334,1,4
1532884053,5,2
1532885013,4,9
1532885734,6,6
1532886453,4,6
1532887173,3,1
1532887893,9,8
1532888613,3,4
1532889333,9,5
1532890054,4,1
1532890773,6,4
1532891494,3,4
1532892213,2,2
1532892933,5,3
1532893653,4,7
1532894613,4,5
1532896293,18,11
1532897014,4,10
1532897733,3,2
1532898453,2,7
1532899173,4,2
1532899893,8,4
1532900613,7,6
1532901333,2,3
1532902053,5,4
1532902774,5,8
1532903493,7,5
1532904213,2,3
1532904933,2,3
1532905653,2,2
1532906372,5,2
1532907093,5,4
1532907813,3,5
1532908535,5,1
1532909976,7,5
1532910933,9,5
1532911655,8,4
1532912374,7,5
1532913092,6,4
1532913813,6,3
1532914533,2,3
1532915252,6,4
1532915973,1,6
1532916933,5,4
1532917653,2,8
1532918373,7,4
1532919093,13,5
1532919814,1,4
1532920534,1,4
1532921253,2,4
1532921973,4,6
1532922694,7,5
1532923412,4,2
1532924132,0,2
1532925093,4,5
1532925812,6,6
1532926533,3,2
1532927253,6,3
1532927973,8,6
1532928872,5,4
1532929893,8,9
1532930854,8,16
1532931573,4,9
1532932293,5,6
1532933012,1,4
1532933733,4,2
1532934693,14,6
1532935413,6,4
1532936132,6,6
1532936854,3,4
1532938053,8,5
1532938773,3,6
1532939493,7,4
1532940213,5,1
1532940932,12,7
1532941653,4,3
1532942373,11,2
1532943093,6,5
1532943813,3,6
1532944533,2,4
1532945253,4,3
1532946213,4,4
1532947173,5,1
1532948133,5,7
1532949092,9,8
1532949814,4,9
1532950532,4,6
1532951493,11,1
1532952213,5,1
1532952933,6,5
1532953894,5,7
1532954613,2,6
1532955334,4,4
1532956054,3,4
1532956773,7,5
1532957493,2,5
1532958214,5,3
1532958933,4,3
1532959652,2,3
1532960614,9,7
1532961573,8,7
1532962533,4,6
1532963494,4,8
1532964213,3,4
1532964933,6,2
1532965653,6,0
1532966373,6,1
1532967334,4,5
1532968293,2,6
1532969013,3,10
1532969733,3,3
1532970693,4,5
1532971413,3,5
1532972133,6,5
1532973093,12,7
1532974053,6,8
1532975013,5,5
1532975973,5,9
1532976933,12,6
1532977893,6,2
1532978853,7,4
1532979813,4,5
1532980772,4,2
1532981733,5,6
1532983173,10,27
1532983892,4,2
1532984613,4,4
1532985573,3,2
1532986293,9,8
1532987013,5,6
1532987733,1,3
1532988453,2,4
1532989175,7,6
1532989893,4,8
1532990613,8,6
1532991333,6,2
1532992292,2,6
1532993253,7,4
1532993974,7,4
1532994693,6,3
1532995414,4,5
1532996616,6,6
1532997573,7,2
1532998532,5,8
1532999493,4,11
1533000213,5,4
1533000933,6,1
1533001893,4,7
1533002853,8,2
1533003813,9,3
1533004778,11,10
1533005733,9,10
1533006693,2,4
1533007413,1,2
1533008134,4,3
1533008853,3,5
1533009577,2,6
1533010533,3,4
1533011492,3,4
1533012213,2,2
1533012933,3,5
1533013894,8,14
1533014614,5,2
1533015333,3,5
1533016293,3,8
1533017014,2,6
1533017733,4,3
1533018453,4,3
1533019173,4,4
1533020134,10,4
1533021093,6,13
1533022053,7,9
1533022773,3,5
1533023493,6,5
1533024213,5,5
1533024933,5,1
1533025892,4,7
1533026612,8,4
1533027333,0,12
1533028294,5,7
1533029014,4,8
1533029733,3,6
1533030452,6,6
1533031652,6,6
1533032613,6,3
1533033333,1,5
1533034292,10,2
1533035013,4,6
1533035734,3,9
1533036453,4,5
1533037173,4,2
1533038133,5,11
1533039093,1,6
1533039814,4,5
1533040533,4,2
1533041493,5,3
1533042212,2,4
1533042934,3,11
1533043893,1,3
1533044853,2,5
1533045813,5,5
1533046533,4,4
1533047254,8,6
1533048213,4,6
1533048933,3,4
1533049894,4,5
1533050614,6,1
1533051333,4,7
1533052053,18,4
1533053014,5,6
1533053973,10,2
1533054754,2,2
1533055413,5,3
1533056854,9,7
1533057573,1,2
1533058293,3,5
1533059013,4,12
1533059733,11,3
1533060693,4,9
1533061654,8,8
1533062373,3,5
1533063093,7,5
1533064053,4,7
1533064773,4,9
1533065494,4,3
1533067412,10,7
1533068133,4,4
1533069092,4,5
1533069813,4,5
1533070533,6,3
1533071253,5,1
1533071974,8,2
1533072693,12,7
1533073412,7,7
1533074133,6,1
1533075094,7,1
1533075813,2,8
1533076534,6,2
1533077255,3,8
1533077973,4,5
1533078711,3,2
1533079413,6,3
1533080138,4,9
1533080853,3,5
1533081573,3,2
1533082293,2,3
1533083013,6,1
1533083733,0,6
1533084527,1,4
1533085653,8,6
1533086373,3,3
1533087093,6,7
1533087813,3,5
1533088534,1,3
1533089493,1,11
1533090213,3,5
1533090933,5,5
1533091653,5,10
1533092853,6,4
1533093573,6,0
1533094293,6,0
1533095495,6,7
1533096212,2,2
1533096934,7,3
1533097652,3,6
1533098374,5,2
1533099099,2,2
1533099813,5,1
1533100533,6,8
1533101253,4,4
1533101973,5,2
1533102933,6,1
1533103894,4,3
1533104614,3,5
1533105333,3,6
1533106293,7,11
1533107012,5,2
1533107733,8,4
1533108693,11,6
1533109412,7,6
1533110133,5,5
1533110853,4,6
1533111573,5,4
1533112294,4,5
1533113014,4,8
1533113973,9,1
1533114693,8,4
1533115412,3,4
1533116133,0,4
1533116854,4,5
1533117813,6,6
1533118533,9,6
