DateTime,Entries,UniqueIPs
1532713653,20568,20568
1532714374,20568,20568
1532715092,20566,20566
1532716055,20474,20474
1532716773,20473,20473
1532717493,20470,20470
1532718214,20472,20472
1532718933,20475,20475
1532719893,20471,20471
1532720613,20478,20478
1532721333,20479,20479
1532722293,20482,20482
1532723254,20482,20482
1532724214,20483,20483
1532725173,20481,20481
1532725893,20480,20480
1532726613,20481,20481
1532727574,20481,20481
1532728294,20479,20479
1532729014,20476,20476
1532729973,20476,20476
1532731892,20481,20481
1532732613,20485,20485
1532733333,20489,20489
1532734054,20484,20484
1532734773,20485,20485
1532735733,20479,20479
1532736694,20474,20474
1532737414,20475,20475
1532738794,20477,20477
1532739573,20478,20478
1532740532,20480,20480
1532741493,20479,20479
1532742213,20480,20480
1532742933,20480,20480
1532743893,20482,20482
1532744852,20481,20481
1532745572,20485,20485
1532746293,20484,20484
1532747253,20484,20484
1532748215,20480,20480
1532749173,20484,20484
1532749893,20483,20483
1532750617,20483,20483
1532751573,20489,20489
1532752294,20488,20488
1532753013,20488,20488
1532753972,20493,20493
1532754933,20493,20493
1532755893,20495,20495
1532756613,20497,20497
1532757333,20501,20501
1532758293,20507,20507
1532759013,20511,20511
1532759733,20509,20509
1532760453,20507,20507
1532761653,20514,20514
1532762613,20516,20516
1532763573,20513,20513
1532764294,20508,20508
1532765013,20512,20512
1532765974,20514,20514
1532766933,20516,20516
1532767653,20516,20516
1532768373,20517,20517
1532769095,20517,20517
1532769813,20512,20512
1532770774,20506,20506
1532771492,20505,20505
1532773413,20505,20505
1532774133,20505,20505
1532774854,20507,20507
1532775813,20508,20508
1532776533,20507,20507
1532777253,20506,20506
1532778213,20514,20514
1532778933,20513,20513
1532779653,20512,20512
1532780373,20514,20514
1532781093,20513,20513
1532781813,20513,20513
1532782532,20516,20516
1532783493,20511,20511
1532784213,20510,20510
1532784934,20509,20509
1532785654,20507,20507
1532786614,20507,20507
1532787333,20507,20507
1532788053,20510,20510
1532788773,20515,20515
1532789733,20510,20510
1532790454,20510,20510
1532791173,20512,20512
1532791893,20514,20514
1532792613,20513,20513
1532793632,12060,12060
1532794293,20510,20510
1532795013,20511,20511
1532795974,20507,20507
1532796693,20508,20508
1532797413,20506,20506
1532798133,20510,20510
1532798853,20509,20509
1532799573,20506,20506
1532800294,20505,20505
1532801013,20505,20505
1532801733,20506,20506
1532802693,20504,20504
1532803413,20501,20501
1532804134,20498,20498
1532804853,20489,20489
1532805573,20488,20488
1532806534,20486,20486
1532807253,20482,20482
1532807973,20482,20482
1532808933,20484,20484
1532809893,20490,20490
1532810613,20490,20490
1532811333,20486,20486
1532812294,20485,20485
1532813014,20484,20484
1532813734,20482,20482
1532814694,20480,20480
1532815413,20480,20480
1532816133,20481,20481
1532816854,20484,20484
1532817573,20483,20483
1532818295,20478,20478
1532819493,20470,20470
1532820213,20472,20472
1532820933,20472,20472
1532821653,20467,20467
1532822854,20468,20468
1532823574,20466,20466
1532824287,20467,20467
1532826453,20465,20465
1532827173,20464,20464
1532827895,20464,20464
1532828853,20465,20465
1532829574,20468,20468
1532830293,20468,20468
1532831013,20472,20472
1532831745,20467,20467
1532832453,20470,20470
1532833172,20469,20469
1532833894,20472,20472
1532834613,20474,20474
1532835341,20476,20476
1532836052,20477,20477
1532836773,20478,20478
1532837493,20475,20475
1532838212,20469,20469
1532838934,20470,20470
1532839654,20469,20469
1532840853,20467,20467
1532841574,20464,20464
1532842533,20464,20464
1532843493,20462,20462
1532844214,20468,20468
1532844935,20470,20470
1532845653,20469,20469
1532846374,20472,20472
1532847338,20468,20468
1532848293,20463,20463
1532849012,20461,20461
1532849733,20462,20462
1532850453,20462,20462
1532851653,20460,20460
1532852373,20459,20459
1532853093,20455,20455
1532853814,20452,20452
1532854533,20452,20452
1532855253,20454,20454
1532855973,20449,20449
1532856693,20451,20451
1532857413,20454,20454
1532858373,20453,20453
1532859333,20445,20445
1532860053,20444,20444
1532860773,20437,20437
1532861733,20435,20435
1532862693,20432,20432
1532863653,20441,20441
1532864372,20427,20427
1532865092,20421,20421
1532865814,20417,20417
1532866534,20417,20417
1532867493,20419,20419
1532868213,20422,20422
1532868933,20420,20420
1532869653,20418,20418
1532870373,20420,20420
1532871093,20421,20421
1532871812,20416,20416
1532872533,20414,20414
1532873252,20414,20414
1532873973,20418,20418
1532874694,20417,20417
1532875413,20418,20418
1532876853,20420,20420
1532877572,20421,20421
1532878293,20418,20418
1532879013,20417,20417
1532879733,20417,20417
1532880453,20414,20414
1532881173,20413,20413
1532881892,20416,20416
1532882613,20427,20427
1532883334,20424,20424
1532884053,20427,20427
1532885013,20422,20422
1532885734,20422,20422
1532886453,20420,20420
1532887173,20422,20422
1532887893,20423,20423
1532888613,20422,20422
1532889333,20426,20426
