DateTime,AddedIPs,RemovedIPs
1521313479,91,85
1521335327,93,89
1521357407,84,93
1521379487,46,90
1521401915,81,46
1521424125,92,65
1521446476,50,103
1521468762,94,52
1521490729,86,90
1521512660,54,88
1521534756,35,58
1521557064,80,39
1521578909,92,73
1521600997,93,90
1521622885,62,99
1521644906,52,63
1521667086,207,47
1521689077,227,181
1521711368,232,217
1521733258,224,238
1521755298,217,230
1521777276,280,195
1521799853,151,287
1521822027,200,163
1521844103,291,192
1521865951,263,270
1521888031,233,276
1521910119,239,232
1521932006,202,245
1521954027,120,219
1521975867,266,114
1521997861,180,264
1522019799,275,178
1522042005,208,253
1522063957,212,231
1522086033,159,218
1522108119,250,155
1522130188,239,234
1522152133,210,243
1522174348,152,219
1522196213,174,160
1522218331,208,167
1522240490,241,205
1522262440,171,253
1522284288,246,172
1522306351,168,236
1522328198,196,177
1522350053,183,186
1522372139,189,198
1522394208,231,168
1522416292,228,216
1522438178,100,254
1522460213,210,102
1522482284,203,206
1522504370,226,194
1522526520,203,226
1522548533,193,206
1522570458,215,198
1522592444,213,211
1522614536,213,227
1522636859,39,226
1522659133,200,37
1522680991,206,178
1522703024,183,205
1522724936,286,171
1522747019,196,295
1522768928,167,214
1522790917,238,156
1522813010,285,218
1522835089,239,286
1522857312,218,248
1522879343,242,212
1522901581,160,254
1522923464,209,162
1522945461,171,212
1522989209,250,169
1523011565,218,252
1523033454,257,208
1523055765,225,233
1523077721,238,247
1523100017,217,237
1523121875,301,209
1523143988,334,271
1523166032,153,373
1523187881,118,177
1523210024,156,117
1523232058,208,140
1523254107,150,218
1523275979,157,153
1523298053,22,174
1524071369,4296,9
1524093956,64,4124
1524115975,121,221
1524138043,185,121
1524159894,188,182
1524181964,190,191
1524204044,155,186
1524226125,241,151
1524247999,264,240
1524270050,278,249
1524291895,208,291
1524313967,219,217
1524336049,270,217
1524357913,182,272
1524379991,222,185
1524402053,250,205
1524424156,271,248
1524446071,201,291
1524468298,187,189
1524490358,190,197
1524512681,189,202
1524534774,143,186
1524556615,187,146
1524578895,162,178
1524600777,218,158
1524622844,158,216
1524644911,203,160
1524667015,352,192
1524689008,411,323
1524711164,402,389
1524733028,314,416
1524754951,259,336
1524776946,238,270
1524799006,235,239
1524820858,239,248
1524842939,279,227
1524865227,200,283
1524887080,215,200
1524908924,141,222
1524931009,295,147
1524953092,465,252
1524975230,283,441
1524997231,260,328
1525019391,373,237
1525041638,394,345
1525063958,265,424
1525086048,361,277
1525108118,354,343
1525130227,547,344
1525152279,427,524
1525174358,461,430
1525196435,96,543
1525218341,145,96
1525240370,175,148
1525262475,410,152
1525284471,385,370
1525306403,381,398
1525328445,493,366
1525350408,414,469
1525372371,414,436
1525394215,479,404
1525416268,397,459
1525438372,291,438
1525460473,287,305
1525482522,367,285
1525504391,427,355
1525526439,297,426
1525548311,245,314
1525570371,263,265
1525592231,321,246
1525614290,394,299
1525636382,288,396
1525658457,304,293
1525680575,243,328
1525702627,255,249
1525724942,260,247
1525747022,218,265
1525769157,133,237
1525791180,263,131
1525813261,251,245
1525835104,296,256
1525857173,221,299
1525879157,268,220
1525901060,244,269
1525923167,227,253
1525945251,260,232
1525967097,238,242
1525989189,247,238
1526011264,216,254
1526033108,278,210
1526054978,207,273
1526077141,296,213
1526099080,315,281
1526121315,219,321
1526143253,238,235
1526165363,215,236
1526187435,235,221
1526209705,216,229
1526231612,232,205
1526253652,204,251
1526275846,206,198
1526297826,264,199
1526320123,346,252
1526342207,353,337
1526364289,304,351
1526386253,334,302
1526408292,271,336
1526430530,310,294
1526452613,259,301
1526474880,302,260
1526497020,284,300
1526518920,147,307
1526541185,214,139
1526563577,241,208
1526585590,302,234
1526607654,292,297
1526629722,230,292
1526651875,314,230
1526674145,317,302
1526696033,305,319
1526718141,262,311
1526740379,398,236
1526762444,305,405
1526784751,278,320
1526807076,178,287
1526829153,412,179
1526851227,362,381
1526873336,313,381
1526895395,425,304
1526917470,236,430
1526939561,210,267
1526961436,292,208
1526983314,240,293
1527005485,354,230
1527027426,275,342
1527049505,369,285
1527071567,359,331
1527093408,306,382
1527115367,285,318
1527137305,295,267
1527159161,303,312
1527181315,369,305
1527203331,272,372
1527225431,256,283
1527247484,289,262
1527269336,301,276
1527291380,308,300
1527314189,300,319
1527359849,368,291
1527382728,348,354
1527404664,300,343
1527426738,211,315
1527448592,175,233
1527470433,290,177
1527492498,344,251
1527514377,295,353
1527536414,178,308
1527558527,212,192
1527580597,233,203
1527602483,353,213
1527624515,424,322
1527646573,366,456
1527668430,378,363
1527690503,253,375
1527712592,404,253
1527734442,331,404
1527756502,364,332
1527778586,310,353
1527800502,257,336
1527822494,316,268
1527844378,396,280
1527866421,456,383
1527888278,323,492
1527910363,323,322
1527933101,307,322
1527955072,410,300
1527977314,340,401
1527999896,345,340
1528021955,424,336
1528044041,200,441
1528066245,200,222
1528088170,172,205
1528110086,323,168
1528132146,270,318
1528154190,320,258
1528176292,276,314
1528198360,399,287
1528220441,323,391
1528242509,325,311
1528264695,232,333
1528286670,257,238
1528311968,228,260
1528335453,265,233
1528357461,207,275
1528379563,191,216
1528401725,201,186
1528423702,340,195
1528445567,213,336
1528467628,223,210
1528489733,396,205
1528511778,296,396
1528533624,235,330
1528555472,196,231
1528577319,313,194
1528599268,199,307
1528621304,282,208
1528643305,288,270
1528666391,297,279
1528688432,354,291
1528710508,320,339
1528733971,310,343
1528755860,487,288
1528777710,199,493
1528799569,247,221
1528821620,231,252
1528843700,351,215
1528865559,367,344
1528887696,261,381
1528909710,382,227
1528931681,317,394
1528953612,233,349
1528975481,514,205
1528997552,183,513
1529019638,175,220
1529041711,323,184
1529063794,359,279
1529085695,328,339
1529107709,287,347
1529129775,279,283
1529151635,280,294
1529173690,296,268
1529195642,456,271
1529217617,294,465
1529239474,213,328
1529261539,262,227
1529283636,297,250
1529305702,195,299
1529327564,366,171
1529349634,313,378
1529371699,82,350
1529393569,292,76
1529415613,486,257
1529437474,498,435
1529459544,393,490
1529481710,483,406
1529503708,371,473
1529525563,263,422
1529547643,469,254
1529569717,378,448
1529591560,311,385
1529613888,476,313
1529635968,505,449
1529658069,164,566
1529679979,321,177
1529701949,600,286
1529723809,407,574
1529745862,186,439
1529767962,266,216
1529790036,288,249
1529811878,237,299
1529833955,278,245
1529856103,226,280
1529878360,264,228
1529900426,196,266
1529922269,168,199
1529944111,226,174
1529966200,204,219
1529988267,244,210
1530010363,244,224
1530032496,271,241
1530054498,300,277
1530076381,243,297
1530098434,280,229
1530120492,244,291
1530142396,226,258
1530164428,169,239
1530186293,237,166
1530208337,265,227
1530230313,263,266
1530252614,242,261
1530274830,246,238
1530296822,210,247
1530318758,250,198
1530340810,113,268
1530362679,222,114
1530384522,214,216
1530406643,247,204
1530428665,227,254
1530450570,279,220
1530472598,252,272
1530494703,216,270
1530516749,201,202
1530538613,272,210
1530560656,281,263
1530582784,232,285
1530604883,241,229
1530626801,229,238
1530648863,287,243
1530670825,256,272
1530692666,201,263
1530714765,229,215
1530736614,206,225
1530758689,204,210
1530780749,223,203
1530802900,254,215
1530825341,279,230
1530847298,248,284
1530869318,190,270
1530891386,260,192
1530913483,303,245
1530935364,231,307
1530957480,256,240
1530979751,294,259
1531001812,247,277
1531023897,198,256
1531046207,245,197
1531068404,234,238
1531090357,277,229
1531112515,229,277
1531134529,206,237
1531156679,186,217
1531178660,221,188
1531200508,205,223
1531222361,235,210
1531244438,306,213
1531266508,235,302
1531288597,200,253
1531310704,232,206
1531332744,179,224
1531354592,212,181
1531376446,174,229
1531398520,214,169
1531420582,224,194
1531442468,226,230
1531464506,246,226
1531486588,216,254
1531508496,182,216
1531530625,200,184
1531552679,172,201
1531574543,218,167
1531596409,255,206
1531618305,229,260
1531640212,157,237
1531662160,188,166
1531684360,222,179
1531706324,142,229
1531728241,197,136
1531750407,282,195
1531772545,299,262
1531794397,229,303
1531816643,295,233
1531838679,310,284
1531860761,367,289
1531882874,284,390
1531904930,286,285
1531927025,260,284
1531949053,278,271
1531970900,273,260
1531992741,283,265
1532014594,351,282
1532036490,365,342
1532058533,390,366
1532080379,297,403
1532102472,267,323
1532124535,279,263
1532146836,269,287
1532168909,232,262
1532190850,227,233
1532212823,139,251
1532234915,175,138
1532256802,237,155
1532278771,208,240
1532300814,172,219
1532322813,227,169
1532344821,155,212
1532366919,235,162
1532389234,220,239
1532411305,233,211
1532433454,266,225
1532455305,666,224
1532477559,2094,393
1532499545,1352,1613
1532521479,1221,1421
1532543563,1279,1118
1532565626,1084,1449
1532587764,1268,969
1532610072,1408,1334
1532633611,1461,1336
1532655613,1127,1552
1532677474,1404,1164
1532699337,1721,946
1532721395,1285,1689
1532743499,1691,1498
1532765566,1247,1764
1532787613,1376,1220
1532809471,1412,1136
1532831585,999,1558
1532853634,1057,1162
1532875555,1851,1008
1532897399,1069,1512
1532919737,1553,1398
1532941718,1210,1635
1532963572,1358,1322
1532985640,1012,1458
1533007692,156,1522
1533029540,55,258
1533051395,110,63
1533073247,82,106
1533095301,76,86
1533117454,80,67
