DateTime,AddedIPs,RemovedIPs
1530468483,124,107
1530476405,141,109
1530480244,80,68
1530484083,55,84
1530489843,137,174
1530495603,102,124
1530503283,83,66
1530505205,90,118
1530509765,145,137
1530519363,76,67
1530523203,127,113
1530527283,70,55
1530533043,116,100
1530539044,77,112
1530544803,142,114
1530550564,135,114
1530556323,97,80
1530562083,140,149
1530568563,80,93
1530572426,114,169
1530578163,93,95
1530582003,57,74
1530583924,75,78
1530589683,75,81
1530593523,152,174
1530601218,85,68
1530603124,68,60
1530606963,73,69
1530610805,115,107
1530618723,111,131
1530624723,160,107
1530632405,72,72
1530636725,152,99
1530644643,93,72
1530649205,142,111
1530653525,75,85
1530659524,109,191
1530665283,103,117
1530667203,58,62
1530673222,85,68
1530675123,146,193
1530683044,64,84
1530688805,143,91
1530695763,115,116
1530699605,67,73
1530703682,73,51
1530708725,115,103
1530714724,69,60
1530721204,114,117
1530725043,154,124
1530732963,72,76
1530737044,70,70
1530740883,83,76
1530746643,125,166
1530750483,94,110
1530756486,114,145
1530762243,78,77
1530766323,150,182
1530772323,89,70
1530776163,84,66
1530780005,80,66
1530783843,83,64
1530786004,55,48
1530789845,79,72
1530795845,116,103
1530803764,97,93
1530809523,75,85
1530813363,131,107
1530817224,83,71
1530825845,146,145
1530831628,114,182
1530839524,111,146
1530845283,75,55
1530849124,71,91
1530851044,74,107
1530856821,170,142
1530862564,84,65
1530866404,70,54
1530868324,56,71
1530874564,64,60
1530879364,142,96
1530883923,58,69
1530890403,112,103
1530898083,107,103
1530905763,118,117
1530909603,66,79
1530913443,64,67
1530917283,99,137
1530924963,132,146
1530930724,79,73
1530934563,64,87
1530938643,91,90
1530942482,63,82
1530946323,71,59
1530950163,121,86
1530956884,67,68
1530960963,116,73
1530966725,59,61
1530972483,62,54
1530976564,114,113
1530982563,78,67
1530984483,71,83
1530988325,73,77
1530992164,83,67
1530997924,102,118
1531003683,62,77
1531005843,63,88
1531011620,117,152
1531019283,144,159
1531023363,93,130
1531031044,177,133
1531034884,61,58
1531038725,74,53
1531044483,114,95
1531050483,110,84
1531056244,68,71
1531062723,111,102
1531066804,67,73
1531070643,85,68
1531074727,80,59
1531080722,117,121
1531084563,79,84
1531088643,62,96
1531092483,52,103
1531095362,80,98
1531101123,118,127
1531105443,79,77
1531111443,148,164
1531117202,94,80
1531121042,65,58
1531124883,67,60
1531129684,129,85
1531135443,60,64
1531139525,62,68
1531143364,59,61
1531149124,117,86
1531152963,66,63
1531158723,149,119
1531164487,108,75
1531168325,67,78
1531174083,109,153
1531178163,63,108
1531183923,107,146
1531191621,132,140
1531197364,79,98
1531201444,167,129
1531209124,88,101
1531217762,115,96
1531225443,114,85
1531229524,64,56
1531235283,113,102
1531242963,119,96
1531246804,78,79
1531254483,136,120
1531261203,112,137
1531266963,136,171
1531272723,43,85
1531278723,139,125
1531284483,91,115
1531288563,137,148
1531296243,69,53
1531300083,106,100
1531305842,62,46
1531309682,54,44
1531313522,105,86
1531319282,77,62
1531323125,72,57
1531326963,63,73
1531328882,89,75
1531332722,101,76
1531338722,74,76
1531342562,112,127
1531351443,103,161
1531357217,120,149
1531364883,132,128
1531370644,85,106
1531374483,148,150
1531380243,83,54
1531386963,66,58
1531388882,113,99
1531396563,54,54
1531398483,65,51
1531404242,98,81
1531410003,74,70
1531416003,111,108
1531419843,95,81
1531423683,80,65
1531427522,68,76
1531431362,62,74
1531434723,60,79
1531438563,57,84
1531442404,91,83
1531444323,44,75
1531448165,75,72
1531452244,86,108
1531456083,96,102
1531462083,164,139
1531467846,116,101
1531475523,129,100
1531483222,119,97
1531491124,105,92
1531497123,117,116
1531503124,121,129
1531511046,120,134
1531520883,97,126
1531522822,56,94
1531530965,134,122
1531536723,132,148
1531546323,135,166
1531550164,79,56
1531555924,104,73
1531561923,121,87
1531570084,108,99
1531575844,62,70
1531581603,126,123
1531585924,62,61
1531588083,66,72
1531591923,78,60
1531597683,80,85
1531603443,103,128
1531607284,64,82
1531611123,67,91
1531617123,101,77
1531619283,98,140
1531627444,67,76
1531631523,135,160
1531637765,135,88
1531645443,115,83
1531651203,61,75
1531655524,144,109
1531661523,67,64
1531667284,95,121
1531673524,149,109
1531682230,106,106
1531690083,129,123
1531696085,105,156
1531699923,87,88
1531707604,101,134
1531713363,75,99
1531715283,84,85
1531719123,83,84
1531725123,136,111
1531729205,69,63
1531734962,121,96
1531743125,105,98
1531746980,70,62
1531752723,107,111
1531760642,128,107
1531768564,92,89
1531770483,152,113
1531779603,143,152
1531783442,74,122
1531789217,136,160
1531795203,131,152
1531803122,80,96
1531805042,79,89
1531808882,152,109
1531818971,106,113
1531826643,109,95
1531830483,65,61
1531834323,124,116
1531844165,74,75
1531848002,130,106
1531851842,91,66
1531857842,143,121
1531865524,142,146
1531871283,76,133
1531873203,94,156
1531878963,159,116
1531886642,130,169
1531890482,92,89
1531898162,155,115
1531905843,123,121
1531912564,112,97
1531916415,77,61
1531920243,66,66
1531924083,68,66
1531927924,62,77
1531933683,134,103
1531939443,88,79
1531942565,89,64
1531946402,91,90
1531950242,116,151
1531959842,128,168
