DateTime,Entries,UniqueIPs
1531989622,14301,14638
1531991543,14296,14632
1531993467,14290,14627
1531995396,14283,14620
1531997310,14278,14614
1531999230,14285,14622
1532001152,14288,14625
1532003073,14305,14642
1532004993,14306,14643
1532006891,14329,14667
1532008846,14318,14656
1532010744,14338,14676
1532012667,14338,14676
1532014578,14344,14684
1532016541,14346,14687
1532018433,14349,14690
1532020343,14351,14694
1532022267,14364,14707
1532024195,14376,14719
1532026350,14362,14705
1532028254,14366,14709
1532030170,14366,14708
1532032111,14358,14700
1532034036,14362,14705
1532035950,14360,14703
1532037860,14353,14696
1532039779,14359,14702
1532041711,14360,14703
1532043866,14366,14710
1532045793,14351,14695
1532049853,14345,14689
1532051772,14344,14688
1532053703,14343,14687
1532057549,14329,14672
1532059470,14327,14670
1532061369,14325,14668
1532063548,14326,14669
1532067393,14330,14674
1532069295,14344,14688
1532071224,14356,14700
1532073144,14383,14727
1532075063,14386,14730
1532076985,14405,14749
1532078894,14415,14758
1532081064,14421,14764
1532083228,14404,14746
1532085155,14410,14752
1532087066,14416,14759
1532088976,14425,14768
1532090894,14440,14784
1532092809,14442,14787
1532094738,14449,14795
1532098570,14447,14793
1532100494,14453,14798
1532102437,14437,14781
1532106274,14430,14774
1532108201,14417,14760
1532110118,14417,14760
1532112018,14414,14757
1532113951,14424,14767
1532115857,14439,14782
1532117802,14431,14773
1532119693,14443,14785
1532121627,14449,14791
1532123555,14451,14794
1532125464,14467,14810
1532128119,14472,14816
1532130012,14481,14825
1532131949,14475,14819
1532133870,14486,14831
1532135784,14481,14827
1532137708,14476,14824
1532139613,14482,14830
1532141542,14467,14813
1532143471,14478,14824
1532145379,14471,14817
1532147291,14481,14827
1532149229,14474,14820
1532151141,14469,14814
1532153068,14475,14818
1532154984,14480,14823
1532156903,14479,14821
1532159409,14454,14794
1532161222,14466,14806
1532163130,14474,14814
1532165080,14474,14814
1532166966,14483,14823
1532168896,14483,14822
1532170827,14493,14834
1532172734,14499,14839
1532174662,14520,14861
1532176581,14518,14859
1532178736,14514,14855
1532180664,14503,14844
1532184494,14515,14856
1532186438,14517,14859
1532188337,14521,14863
1532190250,14532,14874
1532192168,14520,14861
1532194089,14528,14869
1532197936,14522,14863
1532199871,14523,14864
1532201767,14522,14862
1532203701,14524,14864
1532205607,14528,14868
1532207534,14530,14869
1532209465,14531,14871
1532211372,14536,14877
1532213535,14524,14862
1532215463,14526,14864
1532217373,14537,14874
1532223369,14535,14872
1532225301,14548,14885
1532227208,14558,14894
1532229137,14559,14897
1532231063,14559,14897
1532232970,14555,14892
1532234900,14550,14886
1532237057,14562,14898
1532238965,14557,14893
1532242823,14560,14896
1532244739,14561,14897
1532246678,14562,14898
1532248583,14563,14899
1532250513,14569,14905
1532252415,14570,14904
1532254336,14560,14894
1532256257,14550,14884
1532258192,14546,14881
1532260113,14545,14879
1532262036,14552,14886
1532263950,14555,14889
1532267791,14566,14901
1532269935,14559,14894
1532272103,14567,14902
1532274010,14576,14912
1532276184,14574,14909
1532280973,14538,14874
1532282898,14534,14870
1532284823,14536,14871
1532286980,14540,14875
1532288908,14530,14865
1532290828,14537,14872
1532292736,14534,14870
1532294653,14540,14876
1532296570,14540,14876
1532298507,14550,14886
1532300429,14547,14882
1532302607,14529,14864
1532304522,14531,14866
1532306420,14532,14866
1532308354,14523,14856
1532310262,14523,14856
1532312194,14530,14863
1532314111,14524,14855
1532316018,14530,14861
1532317953,14520,14849
1532319864,14512,14841
1532321789,14502,14831
1532323689,14501,14830
1532327538,14508,14835
1532329477,14515,14842
1532331387,14513,14842
1532333307,14509,14838
1532335209,14505,14834
1532337143,14502,14830
1532339061,14507,14835
1532341734,14503,14831
1532343627,14502,14830
1532347463,14488,14812
1532349375,14479,14799
1532351294,14468,14788
1532353228,14463,14783
1532355148,14449,14769
1532357058,14443,14763
1532358988,14436,14757
1532360896,14436,14756
1532363781,14430,14749
