DateTime,AddedIPs,RemovedIPs
1531989622,23,19
1531991543,10,11
1531993467,9,1
1531995396,6,5
1531997310,12,11
1531999230,8,13
1532001152,17,17
1532003073,24,7
1532004993,11,26
1532006891,28,0
1532008846,10,15
1532010744,22,10
1532012667,7,15
1532014578,12,18
1532016541,10,5
1532018433,12,20
1532020343,5,4
1532022267,15,0
1532024195,16,7
1532026350,2,7
1532028254,14,6
1532030170,3,24
1532032111,17,0
1532034036,8,21
1532035950,9,8
1532037860,7,8
1532039779,8,5
1532041711,10,11
1532043866,13,12
1532045793,5,8
1532049853,12,24
1532051772,6,0
1532053703,8,8
1532057549,2,19
1532059470,6,0
1532061369,5,20
1532063548,19,15
1532067393,24,31
1532069295,26,20
1532071224,19,14
1532073144,33,22
1532075063,18,0
1532076985,21,26
1532078894,12,11
1532081064,12,8
1532083228,4,18
1532085155,20,11
1532087066,25,23
1532088976,21,25
1532090894,22,21
1532092809,12,17
1532094738,11,16
1532098570,15,22
1532100494,13,7
1532102437,6,5
1532106274,15,38
1532108201,6,23
1532110118,4,7
1532112018,3,16
1532113951,17,4
1532115857,19,0
1532117802,15,33
1532119693,17,0
1532121627,14,38
1532123555,20,8
1532125464,22,0
1532128119,7,30
1532130012,11,5
1532131949,8,5
1532133870,21,3
1532135784,5,0
1532137708,15,21
1532139613,16,0
1532141542,4,19
1532143471,21,18
1532145379,2,0
1532147291,17,20
1532149229,10,18
1532151141,8,10
1532153068,19,0
1532154984,15,13
1532156903,20,4
1532159409,10,10
1532161222,14,13
1532163130,8,17
1532165080,6,17
1532166966,9,14
1532168896,11,0
1532170827,31,26
1532172734,19,11
1532174662,25,10
1532176581,15,21
1532178736,5,9
1532180664,24,19
1532184494,27,40
1532186438,9,38
1532188337,20,0
1532190250,19,17
1532192168,12,9
1532194089,18,23
1532197936,7,14
1532199871,8,13
1532201767,7,9
1532203701,13,25
1532205607,5,9
1532207534,15,9
1532209465,14,20
1532211372,21,0
1532213535,8,18
1532215463,14,5
1532217373,23,26
1532223369,9,25
1532225301,16,17
1532227208,23,21
1532229137,21,9
1532231063,20,16
1532232970,15,6
1532234900,12,10
1532237057,19,0
1532238965,18,19
1532242823,20,30
1532244739,10,23
1532246678,7,15
1532248583,14,14
1532250513,13,8
1532252415,9,0
1532254336,4,9
1532256257,4,22
1532258192,12,26
1532260113,15,0
1532262036,14,20
1532263950,13,0
1532267791,17,42
1532269935,10,16
1532272103,14,16
1532274010,29,19
1532276184,13,0
1532280973,19,36
1532282898,7,17
1532284823,14,7
1532286980,14,0
1532288908,15,7
1532290828,16,0
1532292736,22,9
1532294653,13,8
1532296570,9,22
1532298507,15,13
1532300429,10,20
1532302607,5,13
1532304522,10,11
1532306420,24,16
1532308354,8,10
1532310262,11,6
1532312194,11,13
1532314111,12,9
1532316018,6,0
1532317953,13,12
1532319864,9,19
1532321789,9,17
1532323689,19,27
1532327538,13,55
1532329477,16,32
1532331387,21,25
1532333307,16,20
1532335209,12,14
1532337143,6,7
1532339061,10,7
1532341734,4,5
1532343627,3,15
1532347463,10,18
1532349375,9,23
1532351294,10,6
1532353228,3,8
1532355148,4,8
1532357058,19,11
1532358988,17,15
1532360896,15,13
1532363781,9,21
1532365718,19,0
1532367609,13,18
1532369783,10,7
1532371942,14,11
1532373867,32,3
1532375777,16,12
1532377687,29,8
