DateTime,AddedIPs,RemovedIPs
1531989622,35,49
1531991543,24,33
1531993467,14,28
1531995396,15,14
1531997310,23,13
1531999230,18,24
1532001152,38,18
1532003073,55,37
1532004993,21,55
1532006891,56,21
1532008846,28,55
1532010744,31,28
1532012667,16,30
1532014578,21,16
1532016541,19,21
1532018433,26,22
1532020343,19,23
1532022267,47,19
1532024195,33,43
1532026350,16,37
1532028254,37,17
1532030170,12,37
1532032111,59,11
1532034036,17,60
1532035950,23,18
1532037860,15,23
1532039779,28,15
1532041711,30,25
1532043866,37,33
1532045793,13,38
1532049853,34,14
1532051772,14,29
1532053703,26,17
1532057549,16,28
1532059470,17,13
1532061369,13,14
1532063548,45,19
1532067393,44,42
1532069295,62,44
1532071224,43,63
1532073144,56,42
1532075063,39,58
1532076985,45,38
1532078894,30,45
1532081064,23,31
1532083228,15,20
1532085155,39,18
1532087066,53,37
1532088976,33,52
1532090894,44,30
1532092809,28,46
1532094738,34,31
1532098570,26,32
1532100494,38,27
1532102437,16,38
1532106274,32,15
1532108201,11,33
1532110118,22,11
1532112018,13,23
1532113951,39,14
1532115857,47,38
1532117802,41,45
1532119693,52,41
1532121627,45,48
1532123555,47,40
1532125464,51,52
1532128119,17,58
1532130012,39,16
1532131949,33,35
1532133870,58,36
1532135784,31,55
1532137708,50,34
1532139613,47,50
1532141542,16,40
1532143471,43,21
1532145379,14,43
1532147291,42,15
1532149229,26,40
1532151141,21,29
1532153068,43,21
1532154984,28,43
1532156903,39,20
1532159409,32,38
1532161222,31,35
1532163130,27,29
1532165080,18,35
1532166966,24,20
1532168896,17,24
1532170827,61,17
1532172734,51,59
1532174662,42,49
1532176581,21,39
1532178736,26,25
1532180664,39,28
1532184494,58,37
1532186438,23,57
1532188337,40,23
1532190250,39,39
1532192168,28,38
1532194089,56,32
1532197936,36,58
1532199871,34,32
1532201767,18,35
1532203701,42,20
1532205607,29,42
1532207534,49,29
1532209465,41,48
1532211372,54,40
1532213535,33,53
1532215463,40,33
1532217373,63,41
1532223369,34,62
1532225301,49,35
1532227208,60,49
1532229137,58,57
1532231063,63,61
1532232970,47,63
1532234900,35,46
1532237057,47,37
1532238965,59,46
1532242823,51,56
1532244739,30,54
1532246678,33,29
1532248583,33,32
1532250513,45,32
1532252415,21,51
1532254336,15,22
1532256257,13,15
1532258192,24,12
1532260113,56,23
1532262036,52,54
1532263950,37,53
1532267791,53,38
1532269935,29,48
1532272103,58,31
1532274010,57,56
1532276184,32,58
1532280973,43,29
1532282898,27,44
1532284823,48,28
1532286980,35,48
1532288908,37,36
1532290828,33,40
1532292736,53,32
1532294653,51,45
1532296570,42,55
1532298507,42,42
1532300429,20,46
1532302607,18,21
1532304522,38,18
1532306420,54,38
1532308354,27,52
1532310262,41,24
1532312194,26,44
1532314111,46,28
1532316018,30,40
1532317953,45,32
1532319864,40,48
1532321789,44,41
1532323689,56,42
1532327538,52,55
1532329477,47,53
1532331387,54,47
1532333307,52,54
1532335209,38,52
1532337143,20,42
1532339061,17,21
1532341734,11,16
1532343627,18,12
1532347463,30,14
1532349375,15,30
1532351294,22,17
1532353228,15,22
1532355148,26,12
1532357058,51,26
1532358988,39,49
1532360896,40,43
1532363781,28,42
1532365718,37,24
1532367609,42,38
1532369783,26,41
1532371942,37,25
1532373867,56,42
1532375777,26,53
1532377687,56,24
1532380123,27,56
1532382015,25,32
1532383957,22,25
1532385858,50,21
1532387778,42,45
1532389702,39,42
1532391619,49,40
1532393531,20,49
1532395485,39,22
1532397370,31,38
1532399312,29,31
1532401224,32,28
1532403140,36,29
1532405055,11,41
1532406993,47,15
1532408912,38,39
1532410815,45,35
1532412747,48,47
1532414653,34,48
1532416814,37,37
1532418753,44,38
1532420658,37,44
1532422851,38,40
1532424734,21,39
1532426670,28,20
1532428569,14,28
1532432409,7,15
1532434360,40,8
1532436250,60,37
1532438185,24,63
1532440108,59,22
1532442258,46,59
1532444168,18,48
1532446097,41,14
1532448032,16,42
1532449957,23,16
1532451857,22,25
1532453784,35,22
1532455704,20,33
1532457613,20,16
1532459547,20,24
1532461710,41,21
1532463607,16,41
1532465556,11,17
1532467452,40,9
1532469382,24,41
1532471288,35,22
1532473259,11,36
1532475142,32,11
1532477074,32,27
1532478968,49,34
1532480915,59,45
1532482824,37,58
1532484741,31,41
1532486661,32,32
1532488579,38,29
1532490493,39,38
1532492421,18,44
1532494351,16,16
1532496257,59,21
1532500427,18,57
1532502253,42,19
1532504175,37,40
1532506100,29,38
1532508032,35,31
1532509938,18,35
1532511864,19,17
1532513778,17,20
1532515710,19,18
1532517613,43,19
1532519574,39,37
1532521454,53,41
1532523387,33,55
1532525289,53,33
1532529148,32,54
1532531305,35,27
1532533223,16,37
1532535385,15,18
1532537291,46,12
1532539214,51,46
1532541137,13,53
1532543068,55,14
1532544967,20,53
1532547645,13,21
1532549784,28,14
1532553614,42,25
1532555532,49,44
1532557466,55,49
1532561312,53,54
1532563233,32,56
1532565147,38,30
1532567061,22,37
1532568991,21,23
1532570912,20,21
1532572816,27,21
1532574744,42,26
1532576656,44,43
1532578585,37,42
1532580493,34,37
1532586258,60,35
1532588185,30,62
1532590094,56,28
1532592041,35,57
1532593956,19,31
1532596120,42,21
1532598012,18,45
1532599944,19,18
1532601859,25,19
1532603795,25,25
1532605696,50,23
1532607640,41,50
1532609542,23,41
1532611452,42,23
1532613379,20,43
1532615553,22,18
1532621327,22,22
1532623227,17,24
1532625405,38,17
1532627309,48,37
1532629217,31,46
1532631388,24,32
1532634043,23,23
1532635935,41,21
1532637869,51,43
1532639788,31,50
1532641707,45,35
1532643606,15,44
1532646772,46,17
1532648668,53,46
1532654419,31,46
1532658259,43,31
1532660170,29,45
1532662114,44,28
1532664038,22,47
1532665958,32,20
1532667864,34,27
1532669799,36,39
1532671702,30,36
1532673879,56,31
1532675777,43,59
1532677961,32,40
1532679866,31,34
1532685870,15,33
1532687769,17,16
1532689717,13,17
1532691618,11,13
1532693561,19,10
1532695459,33,19
1532697382,45,33
1532699304,41,39
1532701303,41,43
1532703153,23,43
1532705057,52,21
1532708898,45,51
1532710857,33,48
1532712745,25,31
1532714661,28,24
1532716584,14,27
1532718502,24,17
1532722353,49,23
1532726176,37,48
1532728105,36,38
1532731982,35,35
1532740104,52,36
1532742019,50,50
1532743958,49,48
1532745855,45,50
1532747782,46,42
1532749694,49,49
1532751646,51,47
1532755453,31,60
1532757385,53,30
1532765072,36,47
1532766992,24,40
1532773497,23,27
1532775369,20,24
1532777304,12,19
1532781146,7,13
1532783057,22,6
1532786892,28,21
1532790738,27,25
1532794572,35,29
1532796491,42,34
1532798415,51,42
1532804184,19,50
1532806156,40,19
1532808058,18,43
1532809992,48,15
1532811909,15,49
1532813800,58,17
1532817648,13,59
1532819586,35,11
1532821464,52,36
1532826536,34,52
1532828437,42,31
1532830387,54,40
1532833280,33,55
1532835140,24,34
1532840898,50,20
1532843056,62,58
1532844986,56,57
1532846890,52,56
1532848809,46,50
1532852649,46,48
1532856487,12,51
1532860334,19,12
1532862260,12,18
1532864169,15,12
1532866094,18,16
1532868009,20,19
1532869934,46,18
1532871860,48,40
1532875932,50,48
1532877853,48,55
1532879779,39,47
1532881689,43,39
1532885536,43,42
1532887461,13,47
1532893217,35,11
1532896367,13,34
1532898266,56,12
1532902102,12,57
1532905940,38,10
1532907863,35,41
1532910141,37,34
1532912166,38,36
1532916029,32,39
1532917938,33,29
1532919864,27,35
1532923693,49,26
1532925617,45,47
1532929454,62,46
1532931377,49,59
