DateTime,Entries,UniqueIPs
1532698815,29693,29693
1532699768,29687,29687
1532700763,29649,29649
1532701691,29690,29690
1532702669,29685,29685
1532703623,29690,29690
1532704602,29647,29647
1532705537,29605,29605
1532706495,29601,29601
1532707491,29630,29630
1532708438,29648,29648
1532709382,29630,29630
1532710332,29607,29607
1532711321,29640,29640
1532712269,29733,29733
1532713222,29713,29713
1532714169,29672,29672
1532715155,29536,29536
1532716105,29704,29704
1532717062,29674,29674
1532718021,29670,29670
1532718991,28679,28679
1532719959,28798,28798
1532720891,28791,28791
1532721859,28691,28691
1532722821,28692,28692
1532723784,28689,28689
1532724734,28689,28689
1532725698,28710,28710
1532726674,28679,28679
1532727633,28629,28629
1532728572,28599,28599
1532729553,28548,28548
1532730495,28542,28542
1532731998,28550,28550
1532732893,28563,28563
1532733127,28678,28678
1532733870,28666,28666
1532734113,28642,28642
1532734826,28629,28629
1532735059,28611,28611
1532735803,28597,28597
1532736276,28426,28426
1532736765,28401,28401
1532737212,28491,28491
1532737945,28494,28494
1532738436,28337,28337
1532738909,28315,28315
1532739635,28305,28305
1532740113,28281,28281
1532740593,28299,28299
1532741062,28274,28274
1532741547,28290,28290
1532742028,28277,28277
1532742494,28266,28266
1532742980,28258,28258
1532743474,28241,28241
1532743960,28231,28231
1532744429,28269,28269
1532744905,28260,28260
1532745371,28312,28312
1532745870,28302,28302
1532746364,28305,28305
1532746827,28300,28300
1532747322,28322,28322
1532747791,28316,28316
1532748272,28308,28308
1532748743,28305,28305
1532749228,28279,28279
1532749696,28262,28262
1532750175,28273,28273
1532750677,28267,28267
1532751155,28256,28256
1532751648,28243,28243
1532752091,28213,28213
1532752580,28205,28205
1532753064,28201,28201
1532753547,28188,28188
1532754036,28227,28227
1532754515,28223,28223
1532754995,28178,28178
1532755462,28175,28175
1532755965,28162,28162
1532756422,28157,28157
1532756908,28165,28165
1532757394,28159,28159
1532757866,28088,28088
1532758362,28082,28082
1532758815,28056,28056
1532759296,28052,28052
1532759791,28008,28008
1532760254,28001,28001
1532760749,28116,28116
1532761248,28127,28127
1532761714,27912,27912
1532762191,27903,27903
1532762672,28029,28029
1532763155,28025,28025
1532763654,28029,28029
1532764096,28022,28022
1532764581,27997,27997
1532765074,27998,27998
1532765546,27990,27990
1532766029,27984,27984
1532766499,27983,27983
1532767001,27979,27979
1532767453,27952,27952
1532767934,27936,27936
1532768442,27912,27912
1532768904,27905,27905
1532769372,27919,27919
1532769874,27910,27910
1532770351,27893,27893
1532770838,27890,27890
1532771298,27889,27889
1532771769,27898,27898
1532773508,27765,27765
1532774411,27788,27788
1532775372,27817,27817
1532776335,27826,27826
1532777324,27825,27825
1532778290,27804,27804
1532779250,27801,27801
1532780177,27777,27777
1532781157,27737,27737
1532782104,27703,27703
1532783081,27677,27677
1532784013,27651,27651
1532784992,27660,27660
1532785941,27627,27627
1532786895,27568,27568
1532787851,27550,27550
1532788829,27499,27499
1532789799,27470,27470
1532790741,27421,27421
1532791693,27403,27403
1532792685,27415,27415
1532793654,27372,27372
1532794575,27332,27332
1532795540,27312,27312
1532796494,27300,27300
1532797492,27267,27267
1532798420,27237,27237
1532799374,27232,27232
1532800385,27258,27258
1532801301,27300,27300
1532802261,27297,27297
1532803217,27238,27238
1532804194,27237,27237
1532805140,27275,27275
1532806169,27261,27261
1532807310,27102,27102
1532808503,27107,27107
1532809457,27096,27096
1532810418,27078,27078
1532811387,27058,27058
1532812359,27057,27057
1532813289,27074,27074
1532814270,27063,27063
1532815250,27064,27064
1532816198,27086,27086
1532817136,27071,27071
1532818094,27221,27221
1532819079,27182,27182
1532820013,27170,27170
1532820992,27189,27189
1532821952,27197,27197
1532822905,27207,27207
1532823864,27174,27174
1532824813,27280,27280
1532826550,27098,27098
1532827458,27119,27119
1532828441,27071,27071
1532829370,27081,27081
1532830399,27040,27040
1532831535,27012,27012
1532832531,27009,27009
1532833463,26998,26998
1532834408,26947,26947
1532835390,26863,26863
1532836359,26897,26897
1532837293,26891,26891
1532838281,26919,26919
1532839225,26942,26942
1532840169,26891,26891
1532841143,26839,26839
1532842091,26841,26841
1532843069,26840,26840
1532844017,26838,26838
1532844996,26851,26851
1532845937,26846,26846
1532846893,26840,26840
1532847867,26856,26856
1532848812,26852,26852
1532849803,26851,26851
1532850746,26839,26839
1532851717,26846,26846
1532852663,26782,26782
1532853619,26760,26760
1532854592,26703,26703
1532855539,26694,26694
1532856498,26702,26702
1532857484,26710,26710
1532858444,26666,26666
1532859404,26818,26818
1532860338,26831,26831
1532861301,26792,26792
1532862263,26769,26769
1532863221,26736,26736
1532864176,26719,26719
1532865170,26751,26751
1532866097,26787,26787
1532867072,26791,26791
1532868012,26777,26777
1532868993,26787,26787
1532869937,26808,26808
1532870902,26802,26802
1532871870,26781,26781
1532872831,26752,26752
1532873775,26781,26781
1532874760,26806,26806
1532875944,26802,26802
1532876903,26770,26770
1532877864,26764,26764
1532878813,26735,26735
1532879782,26754,26754
1532880748,26784,26784
1532881692,26779,26779
1532882676,26739,26739
1532883631,26721,26721
1532884586,26754,26754
1532885539,26764,26764
1532886527,26788,26788
1532887464,26745,26745
1532888415,26772,26772
1532889397,26772,26772
1532890339,26749,26749
1532891300,27028,27028
1532892276,27022,27022
1532893220,27087,27087
1532894174,27112,27112
1532896378,27029,27029
1532897388,27044,27044
1532898509,27071,27071
1532899453,27104,27104
1532900418,27098,27098
1532901399,27160,27160
1532902335,27171,27171
1532903309,27170,27170
1532904281,27160,27160
1532905219,27183,27183
1532906176,27204,27204
1532907158,27224,27224
1532908102,27239,27239
1532909068,27205,27205
1532910161,27169,27169
1532911215,27033,27033
1532912169,27164,27164
1532913141,27182,27182
1532914109,27200,27200
1532915059,27207,27207
1532916034,27221,27221
1532916998,27237,27237
1532917941,27271,27271
1532918895,27437,27437
1532919880,27341,27341
1532920809,27372,27372
1532921774,27528,27528
1532922753,27566,27566
1532923697,27452,27452
1532924664,27590,27590
1532925621,27583,27583
1532926589,27504,27504
1532927537,27668,27668
1532928502,27593,27593
1532929465,27718,27718
1532930438,27570,27570
1532931380,27723,27723
1532932362,27613,27613
1532933295,27658,27658
1532934280,27670,27670
1532935241,27687,27687
1532936201,27815,27815
1532937162,27741,27741
1532938105,27924,27924
1532939084,27812,27812
1532940013,27980,27980
1532940985,27964,27964
1532941947,27870,27870
1532942895,28067,28067
1532943881,28154,28154
1532944830,28154,28154
1532945793,28168,28168
1532946740,28043,28043
1532947698,28176,28176
1532948665,28094,28094
1532949611,28243,28243
1532950593,28146,28146
1532951575,28172,28172
1532952499,28171,28171
1532953468,28326,28326
1532954414,28232,28232
1532955391,28377,28377
1532956338,28263,28263
1532957303,28241,28241
1532958291,28243,28243
1532959234,28217,28217
1532960187,28156,28156
1532961142,28300,28300
1532962099,28298,28298
1532963067,28308,28308
1532964015,28350,28350
1532964997,28307,28307
1532965952,28362,28362
1532966931,28340,28340
1532967863,28375,28375
1532968815,28425,28425
1532969793,28462,28462
1532970758,28461,28461
1532971717,28448,28448
1532972664,28437,28437
1532973647,28438,28438
1532974581,28414,28414
1532975545,28332,28332
1532976499,28301,28301
1532977462,28359,28359
1532978423,28071,28071
1532979394,28028,28028
1532980351,27947,27947
1532981299,27882,27882
1532983255,27862,27862
1532984170,27828,27828
1532985144,27842,27842
1532986105,27793,27793
1532987091,27792,27792
1532988026,27770,27770
1532988975,27739,27739
1532989958,27706,27706
1532990916,27720,27720
1532991875,27640,27640
1532992840,27611,27611
1532993793,27603,27603
1532994763,27586,27586
1532995699,27544,27544
1532996671,27501,27501
1532997629,27480,27480
1532998599,27486,27486
1532999562,27508,27508
1533000505,27626,27626
1533001472,27405,27405
1533002481,27342,27342
1533003384,27466,27466
1533004345,27324,27324
1533005299,27265,27265
1533006268,27370,27370
1533007209,27158,27158
1533008209,27150,27150
1533009134,27268,27268
1533010110,27003,27003
1533011069,26985,26985
1533012019,27092,27092
1533012997,26888,26888
1533013967,26863,26863
1533014914,26870,26870
1533015860,27006,27006
1533016826,27019,27019
1533017803,26752,26752
1533018737,26802,26802
1533019701,26613,26613
1533020660,26752,26752
1533021623,26742,26742
1533022572,26748,26748
1533023581,26586,26586
1533024496,26833,26833
1533025521,26667,26667
1533026410,26658,26658
1533026679,26553,26553
1533027393,26540,26540
1533027860,26466,26466
1533028360,26456,26456
1533028817,26336,26336
1533029298,26331,26331
1533029794,26281,26281
1533030262,26294,26294
1533030729,26348,26348
1533031250,26345,26345
1533031731,26421,26421
1533032189,26433,26433
1533032676,26478,26478
1533033411,26501,26501
1533033869,26552,26552
1533034362,26566,26566
1533034819,26657,26657
1533035301,26659,26659
1533035793,26733,26733
1533036253,26731,26731
1533036740,26768,26768
1533037239,26771,26771
1533037697,26791,26791
1533038203,26792,26792
1533038682,26922,26922
1533039164,26909,26909
1533039623,26819,26819
1533040093,26814,26814
1533040589,26710,26710
1533041061,26696,26696
1533041557,26627,26627
1533042031,26618,26618
1533042497,26548,26548
1533043007,26551,26551
1533043461,26624,26624
1533043960,26630,26630
1533044414,26712,26712
1533044924,26720,26720
1533045394,26796,26796
1533045890,26794,26794
1533046338,26928,26928
1533046813,26935,26935
1533047327,27008,27008
1533047792,27021,27021
1533048295,27078,27078
1533049005,27091,27091
1533049487,27124,27124
1533050045,27124,27124
1533050415,27115,27115
1533051132,27117,27117
1533051388,27326,27326
1533052109,27329,27329
1533052587,27267,27267
1533053098,27271,27271
1533053564,27351,27351
1533054036,27354,27354
1533054492,27403,27403
1533055233,27404,27404
1533055490,27442,27442
1533056448,27444,27444
1533057374,27477,27477
1533058349,27513,27513
1533059303,27551,27551
1533060270,27512,27512
1533061217,27574,27574
1533062175,27614,27614
1533063151,27651,27651
1533064123,28904,28904
1533065056,28952,28952
1533066019,29027,29027
1533067526,29063,29063
1533068661,29092,29092
1533069611,29260,29260
1533070589,29152,29152
1533071678,29182,29182
1533072755,29256,29256
1533073712,29250,29250
1533074683,29298,29298
1533075622,29350,29350
1533076590,29361,29361
1533077548,29411,29411
1533078496,29437,29437
1533079473,29449,29449
1533080411,29468,29468
1533081369,29497,29497
1533082363,29534,29534
1533083305,29561,29561
1533084269,29608,29608
1533085234,29613,29613
1533086181,29655,29655
1533087164,29664,29664
1533088093,29686,29686
1533089068,29734,29734
1533090012,29745,29745
1533091006,29762,29762
1533091947,29765,29765
1533092917,29812,29812
1533093857,29841,29841
1533094815,29855,29855
1533095777,29905,29905
1533096735,29970,29970
1533097702,29983,29983
1533098682,30038,30038
1533099628,30056,30056
1533100593,30090,30090
1533101541,30151,30151
1533102500,30207,30207
1533103468,30324,30324
1533104414,30437,30437
1533105390,30467,30467
1533106364,30510,30510
1533107294,30556,30556
1533108254,30615,30615
1533109214,30637,30637
1533110215,30621,30621
1533111136,30548,30548
1533112116,30692,30692
1533113069,30842,30842
1533114042,30974,30974
1533114975,31122,31122
1533115937,31230,31230
1533116916,31213,31213
1533117884,31207,31207
1533118813,31190,31190
