DateTime,AddedIPs,RemovedIPs
1532698815,78,75
1532699768,96,56
1532700763,72,46
1532701691,89,61
1532702669,96,51
1532703623,85,36
1532704602,59,46
1532705537,64,9
1532706495,83,42
1532707491,81,73
1532708438,69,49
1532709382,86,67
1532710332,68,48
1532711321,126,66
1532712269,51,60
1532713222,73,47
1532714169,58,82
1532715155,74,92
1532716105,99,100
1532717062,72,103
1532718021,73,76
1532718991,69,110
1532719959,75,109
1532720891,75,84
1532721859,50,49
1532722821,68,43
1532723784,76,57
1532724734,59,52
1532725698,75,60
1532726674,50,50
1532727633,58,33
1532728572,47,45
1532729553,60,42
1532730495,55,57
1532731998,70,57
1532732893,13,0
1532733127,58,51
1532733870,19,5
1532734113,45,54
1532734826,10,21
1532735059,45,58
1532735803,12,4
1532736276,55,61
1532736765,12,0
1532737212,39,51
1532737945,22,15
1532738436,50,64
1532738909,6,9
1532739635,67,132
1532740113,18,7
1532740593,54,2
1532741062,17,16
1532741547,60,128
1532742028,8,10
1532742494,61,3
1532742980,17,8
1532743474,58,108
1532743960,14,13
1532744429,74,56
1532744905,16,13
1532745371,53,5
1532745870,20,7
1532746364,67,55
1532746827,10,6
1532747322,65,57
1532747791,13,7
1532748272,55,67
1532748743,17,8
1532749228,48,68
1532749696,7,8
1532750175,48,1
1532750677,11,0
1532751155,64,157
1532751648,10,11
1532752091,31,2
1532752580,6,0
1532753064,49,71
1532753547,8,8
1532754036,71,128
1532754515,10,6
1532754995,51,57
1532755462,2,13
1532755965,60,78
1532756422,10,4
1532756908,53,49
1532757394,14,11
1532757866,38,4
1532758362,14,0
1532758815,77,148
1532759296,5,19
1532759791,34,4
1532760254,10,0
1532760749,51,68
1532761248,14,26
1532761714,51,115
1532762191,7,9
1532762672,45,126
1532763155,7,4
1532763654,67,116
1532764096,8,0
1532764581,53,158
1532765074,8,10
1532765546,46,116
1532766029,14,11
1532766499,48,87
1532767001,12,9
1532767453,72,45
1532767934,1,13
1532768442,62,37
1532768904,14,6
1532769372,68,63
1532769874,11,10
1532770351,44,61
1532770838,14,8
1532771298,62,55
1532771769,9,18
1532773508,99,123
1532774411,74,84
1532775372,68,84
1532776335,80,69
1532777324,78,131
1532778290,83,141
1532779250,68,136
1532780177,63,90
1532781157,68,173
1532782104,43,136
1532783081,41,61
1532784013,56,46
1532784992,79,57
1532785941,40,47
1532786895,67,46
1532787851,50,41
1532788829,49,64
1532789799,60,46
1532790741,48,19
1532791693,58,48
1532792685,53,70
1532793654,42,41
1532794575,64,42
1532795540,49,14
1532796494,50,37
1532797492,63,43
1532798420,41,39
1532799374,72,43
1532800385,61,45
1532801301,64,49
1532802261,55,44
1532803217,50,38
1532804194,46,56
1532805140,60,36
1532806169,50,30
1532807310,35,42
1532808503,61,60
1532809457,41,50
1532810418,56,51
1532811387,41,10
1532812359,65,86
1532813289,55,38
1532814270,41,6
1532815250,51,44
1532816198,66,63
1532817136,66,48
1532818094,64,54
1532819079,50,46
1532820013,51,56
1532820992,71,44
1532821952,69,43
1532822905,63,66
1532823864,46,60
1532824813,65,54
1532826550,75,91
1532827458,56,4
1532828441,60,68
1532829370,66,6
1532830399,68,81
1532831535,41,39
1532832531,53,51
1532833463,55,50
1532834408,50,49
1532835390,27,47
1532836359,75,31
1532837293,83,40
1532838281,55,35
1532839225,68,50
1532840169,37,40
1532841143,63,50
1532842091,49,48
1532843069,40,4
1532844017,70,42
1532844996,64,86
1532845937,42,3
1532846893,54,53
1532847867,61,40
1532848812,56,34
1532849803,56,61
1532850746,40,1
1532851717,69,46
1532852663,47,54
1532853619,65,61
1532854592,52,57
1532855539,64,48
1532856498,60,60
1532857484,55,43
1532858444,56,35
1532859404,66,59
1532860338,71,35
1532861301,56,50
1532862263,67,58
1532863221,66,63
1532864176,56,40
1532865170,56,53
1532866097,53,63
1532867072,54,56
1532868012,36,43
1532868993,57,56
1532869937,65,48
1532870902,63,46
1532871870,69,58
1532872831,67,57
1532873775,79,57
1532874760,51,36
1532875944,58,46
1532876903,45,46
1532877864,60,40
1532878813,51,27
1532879782,74,64
1532880748,52,51
1532881692,45,43
1532882676,42,36
1532883631,40,6
1532884586,74,59
1532885539,60,50
1532886527,47,44
1532887464,59,52
1532888415,78,62
1532889397,49,59
1532890339,56,69
1532891300,341,28
1532892276,82,1614
1532893220,70,38
1532894174,54,9
1532896378,88,147
1532897388,52,57
1532898509,56,52
1532899453,70,53
1532900418,65,54
1532901399,76,60
1532902335,51,42
1532903309,39,49
1532904281,52,55
1532905219,60,60
1532906176,60,62
1532907158,47,62
1532908102,56,46
1532909068,56,59
1532910161,66,57
1532911215,57,51
1532912169,56,49
1532913141,64,63
1532914109,65,76
1532915059,57,52
1532916034,68,70
1532916998,61,60
1532917941,97,68
1532918895,72,53
1532919880,74,77
1532920809,75,49
1532921774,69,42
1532922753,48,37
1532923697,63,55
1532924664,57,49
1532925621,55,56
1532926589,82,50
1532927537,62,48
1532928502,87,59
1532929465,39,48
1532930438,69,48
1532931380,66,47
1532932362,68,59
1532933295,64,48
1532934280,66,46
1532935241,73,49
1532936201,50,37
1532937162,111,66
1532938105,90,57
1532939084,83,77
1532940013,67,56
1532940985,70,42
1532941947,86,48
1532942895,88,54
1532943881,80,63
1532944830,70,50
1532945793,64,5
1532946740,53,57
1532947698,60,67
1532948665,48,3
1532949611,60,60
1532950593,75,89
1532951575,65,48
1532952499,54,59
1532953468,70,62
1532954414,37,9
1532955391,61,99
1532956338,66,4
1532957303,48,70
1532958291,63,62
1532959234,49,56
1532960187,43,59
1532961142,67,69
1532962099,59,52
1532963067,62,49
1532964015,68,49
1532964997,51,62
1532965952,75,61
1532966931,64,49
1532967863,69,62
1532968815,75,56
1532969793,67,62
1532970758,57,65
1532971717,42,64
1532972664,51,63
1532973647,75,62
1532974581,40,60
1532975545,41,40
1532976499,60,65
1532977462,128,87
1532978423,59,118
1532979394,45,50
1532980351,58,51
1532981299,48,76
1532983255,68,126
1532984170,67,5
1532985144,74,55
1532986105,62,53
1532987091,66,43
1532988026,66,56
1532988975,48,44
1532989958,43,42
1532990916,56,37
1532991875,63,50
1532992840,41,48
1532993793,55,42
1532994763,69,61
1532995699,53,48
1532996671,75,54
1532997629,85,57
1532998599,78,54
1532999562,71,79
1533000505,61,41
1533001472,54,74
1533002481,63,58
1533003384,50,50
1533004345,69,62
1533005299,73,49
1533006268,41,64
1533007209,46,53
1533008209,79,73
1533009134,58,56
1533010110,49,71
1533011069,78,51
1533012019,39,58
1533012997,54,42
1533013967,54,58
1533014914,64,12
1533015860,57,54
1533016826,86,61
1533017803,24,66
1533018737,31,58
1533019701,82,50
1533020660,70,60
1533021623,61,56
1533022572,80,59
1533023581,75,74
1533024496,91,66
1533025521,56,80
1533026410,0,17
1533026679,31,73
1533027393,0,11
1533027860,27,70
1533028360,0,17
1533028817,9,57
1533029298,0,13
1533029794,48,62
1533030262,13,5
1533030729,67,46
1533031250,18,10
1533031731,94,46
1533032189,12,12
1533032676,81,53
1533033411,39,17
1533033869,80,51
1533034362,19,11
1533034819,98,45
1533035301,10,9
1533035793,73,109
1533036253,6,13
1533036740,79,60
1533037239,13,12
1533037697,45,4
1533038203,9,8
1533038682,102,89
1533039164,1,11
1533039623,10,4
1533040093,0,6
1533040589,24,61
1533041061,0,8
1533041557,28,106
1533042031,0,12
1533042497,29,5
1533043007,8,18
1533043461,68,53
1533043960,15,13
1533044414,112,64
1533044924,14,8
1533045394,91,41
1533045890,13,12
1533046338,86,58
1533046813,13,16
1533047327,62,51
1533047792,15,9
1533048295,65,57
1533049005,15,9
1533049487,113,53
1533050045,6,6
1533050415,51,38
1533051132,15,11
1533051388,83,108
1533052109,8,8
1533052587,71,38
1533053098,11,10
1533053564,73,55
1533054036,9,6
1533054492,74,7
1533055233,17,23
1533055490,67,38
1533056448,68,57
1533057374,67,54
1533058349,81,45
1533059303,69,72
1533060270,62,57
1533061217,88,71
1533062175,64,56
1533063151,80,56
1533064123,1453,1208
1533065056,75,12
1533066019,105,140
1533067526,77,49
1533068661,69,67
1533069611,69,52
1533070589,72,53
1533071678,66,69
1533072755,83,58
1533073712,61,76
1533074683,72,54
1533075622,62,73
1533076590,64,46
1533077548,74,45
1533078496,57,52
1533079473,62,54
1533080411,83,58
1533081369,87,77
1533082363,64,106
1533083305,85,51
1533084269,101,80
1533085234,72,78
1533086181,75,88
1533087164,71,62
1533088093,86,71
1533089068,73,63
1533090012,72,62
1533091006,65,64
1533091947,70,57
1533092917,66,69
1533093857,58,58
1533094815,65,57
1533095777,63,72
1533096735,70,8
1533097702,62,87
1533098682,84,93
1533099628,61,4
1533100593,66,78
1533101541,84,69
1533102500,79,67
1533103468,72,93
1533104414,96,78
1533105390,90,74
1533106364,71,84
1533107294,90,67
1533108254,87,55
1533109214,98,106
1533110215,79,63
1533111136,94,99
1533112116,96,11
1533113069,67,84
1533114042,84,77
1533114975,82,86
1533115937,87,92
1533116916,79,81
1533117884,86,59
1533118813,83,91
