DateTime,Entries,UniqueIPs
1532698815,3402,3402
1532699768,3391,3391
1532700763,3366,3366
1532701691,3393,3393
1532702669,3387,3387
1532703623,3356,3356
1532704602,3350,3350
1532705537,3367,3367
1532706495,3365,3365
1532707491,3383,3383
1532708438,3373,3373
1532709382,3376,3376
1532710332,3369,3369
1532711321,3376,3376
1532712269,3383,3383
1532713222,3369,3369
1532714169,3388,3388
1532715155,3385,3385
1532716105,3389,3389
1532717062,3389,3389
1532718021,3376,3376
1532718991,3372,3372
1532719959,3369,3369
1532720891,3357,3357
1532721859,3353,3353
1532722821,3355,3355
1532723784,3381,3381
1532724734,3362,3362
1532725698,3369,3369
1532726674,3372,3372
1532727633,3380,3380
1532728572,3366,3366
1532729553,3384,3384
1532730495,3363,3363
1532731998,3363,3363
1532732893,3353,3353
1532733127,3358,3358
1532733870,3350,3350
1532734113,3353,3353
1532734826,3350,3350
1532735059,3355,3355
1532735803,3345,3345
1532736276,3359,3359
1532736765,3332,3332
1532737212,3342,3342
1532737945,3317,3317
1532738436,3327,3327
1532738909,3292,3292
1532739635,3297,3297
1532740113,3270,3270
1532740593,3275,3275
1532741062,3242,3242
1532741547,3273,3273
1532742028,3249,3249
1532742494,3229,3229
1532742980,3225,3225
1532743474,3263,3263
1532743960,3248,3248
1532744429,3253,3253
1532744905,3238,3238
1532745371,3236,3236
1532745870,3236,3236
1532746364,3239,3239
1532746827,3237,3237
1532747322,3241,3241
1532747791,3235,3235
1532748272,3246,3246
1532748743,3242,3242
1532749228,3256,3256
1532749696,3237,3237
1532750175,3236,3236
1532750677,3220,3220
1532751155,3177,3177
1532751648,3159,3159
1532752091,3239,3239
1532752580,3219,3219
1532753064,3215,3215
1532753547,3205,3205
1532754036,3229,3229
1532754515,3215,3215
1532754995,3224,3224
1532755462,3206,3206
1532755965,3205,3205
1532756422,3194,3194
1532756908,3209,3209
1532757394,3202,3202
1532757866,3197,3197
1532758362,3182,3182
1532758815,3191,3191
1532759296,3181,3181
1532759791,3202,3202
1532760254,3189,3189
1532760749,3197,3197
1532761248,3196,3196
1532761714,3198,3198
1532762191,3180,3180
1532762672,3180,3180
1532763155,3155,3155
1532763654,3176,3176
1532764096,3148,3148
1532764581,3145,3145
1532765074,3141,3141
1532765546,3134,3134
1532766029,3114,3114
1532766499,3133,3133
1532767001,3123,3123
1532767453,3122,3122
1532767934,3091,3091
1532768442,3101,3101
1532768904,3097,3097
1532769372,3102,3102
1532769874,3079,3079
1532770351,3086,3086
1532770838,3073,3073
1532771298,3096,3096
1532771769,3089,3089
1532773508,3068,3068
1532774411,3070,3070
1532775372,3044,3044
1532776335,3048,3048
1532777324,3048,3048
1532778290,3055,3055
1532779250,3039,3039
1532780177,3041,3041
1532781157,3040,3040
1532782104,3026,3026
1532783081,3031,3031
1532784013,3019,3019
1532784992,3013,3013
1532785941,3007,3007
1532786895,2983,2983
1532787851,2977,2977
1532788829,2968,2968
1532789799,2969,2969
1532790741,2960,2960
1532791693,2964,2964
1532792685,2943,2943
1532793654,2926,2926
1532794575,2939,2939
1532795540,2936,2936
1532796494,2904,2904
1532797492,2891,2891
1532798420,2903,2903
1532799374,2894,2894
1532800385,2879,2879
1532801301,2887,2887
1532802261,2891,2891
1532803217,2880,2880
1532804194,2884,2884
1532805140,2872,2872
1532806169,2862,2862
1532807310,2867,2867
1532808503,2855,2855
1532809457,2865,2865
1532810418,2884,2884
1532811387,2859,2859
1532812359,2858,2858
1532813289,2875,2875
1532814270,2882,2882
1532815250,2884,2884
1532816198,2876,2876
1532817136,2879,2879
1532818094,2876,2876
1532819079,2887,2887
1532820013,2895,2895
1532820992,2880,2880
1532821952,2885,2885
1532822905,2872,2872
1532823864,2880,2880
1532824813,2875,2875
1532826550,2873,2873
1532827458,2852,2852
1532828441,2843,2843
1532829370,2850,2850
1532830399,2835,2835
1532831535,2859,2859
1532832531,2839,2839
1532833463,2833,2833
1532834408,2839,2839
1532835390,2812,2812
1532836359,2829,2829
1532837293,2835,2835
1532838281,2868,2868
1532839225,2880,2880
1532840169,2862,2862
1532841143,2867,2867
1532842091,2843,2843
1532843069,2858,2858
1532844017,2843,2843
1532844996,2806,2806
1532845937,2839,2839
1532846893,2841,2841
1532847867,2837,2837
1532848812,2828,2828
1532849803,2814,2814
1532850746,2808,2808
1532851717,2791,2791
1532852663,2806,2806
1532853619,2786,2786
1532854592,2792,2792
1532855539,2808,2808
1532856498,2768,2768
1532857484,2776,2776
1532858444,2783,2783
1532859404,2742,2742
1532860338,2723,2723
1532861301,2745,2745
1532862263,2735,2735
1532863221,2728,2728
1532864176,2744,2744
1532865170,2756,2756
1532866097,2730,2730
1532867072,2727,2727
1532868012,2742,2742
1532868993,2752,2752
1532869937,2765,2765
1532870902,2765,2765
1532871870,2761,2761
1532872831,2768,2768
1532873775,2765,2765
1532874760,2763,2763
1532875944,2789,2789
1532876903,2761,2761
1532877864,2774,2774
1532878813,2774,2774
1532879782,2794,2794
1532880748,2810,2810
1532881692,2813,2813
1532882676,2824,2824
1532883631,2819,2819
1532884586,2825,2825
1532885539,2834,2834
1532886527,2817,2817
1532887464,2821,2821
1532888415,2826,2826
1532889397,2818,2818
1532890339,2810,2810
1532891300,2811,2811
1532892276,2809,2809
1532893220,2822,2822
1532894174,2826,2826
1532896378,2806,2806
1532897388,2800,2800
1532898509,2809,2809
1532899453,2803,2803
1532900418,2789,2789
1532901399,2798,2798
1532902335,2787,2787
1532903309,2792,2792
1532904281,2786,2786
1532905219,2765,2765
1532906176,2743,2743
1532907158,2750,2750
1532908102,2750,2750
1532909068,2742,2742
1532910161,2710,2710
1532911215,2682,2682
1532912169,2697,2697
1532913141,2688,2688
1532914109,2682,2682
1532915059,2673,2673
1532916034,2682,2682
1532916998,2660,2660
1532917941,2668,2668
1532918895,2678,2678
1532919880,2710,2710
1532920809,2711,2711
1532921774,2706,2706
1532922753,2702,2702
1532923697,2722,2722
1532924664,2714,2714
1532925621,2715,2715
1532926589,2739,2739
1532927537,2762,2762
1532928502,2740,2740
1532929465,2752,2752
1532930438,2759,2759
1532931380,2750,2750
1532932362,2764,2764
1532933295,2745,2745
1532934280,2750,2750
1532935241,2751,2751
1532936201,2741,2741
1532937162,2744,2744
1532938105,2756,2756
1532939084,2792,2792
1532940013,2777,2777
1532940985,2779,2779
1532941947,2788,2788
1532942895,2740,2740
1532943881,2761,2761
1532944830,2791,2791
1532945793,2788,2788
1532946740,2794,2794
1532947698,2800,2800
1532948665,2810,2810
1532949611,2814,2814
1532950593,2829,2829
1532951575,2825,2825
1532952499,2853,2853
1532953468,2862,2862
1532954414,2862,2862
1532955391,2862,2862
1532956338,2847,2847
1532957303,2859,2859
1532958291,2875,2875
1532959234,2864,2864
1532960187,2847,2847
1532961142,2866,2866
1532962099,2879,2879
1532963067,2883,2883
1532964015,2886,2886
1532964997,2883,2883
1532965952,2894,2894
1532966931,2916,2916
1532967863,2911,2911
1532968815,2921,2921
1532969793,2922,2922
1532970758,2917,2917
1532971717,2939,2939
1532972664,2929,2929
1532973647,2934,2934
1532974581,2916,2916
1532975545,2906,2906
1532976499,2926,2926
1532977462,2918,2918
1532978423,2906,2906
1532979394,2914,2914
1532980351,2922,2922
1532981299,2923,2923
1532983255,2921,2921
1532984170,2917,2917
1532985144,2949,2949
1532986105,2945,2945
1532987091,2946,2946
1532988026,2945,2945
1532988975,2950,2950
1532989958,2955,2955
1532990916,2952,2952
1532991875,2942,2942
1532992840,2940,2940
1532993793,2951,2951
1532994763,2951,2951
1532995699,2948,2948
1532996671,2926,2926
1532997629,2931,2931
1532998599,2933,2933
1532999562,2948,2948
1533000505,2938,2938
1533001472,2943,2943
1533002481,2926,2926
1533003384,2894,2894
1533004345,2881,2881
1533005299,2890,2890
1533006268,2912,2912
1533007209,2882,2882
1533008209,2910,2910
1533009134,2898,2898
1533010110,2908,2908
1533011069,2914,2914
1533012019,2926,2926
1533012997,2944,2944
1533013967,2927,2927
1533014914,2931,2931
1533015860,2923,2923
1533016826,2947,2947
1533017803,2933,2933
1533018737,2951,2951
1533019701,2919,2919
1533020660,2941,2941
1533021623,2975,2975
1533022572,2977,2977
1533023581,3016,3016
1533024496,2971,2971
1533025521,3000,3000
1533026410,2991,2991
1533026679,3006,3006
1533027393,2992,2992
1533027860,3019,3019
1533028360,3002,3002
1533028817,3018,3018
1533029298,3000,3000
1533029794,3009,3009
1533030262,3007,3007
1533030729,2907,2907
1533031250,2902,2902
1533031731,2919,2919
1533032189,2919,2919
1533032676,2943,2943
1533033411,2972,2972
1533033869,2998,2998
1533034362,3006,3006
1533034819,3012,3012
1533035301,3010,3010
1533035793,3034,3034
1533036253,3031,3031
1533036740,3056,3056
1533037239,3062,3062
1533037697,3016,3016
1533038203,3013,3013
1533038682,3036,3036
