DateTime,Entries,UniqueIPs
1532627318,4568,4590
1532628283,4558,4580
1532629219,4553,4575
1532630184,4565,4587
1532631398,4556,4578
1532632358,4473,4494
1532634052,4508,4529
1532635096,4488,4509
1532636167,4476,4497
1532637163,4392,4411
1532638091,4404,4423
1532639050,4387,4406
1532640005,4369,4387
1532640987,4321,4339
1532641929,4287,4306
1532642894,4280,4299
1532643869,4260,4278
1532644809,4182,4199
1532646790,4161,4178
1532647944,4169,4186
1532648895,4139,4157
1532649854,4143,4161
1532651066,4155,4173
1532652010,4132,4150
1532652974,4130,4148
1532653945,4128,4146
1532654892,4074,4092
1532655858,4065,4083
1532656821,4080,4099
1532657784,4056,4075
1532658736,4048,4066
1532659697,4045,4062
1532660681,4039,4056
1532661608,4013,4030
1532662582,4004,4020
1532663529,4005,4021
1532664520,4011,4027
1532665455,4015,4031
1532666424,3998,4014
1532667387,3979,3995
1532668334,3981,3999
1532669288,3963,3980
1532670258,3957,3974
1532671217,3969,3986
1532672196,3950,3966
1532673144,3934,3950
1532674337,3908,3924
1532675291,3910,3926
1532676271,3936,3952
1532677452,3900,3916
1532678436,3918,3934
1532679378,3954,3970
1532680344,3921,3938
1532681306,3894,3911
1532682265,3919,3936
1532683469,3907,3923
1532684410,3894,3909
1532685371,3884,3898
1532686329,3887,3900
1532687297,3826,3838
1532688256,3855,3867
1532689225,3870,3883
1532690175,3869,3882
1532691148,3861,3874
1532692108,3824,3836
1532693082,3800,3812
1532694025,3808,3820
1532694990,3769,3781
1532695937,3786,3798
1532696902,3788,3800
1532697870,3745,3757
1532698812,3758,3770
1532699767,3760,3773
1532700761,3719,3731
1532701689,3740,3752
1532702657,3736,3748
1532703621,3737,3749
1532704601,3731,3743
1532705535,3725,3737
1532706493,3692,3704
1532707477,3696,3708
1532708437,3694,3706
1532709371,3691,3704
1532710330,3688,3701
1532711312,3716,3729
1532712262,3707,3720
1532713217,3710,3723
1532714167,3714,3727
1532715148,3689,3702
1532716103,3687,3700
1532717053,3674,3687
1532718020,3672,3682
1532718989,3658,3667
1532719958,3676,3685
1532720889,3660,3668
1532721858,3642,3650
1532722820,3624,3632
1532723783,3617,3625
1532724733,3616,3624
1532725697,3619,3627
1532726669,3613,3621
1532727632,3611,3619
1532728571,3612,3620
1532729551,3583,3591
1532730493,3580,3588
1532731992,3566,3574
1532732893,3581,3589
1532733870,3563,3571
1532734826,3546,3555
1532735803,3532,3541
1532736765,3506,3515
1532737945,3510,3519
1532738909,3483,3492
1532740113,3460,3469
1532741062,3438,3446
1532742028,3422,3430
1532742980,3423,3431
1532743960,3410,3418
1532744905,3409,3417
1532745870,3398,3406
1532746827,3393,3401
1532747791,3384,3392
1532748743,3383,3391
1532749696,3368,3376
1532750677,3364,3372
1532751648,3352,3360
1532752580,3342,3350
1532753547,3334,3342
1532754515,3334,3342
1532755462,3333,3341
1532756422,3334,3342
1532757394,3332,3340
1532758362,3322,3330
1532759296,3322,3330
1532760254,3311,3319
1532761248,3324,3332
1532762191,3304,3312
1532763155,3303,3311
1532764096,3296,3304
1532765074,3294,3302
1532766029,3283,3291
1532767001,3269,3276
1532767934,3248,3255
1532768904,3237,3244
1532769874,3232,3239
1532770838,3232,3239
1532771769,3248,3255
1532773506,3245,3252
1532774409,3229,3236
1532775371,3236,3243
1532776333,3223,3230
1532777313,3223,3229
1532778283,3223,3228
1532779249,3218,3223
1532780175,3204,3209
1532781155,3191,3196
1532782102,3175,3180
1532783058,3147,3152
1532784009,3131,3135
1532784991,3116,3120
1532785939,3089,3092
1532786894,3075,3078
1532787849,3064,3067
1532788827,3050,3053
1532789798,3034,3037
1532790740,3023,3026
1532791692,3022,3025
1532792672,3019,3022
1532793652,3012,3015
1532794574,2991,2994
1532795538,2990,2993
1532796493,2976,2979
1532797479,2959,2962
1532798418,2946,2949
1532799372,2948,2951
1532800378,2936,2938
1532801300,2925,2927
1532802258,2923,2925
1532803216,2904,2906
1532804193,2899,2901
1532805138,2888,2890
1532806157,2879,2881
1532807308,2842,2844
1532808502,2852,2854
1532809451,2853,2855
1532810417,2843,2845
1532811386,2836,2838
1532812358,2828,2830
1532813288,2824,2826
1532814260,2827,2829
1532815249,2819,2821
1532816196,2806,2808
1532817135,2802,2804
1532818092,2825,2828
1532819068,2814,2818
1532820012,2807,2813
1532820991,2815,2821
1532821939,2810,2816
1532822904,2783,2788
1532823854,2741,2747
1532824811,2718,2724
1532826549,2662,2668
1532827451,2689,2695
1532828439,2654,2660
1532829368,2677,2683
1532830398,2635,2641
1532831533,2626,2632
1532832512,2627,2633
1532833456,2625,2631
1532834407,2620,2626
1532835388,2606,2612
1532836353,2598,2604
1532837292,2592,2598
1532838270,2577,2583
1532839224,2569,2575
1532840168,2550,2556
1532841142,2543,2549
1532842090,2533,2538
1532843058,2515,2520
1532844015,2501,2506
1532844994,2502,2507
1532845936,2495,2500
1532846891,2491,2496
1532847866,2480,2485
1532848811,2462,2467
1532849792,2436,2441
1532850730,2431,2436
1532851716,2419,2424
1532852656,2402,2407
1532853618,2374,2379
1532854591,2371,2376
1532855537,2350,2355
1532856489,2330,2335
1532857475,2321,2326
1532858442,2293,2298
1532859402,2305,2310
1532860336,2294,2299
1532861300,2278,2283
1532862261,2265,2270
1532863219,2252,2257
1532864171,2243,2248
1532865152,2243,2248
