DateTime,AddedIPs,RemovedIPs
1532628283,20,6
1532629219,29,6
1532630184,39,11
1532631398,16,2
1532632358,27,8
1532634052,35,19
1532635096,15,5
1532636167,19,5
1532637163,26,13
1532638091,12,17
1532639050,14,3
1532640005,15,12
1532640987,16,9
1532641929,12,6
1532642894,15,8
1532643869,20,9
1532644809,19,14
1532646790,37,26
1532647944,40,6
1532648895,24,18
1532649854,30,5
1532651066,53,23
1532652010,42,0
1532652974,35,15
1532653945,36,6
1532654892,32,13
1532655858,35,11
1532656821,53,5
1532657784,29,6
1532658736,28,13
1532659697,29,8
1532660681,24,3
1532661608,20,17
1532662582,28,13
1532663529,30,11
1532664520,36,9
1532665455,28,16
1532666424,24,8
1532667387,16,4
1532668334,41,10
1532669288,20,10
1532670258,20,10
1532671217,36,9
1532672196,23,20
1532673144,24,21
1532674337,12,15
1532675291,24,8
1532676271,36,5
1532677452,27,11
1532678436,18,7
1532679378,47,18
1532680344,19,21
1532681306,26,21
1532682265,25,14
1532683469,32,9
1532684410,24,11
1532685371,26,11
1532686329,35,10
1532687297,22,11
1532688256,29,5
1532689225,31,1
1532690175,23,0
1532691148,21,4
1532692108,15,0
1532693082,13,4
1532694025,8,14
1532694990,24,16
1532695937,17,16
1532696902,21,12
1532697870,21,24
1532698812,13,9
1532699767,32,5
1532700761,16,16
1532701689,21,14
1532702657,23,14
1532703621,20,5
1532704601,14,14
1532705535,24,8
1532706493,18,8
1532707477,18,17
1532708437,20,12
1532709371,24,3
1532710330,9,9
1532711312,61,9
1532712262,15,10
1532713217,15,10
1532714167,25,13
1532715148,16,6
1532716103,24,6
1532717053,12,12
1532718020,12,8
1532718989,19,8
1532719958,18,10
1532720889,14,11
1532721858,10,9
1532722820,20,8
1532723783,17,5
1532724733,15,2
1532725697,23,10
1532726669,12,11
1532727632,16,4
1532728571,9,7
1532729551,18,14
1532730493,17,3
1532731992,18,12
1532732893,15,0
1532733870,23,13
1532734826,14,29
1532735803,19,11
1532736765,28,0
1532737945,27,26
1532738909,15,18
1532740113,32,11
1532741062,32,25
1532742028,12,13
1532742980,35,12
1532743960,19,21
1532744905,25,23
1532745870,32,13
1532746827,16,9
1532747791,19,12
1532748743,25,16
1532749696,15,17
1532750677,21,0
1532751648,23,19
1532752580,9,0
1532753547,17,19
1532754515,20,9
1532755462,7,18
1532756422,18,14
1532757394,26,18
1532758362,19,0
1532759296,19,33
1532760254,14,0
1532761248,20,40
1532762191,9,21
1532763155,17,6
1532764096,15,0
1532765074,11,17
1532766029,19,19
1532767001,16,14
1532767934,8,21
1532768904,21,12
1532769874,23,18
1532770838,23,21
1532771769,16,33
1532773506,31,34
1532774409,10,23
1532775371,19,26
1532776333,21,24
1532777313,20,31
